Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-12
Cash & Equivalents,0.18,0.45,0.65,0.75,0.99,0.02,0,-,-,0.05
Cash & Cash Equivalents,0.18,0.45,0.65,0.75,0.99,0.02,0,0,0,0.05
Cash Growth,-81.90%,2210.27%,425390.79%,-,-,-60.92%,-,-,-,-
Other Current Assets,0.16,0.21,0.32,0.25,0.26,0,0,-,-,0
Total Current Assets,0.34,0.67,0.96,0.99,1.25,0.02,0,-,-,0.05
Long-Term Investments,180.18,178.49,177,176.2,175.95,0,0,-,-,0
Other Long-Term Assets,0,0,0,0.1,0.17,0.21,0.13,-,-,0.03
Total Long-Term Assets,180.18,178.49,177,176.3,176.12,0.21,0.13,-,-,0.03
Total Assets,180.52,179.15,177.96,177.3,177.37,0.23,0.13,-,-,0.08
Accounts Payable,0.07,0.06,0,0.04,0,0,0,-,-,0
Current Debt,0,0,0,0,0,0.13,0.1,-,-,0.03
Other Current Liabilities,1.32,0.9,0.46,0.2,0.17,0.09,0.01,-,-,0.03
Total Current Liabilities,1.39,0.96,0.47,0.24,0.17,0.21,0.11,-,-,0.05
Other Long-Term Liabilities,7.38,7.56,7.73,8.13,8.94,0,0,-,-,0
Total Long-Term Liabilities,7.38,7.56,7.73,8.13,8.94,0,0,-,-,0
Total Liabilities,8.77,8.52,8.19,8.38,9.1,0.21,0.11,-,-,0.05
Total Debt,0,0,0,0,0,0.13,0.1,-,-,0.03
Debt Growth,-,-,-,-,-,409.54%,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,-,-,0.03
Retained Earnings,-7.5,-7.16,-6.89,-7.14,-7.68,-0,-0,-,-,-0
Shareholders' Equity,-7.5,-7.16,-6.89,-7.14,-7.68,0.02,0.02,-,-,0.02
Total Liabilities and Equity,1.27,1.36,1.3,1.23,1.42,0.23,0.13,-,-,0.08
Net Cash / Debt,0.18,0.45,0.65,0.75,0.99,-0.11,-0.1,0,0,0.03
Net Cash / Debt Growth,-81.90%,-,-,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.03,0.03,0.05,-0.03,-0.03,-,-,-
Working Capital,-1.05,-0.29,0.5,0.75,1.09,-0.19,-0.11,-,-,-0
Book Value Per Share,-0.35,-0.33,-0.32,-0.33,-0.40,0.01,0.01,-,-,-
