Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,0,0.02,0.16,0.02,0.04,0.13,0.21,0.41,0.76,0.22
Cash & Cash Equivalents,0,0.02,0.16,0.02,0.04,0.13,0.21,0.41,0.76,0.22
Cash Growth,-98.23%,-81.84%,-20.89%,-94.44%,-94.37%,-39.05%,-,-,-,-
Other Current Assets,0,0.03,0.1,0.15,0.19,0.29,0.41,0.54,0.63,-
Total Current Assets,0,0.05,0.26,0.17,0.23,0.43,0.62,0.95,1.4,-
Long-Term Investments,16.98,50.87,50.64,300.03,300.03,300.02,300.01,300.01,300,-
Total Long-Term Assets,16.98,50.87,50.64,300.03,300.03,300.02,300.01,300.01,300,-
Total Assets,16.98,50.92,50.91,300.2,300.26,300.45,300.63,300.96,301.4,0.64
Accounts Payable,0.75,0.58,0.51,0.3,0.3,0.32,0.21,0.16,0.14,0
Current Debt,0,0,0,0,0,0,0,0,0,0.28
Other Current Liabilities,0.84,0.91,0.9,0.45,0.1,0,0,0,0,0.35
Total Current Liabilities,1.59,1.49,1.4,0.75,0.4,0.32,0.21,0.16,0.14,0.62
Other Long-Term Liabilities,17.24,17.32,18.56,18.66,27.68,31.13,30.86,50.3,44.31,0
Total Long-Term Liabilities,17.24,17.32,18.56,18.66,27.68,31.13,30.86,50.3,44.31,0
Total Liabilities,18.83,18.81,19.96,19.41,28.08,31.45,31.07,50.46,44.45,0.62
Total Debt,0,0,0,0,0,0,0,0,0,0.28
Common Stock,0.25,0,0,0,0,0,0,18.57,0,0.03
Retained Earnings,-18.83,-18.45,-19.61,-19.21,-27.82,-31.01,5,-13.57,-43.05,-0.01
Shareholders' Equity,-18.57,-18.45,-19.61,-19.21,-27.82,-31.01,5,5,-43.05,0.02
Total Liabilities and Equity,0.26,0.37,0.36,0.2,0.26,0.45,36.07,55.46,1.4,0.64
Net Cash / Debt,0,0.02,0.16,0.02,0.04,0.13,0.21,0.41,0.76,-0.06
Net Cash / Debt Growth,-98.23%,-81.84%,-20.89%,-94.44%,-94.37%,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.06,-0.01
Working Capital,-1.59,-1.44,-1.14,-0.58,-0.17,0.1,0.41,0.79,1.26,-
Book Value Per Share,-1.54,-1.47,-0.60,-0.51,-0.74,-0.83,0.13,0.13,-3.38,0.00
