Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.27,0.41,0.47,0.4,0.59,0.79,0.03
Cash & Cash Equivalents,0.27,0.41,0.47,0.4,0.59,0.79,0.03
Cash Growth,-53.29%,-48.19%,1765.50%,-,-,-,-
Other Current Assets,0.24,0.24,0.31,0.38,0.46,0.53,-
Total Current Assets,0.51,0.65,0.77,0.78,1.04,1.32,-
Long-Term Investments,312.93,309.74,307.54,306.45,306.03,306,-
Total Long-Term Assets,312.93,309.74,307.54,306.45,306.03,306,-
Total Assets,313.44,310.4,308.31,307.23,307.08,307.33,0.17
Accounts Payable,0.64,0.58,0.55,0.59,0.42,0.32,0
Other Current Liabilities,1.14,0.52,0.34,0.12,0.05,0.14,0.15
Total Current Liabilities,1.79,1.1,0.89,0.71,0.48,0.45,0.15
Other Long-Term Liabilities,11.2,11.2,11.2,11.2,11.2,11.2,0
Total Long-Term Liabilities,11.2,11.2,11.2,11.2,11.2,11.2,0
Total Liabilities,12.99,12.3,12.09,11.91,11.68,11.65,0.15
Common Stock,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,0.03
Retained Earnings,-10.63,-10.43,-10.28,-10.13,-10,-9.73,-0
Shareholders' Equity,-11.23,-11.03,-10.87,-10.73,-10.6,-10.33,0.02
Total Liabilities and Equity,1.75,1.27,1.21,1.18,1.08,1.33,0.17
Net Cash / Debt,0.27,0.41,0.47,0.4,0.59,0.79,0.03
Net Cash / Debt Growth,-53.29%,-48.19%,1765.50%,-,-,-,-
Net Cash Per Share,0.01,0.01,0.01,0.01,0.01,0.04,0.00
Working Capital,-1.28,-0.44,-0.12,0.07,0.57,0.87,-
Book Value Per Share,-0.27,-0.26,-0.26,-0.26,-0.25,-0.50,0.00
