Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31
Cash & Equivalents,451.86,532.47,829.93,914.42,"1,012.69","1,191.24","1,171.76",617.53,336.07,311.33,110.65,-,-,80.07,122.24
Cash & Cash Equivalents,451.86,532.47,829.93,914.42,"1,012.69","1,191.24","1,171.76",617.53,336.07,311.33,110.65,0,0,80.07,122.24
Cash Growth,-55.38%,-55.30%,-29.17%,48.08%,201.34%,282.63%,959.00%,-,-,288.84%,-9.48%,-,-,-,-
"Property, Plant & Equipment",130.36,130.5,128.47,126.41,123.04,120.38,88.92,29.76,27.36,28.34,22.96,-,-,22.22,1.5
Goodwill and Intangibles,81.62,82.69,83.76,84.83,85.9,86.97,87.84,89,0,0,0,-,-,0,0
Total Assets,"1,821.72","1,936.05","1,915.31","1,917.02","1,987.59","1,820.46","1,606.13",904.58,488.59,477.26,309.8,-,-,393.46,645.91
Accounts Payable,47.6,109.49,104.76,127.74,150.09,114.16,93.69,94.27,64.62,59.28,45.24,-,-,26.18,24.08
Total Liabilities,"1,194.51","1,263.62","1,196.74","1,159.95","1,111.09","1,013.38",887.04,188.49,168,177,194.59,-,-,292.6,542.66
Total Debt,"1,099.92","1,087.18","1,018.34",956.42,869.27,795.8,721.4,23.84,60.51,82.06,115.43,-,-,231.78,501.23
Debt Growth,26.53%,36.62%,41.16%,3912.67%,1336.53%,869.80%,524.97%,-,-,-64.60%,-76.97%,-,-,-,-
Common Stock,798.91,714.88,705.75,688.03,777.59,740.86,711.81,737.93,379.71,369.47,22.92,-,-,12.49,8.41
Retained Earnings,-171.7,-42.44,12.82,69.04,98.91,66.22,7.28,-21.84,-59.12,-69.22,-70.25,-,-,-75.21,-75.08
Shareholders' Equity,627.21,672.44,718.57,757.07,876.5,807.08,719.09,716.1,320.59,300.25,-47.33,-,-,-62.71,-66.67
Total Liabilities and Equity,"1,821.72","1,936.05","1,915.31","1,917.02","1,987.59","1,820.46","1,606.13",904.58,488.59,477.26,147.26,-,-,229.89,475.98
Net Cash / Debt,-648.06,-554.71,-188.41,-42,143.42,395.44,450.36,593.7,275.55,229.28,-4.78,0,0,-151.71,-378.98
Net Cash / Debt Growth,-,-,-,-,-47.95%,72.48%,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-7.91,-6.82,-2.31,-0.50,1.50,4.09,4.69,6.26,3.01,13.09,-0.18,-,-,-10.53,-
Book Value Per Share,7.66,8.26,8.80,9.03,10.41,9.76,9.06,9.34,4.35,17.14,-3.22,-,-,-4.35,-4.72
