Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.11,0.13,0.18,0.19,0.39,0.12
Short-Term Investments,118.23,116.08,115.17,115.01,115,0
Cash & Cash Equivalents,118.34,116.21,115.35,115.2,115.39,0.12
Cash Growth,2.56%,97681.47%,-,-,-,-
Other Current Assets,0,0.03,0.07,0.11,0.14,0.19
Total Current Assets,118.34,116.24,115.42,115.3,115.53,0.31
Total Assets,118.34,116.24,115.42,115.3,115.53,0.31
Accounts Payable,0.02,0,0,0,0,0
Current Debt,1.53,0.38,0,0,0,0.3
Other Current Liabilities,3.07,3.03,3.01,2.88,2.93,0
Total Current Liabilities,4.63,3.41,3.01,2.88,2.93,0.3
Total Liabilities,4.63,3.41,3.01,2.88,2.93,0.3
Total Debt,1.53,0.38,0,0,0,0.3
Debt Growth,-,27.78%,-,-,-,-
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-4.52,-3.26,-2.77,-2.58,-2.4,-0.01
Shareholders' Equity,-4.52,-3.25,-2.77,-2.58,-2.4,0.01
Total Liabilities and Equity,0.11,0.16,0.24,0.3,0.53,0.31
Net Cash / Debt,116.81,115.82,115.35,115.2,115.39,-0.18
Net Cash / Debt Growth,1.23%,-,-,-,-,-
Net Cash Per Share,7.94,7.88,7.84,7.83,32.46,-0.06
Working Capital,113.71,112.82,112.41,112.42,112.6,0.01
Book Value Per Share,-0.31,-0.22,-0.19,-0.17,-0.67,0.01
