Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2015-09-30,2015-06-30,2014-12-31
Cash & Equivalents,56.83,14,13.92,34.78,4.76,22.26,32.87,27.05,1.52,1.23,0.22,40.15,63.73
Cash & Cash Equivalents,56.83,14,13.92,34.78,4.76,22.26,32.87,27.05,1.52,1.23,0.22,40.15,63.73
Cash Growth,1093.74%,-37.11%,-57.66%,28.58%,213.80%,1706.61%,14734.33%,-32.63%,-97.62%,-,-,-,-
Receivables,35.92,27.56,23.06,25.78,23.89,34.61,12.73,35.36,18.3,44.6,10.68,31.25,19.04
Total Current Assets,92.75,41.56,36.98,60.57,28.65,56.87,45.6,62.41,19.82,45.83,11,71.42,82.85
Long-Term Investments,667.16,649.81,730.72,630.01,483.51,340.27,428.74,488.58,456.38,528.92,262.9,270.01,216.99
Total Long-Term Assets,667.16,649.81,730.72,630.01,483.51,340.27,428.74,488.58,456.38,528.92,262.9,270.01,216.99
Total Assets,760.15,691.65,768.04,690.95,512.59,397.41,474.76,551.42,476.71,575.39,273.89,341.43,299.84
Accounts Payable,27.43,5.19,18.61,13.42,6.38,23.72,0,33.33,0,28.03,0,0,0
Total Current Liabilities,27.43,5.19,18.61,13.42,6.38,23.72,0,33.33,0,28.03,0,0,0
Long-Term Debt,150.77,160.76,140.69,140.34,92.8,87.55,99.75,98.72,95.01,96.55,0,0,0
Other Long-Term Liabilities,-123.34,-155.58,-122.08,-126.92,-86.42,-63.83,-,-,-,-,-,-,-
Total Long-Term Liabilities,27.43,5.19,18.61,13.42,6.38,23.72,0,33.33,0,28.03,43.41,43.38,0
Total Liabilities,260.89,225.31,241.85,243.62,150.93,161.51,171.49,204.6,189.59,217.04,55.31,84.2,36.28
Total Debt,150.77,160.76,140.69,140.34,92.8,87.55,99.75,98.72,95.01,96.55,0,0,0
Debt Growth,62.47%,83.63%,41.05%,42.16%,-2.33%,-9.32%,-,-,-,-,-,-,-
Common Stock,719.7,599.35,517.54,479.33,452.14,480.37,452.76,479.8,435.71,408.65,0,0,0
Retained Earnings,-224.95,-167.45,-13.01,-29.57,-90.99,-249.62,-148.42,-132.36,-150.05,-38.45,0,0,0
Comprehensive Income,0,0,0,0,0,0,0,0,0,0,-42.22,-12.98,0.53
Shareholders' Equity,499.27,466.34,526.19,447.33,361.66,235.89,303.27,346.82,287.13,358.35,218.59,257.23,263.56
Total Liabilities and Equity,760.15,691.65,768.04,690.95,512.59,397.41,474.76,551.42,476.71,575.39,273.89,341.43,299.84
Net Cash / Debt,-93.94,-146.77,-126.78,-105.56,-88.04,-65.29,-,-,-,-,-,-,-
Working Capital,65.33,36.38,18.37,47.15,22.27,33.16,45.6,29.08,19.82,17.8,11,71.42,-
