Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Cash & Equivalents,420.15,380.73,353.59,286.35,487.93,412.86,610.22,775.28,878.75,"1,005.52",925.98,633.11,391.01,78.84,147.35,81.52,59.13,53.63,48.88,36.82,37.54,40.15,-,-,-,22.12,15.61
Cash & Cash Equivalents,420.15,380.73,353.59,286.35,487.93,412.86,610.22,775.28,878.75,"1,005.52",925.98,633.11,391.01,78.84,147.35,81.52,59.13,53.63,48.88,36.82,37.54,40.15,0,0,0,22.12,15.61
Cash Growth,-13.89%,-7.78%,-42.06%,-63.07%,-44.48%,-58.94%,-34.10%,22.46%,124.74%,1175.33%,528.44%,676.67%,561.27%,47.03%,201.45%,121.39%,57.51%,33.57%,-,-,-,81.46%,-,-,-,-,-
"Property, Plant & Equipment",20.06,21.1,22.05,23.18,24.35,25.61,27.82,29.24,27.88,27.74,27.75,28.65,26.88,27.91,29.05,30.13,31.08,9.49,9.04,8.41,7.71,7.04,-,-,-,5.86,4.89
Total Assets,"2,411.55","2,444.74","2,447.9","2,503.82","2,809.13","2,876.83","3,138.96","3,417.45","3,694.03","3,914.05","3,936.61","3,738.5","3,477.38","3,244.88","3,322.23","3,279.13","3,252.19","3,196.77","3,196.96","3,111.34","3,034.33","2,961.96",-,-,-,"2,163.6","1,712.01"
Total Liabilities,"2,096.04","2,132.11","2,118.3","2,168.49","2,467.72","2,533.2","2,802.4","3,090.41","3,372.11","3,594.45","3,605.46","3,407.1","3,148.7","2,912.27","2,970.85","2,937.08","2,913.29","2,861.72","2,877.52","2,807.23","2,745.82","2,688.66",-,-,-,"2,001.33","1,575.73"
Total Debt,130.34,131.26,131.95,132.85,233.75,234.74,392.47,404.46,403.44,403.84,403.81,415.32,413.18,314.05,314.94,326.58,420.45,358.03,399.99,414.96,407.86,402.89,-,-,-,357.54,326.44
Debt Growth,-44.24%,-44.08%,-66.38%,-67.15%,-42.06%,-41.87%,-2.81%,-2.61%,-2.36%,28.59%,28.22%,27.17%,-1.73%,-12.28%,-21.26%,-21.30%,3.09%,-11.13%,-,-,-,12.68%,-,-,-,-,-
Common Stock,98.2,98.1,97.86,97.61,96.34,96.28,96.15,95.95,94.41,94.35,94.19,94.14,94.13,94.1,98.65,102.68,112.53,123.95,123.84,123.74,123.66,123.65,-,-,-,40.87,40.17
Retained Earnings,234.05,234.05,252.48,251.31,253.5,248.24,240.19,230.63,227.18,224.85,236.55,236.66,233.79,238.32,252.57,239.19,226.27,211.12,195.65,180.44,164.98,149.82,-,-,-,121.45,96.78
Comprehensive Income,-16.74,-19.53,-20.74,-13.58,-8.44,-0.9,0.23,0.46,0.33,0.39,0.41,0.61,0.76,0.2,0.15,0.19,0.1,-0.01,-0.05,-0.07,-0.14,-0.17,-,-,-,-0.04,-0.67
Shareholders' Equity,315.51,312.63,329.6,335.33,341.41,343.63,336.57,327.04,321.92,319.59,331.14,331.41,328.68,332.61,351.38,342.05,338.9,335.06,319.44,304.11,288.51,273.3,-,-,-,162.27,136.28
Total Liabilities and Equity,"2,411.55","2,444.74","2,447.9","2,503.82","2,809.13","2,876.83","3,138.96","3,417.45","3,694.03","3,914.05","3,936.61","3,738.5","3,477.38","3,244.88","3,322.23","3,279.13","3,252.19","3,196.77","3,196.96","3,111.34","3,034.33","2,961.96",-,-,-,"2,163.6","1,712.01"
Net Cash / Debt,289.81,249.47,221.63,153.5,254.18,178.12,217.75,370.82,475.31,601.68,522.17,217.79,-22.17,-235.2,-167.6,-245.07,-361.32,-304.4,-351.11,-378.14,-370.32,-362.74,0,0,0,-335.41,-310.83
Net Cash / Debt Growth,14.02%,40.06%,1.78%,-58.61%,-46.52%,-70.40%,-58.30%,70.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,5.75,5.01,4.38,3.05,5.04,3.54,4.33,7.41,9.52,12.07,10.48,4.37,-0.44,-4.70,-3.32,-4.76,-6.87,-5.75,-6.63,-7.14,-6.99,-7.39,-,-,-,-,-
Book Value Per Share,6.25,6.20,6.54,6.66,6.80,6.85,6.71,6.54,6.46,6.41,6.64,6.65,6.59,6.65,6.97,6.64,6.45,6.33,6.03,5.74,5.45,5.57,-,-,-,3.58,2.95
