Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Cash & Equivalents,299.5,257.42,708.78,"1,341.88","1,413.96","2,359.35","1,857.48","1,719.27","1,135.02",864.31,767.9,822.68,582.43,389.22,435.44,433.39,356.05,232.95,154.43,251.14,370.95,261.23,267.1,-,-,82.93,-,65.65
Cash & Cash Equivalents,299.5,257.42,708.78,"1,341.88","1,413.96","2,359.35","1,857.48","1,719.27","1,135.02",864.31,767.9,822.68,582.43,389.22,435.44,433.39,356.05,232.95,154.43,251.14,370.95,261.23,267.1,0,0,82.93,0,65.65
Cash Growth,-78.82%,-89.09%,-61.84%,-21.95%,24.58%,172.98%,141.89%,108.98%,94.88%,122.06%,76.35%,89.82%,63.58%,67.08%,181.98%,72.57%,-4.02%,-10.83%,-42.18%,-,-,215.00%,-,-,-,-,-,-
Receivables,83.79,85.61,75.46,68.21,62.13,39.86,48.3,40.09,38.36,27.26,31.24,31.12,22.7,11.58,20.23,19.16,17.46,13.74,17.26,11.52,9.2,16.18,10.8,-,-,12.99,-,1.62
"Property, Plant & Equipment",0,0,31.5,17.93,16.43,0,14.03,13.34,13.76,13.48,15.91,15.07,14.92,12.1,9.63,6.63,6.45,6.88,6.92,7.01,6.69,6.27,6.01,-,-,5.04,-,4.64
Goodwill and Intangibles,0,0,9.73,9.73,9.73,0,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,9.73,-,-,9.73,-,9.73
Total Assets,"6,309.98","6,267.34","6,422.06","6,867.04","6,626.94","7,116.36","6,141.25","5,787.19","4,922.8","4,330.82","4,001.76","3,970.44","3,612.01","3,357.57","3,243.17","2,960.61","2,545.19","2,182.64","1,930.71","1,924.5","1,968.89","1,759.86","1,723.66",-,-,"1,220.3",-,964.79
Accounts Payable,0,0,50.97,37.77,50.22,0,38.13,30.6,42.74,61.65,37.01,34.78,26.23,23.56,41.07,50.72,28.58,18.44,19.64,18.11,23.34,21.68,20.41,-,-,10.9,-,5.48
Total Liabilities,"5,702.1","5,691.44","5,839.82","6,292.74","6,066.91","6,559.37","5,598.6","5,423.6","4,574.58","3,990.03","3,673.18","3,653.27","3,303.48","3,058.45","2,952.17","2,679.28","2,271.4","1,918.13","1,673.45","1,674.91","1,725.85","1,522.97","1,604.7",-,-,"1,110.81",-,888.84
Total Debt,423.31,278.35,47.53,52.66,52.94,77.79,80.88,81.75,81.77,82.24,77.49,191.2,230.93,232.19,189.21,235.19,260.18,230.17,105.15,108.14,57.5,87.31,88.84,-,-,78.42,-,116.77
Debt Growth,699.57%,257.80%,-41.23%,-35.58%,-35.25%,-5.41%,4.37%,-57.24%,-64.59%,-64.58%,-59.05%,-18.71%,-11.24%,0.88%,79.94%,117.50%,352.46%,163.63%,18.36%,-,-,11.34%,-,-,-,-,-,-
Common Stock,394.24,389.39,387.52,385.48,383.44,383.11,383.03,219.18,217.47,218.98,218.45,217.73,216.79,216.55,215.76,214.97,214.17,213.58,212.84,212.18,211.42,211.23,96.47,-,-,96.16,-,63.83
Retained Earnings,263.78,240.81,248.55,223.6,200.41,181.39,162.5,146.28,132.95,120.83,109.06,98.27,87.46,81.36,73.5,65.82,59.76,51.42,45.13,38.02,32.15,25.86,22.54,-,-,13.49,-,12.11
Comprehensive Income,-50.13,-54.3,-53.83,-34.77,-23.81,-7.5,-2.88,-1.87,-2.2,0.97,1.08,1.17,4.29,1.21,1.74,0.55,-0.15,-0.47,-0.7,-0.62,-0.53,-0.21,-0.05,-,-,-0.17,-,0.02
Shareholders' Equity,607.89,575.9,582.24,574.31,560.03,556.99,542.65,363.6,348.22,340.79,328.58,317.17,308.54,299.12,291,281.33,273.79,264.52,257.27,249.58,243.04,236.88,118.96,-,-,109.49,-,75.95
Total Liabilities and Equity,"6,309.98","6,267.34","6,422.06","6,867.04","6,626.94","7,116.36","6,141.25","5,787.19","4,922.8","4,330.82","4,001.76","3,970.44","3,612.01","3,357.57","3,243.17","2,960.61","2,545.19","2,182.64","1,930.71","1,924.5","1,968.89","1,759.86","1,723.66",-,-,"1,220.3",-,964.79
Net Cash / Debt,-123.81,-20.93,661.25,"1,289.22","1,361.02","2,281.56","1,776.6","1,637.51","1,053.26",782.06,690.42,631.48,351.5,157.03,246.23,198.2,95.87,2.79,49.27,143.01,313.45,173.92,178.26,0,0,4.51,0,-51.12
Net Cash / Debt Growth,-,-,-62.78%,-21.27%,29.22%,191.74%,157.32%,159.31%,199.65%,398.04%,180.39%,218.61%,266.65%,5538.31%,399.72%,38.60%,-69.42%,-98.40%,-72.36%,-,-,3753.84%,-,-,-,-,-,-
Net Cash Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.88,-,-,-,-,-,-,-
Book Value Per Share,55.46,52.68,53.26,52.54,51.23,52.33,65.03,43.58,41.73,41.10,39.62,38.24,37.17,35.95,34.98,33.81,33.13,32.23,31.35,30.46,29.92,28.89,15.38,-,-,14.16,-,-
