Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31,2016-12-31
Cash & Equivalents,"11,950.88","12,725.17","12,604.32","12,086.87","13,289.75","16,419.66","19,658.59","18,834.47","18,730.05","18,147.8","16,935.64","14,326.67","10,071.07","9,857.94","10,194.68","9,181.23",-,"7,093.88",-,"9,227.42","8,497.7"
Cash & Cash Equivalents,"11,950.88","12,725.17","12,604.32","12,086.87","13,289.75","16,419.66","19,658.59","18,834.47","18,730.05","18,147.8","16,935.64","14,326.67","10,071.07","9,857.94","10,194.68","9,181.23",0,"7,093.88",0,"9,227.42","8,497.7"
Cash Growth,-10.07%,-22.50%,-35.88%,-35.83%,-29.05%,-9.52%,16.08%,31.46%,85.98%,84.09%,66.12%,56.04%,-,38.96%,-,-0.50%,-,-,-,-,-
Receivables,"1,475.71","1,789.77","1,877.81","1,977.79","1,856.67","1,986.91","2,832.07","2,148.15","1,936.29","1,371.35","1,617.25","2,842.19","1,364","1,191.56","3,077.55","1,356.43",-,"1,635.52",-,951.7,"1,080.17"
"Property, Plant & Equipment",790.32,791.43,787.61,843.64,807.66,815.12,795.01,788.63,814.81,844.43,874.99,899.25,935.59,950.94,879.84,900.24,-,622.53,-,612.64,589.82
Goodwill and Intangibles,"1,627.37","1,633.2","1,605.8","1,293.25","1,036.74","1,044.75","1,031.83","1,023.97","1,030.82","1,042.59","1,030.44","1,027.93","1,011.23",979.26,953.43,955.86,-,954.55,-,921.59,267.4
Total Assets,"88,016.24","87,478.61","88,707.26","85,702.48","85,383.91","89,953.92","92,386.6","90,539.71","90,042.29","88,236.03","86,012.43","81,779.79","71,811.57","71,562.29","71,404.88","67,172.24",-,"63,744.41",-,"60,394.5","51,719.36"
Accounts Payable,"3,360.04","3,174.97","3,084.69","3,088.5","3,489.47","2,620.67","3,156.33","2,882.26","2,932.43","2,162.47","2,422.65","2,595.77","2,211.71","2,099.91","2,385.69","2,166.96",-,"1,883.32",-,"1,395.43","1,178.46"
Total Liabilities,"78,879.71","78,076.37","79,193.37","76,687.68","76,362.22","81,219.09","82,588.74","81,220.82","81,121.01","79,282.08","77,677.22","73,942.99","63,265.31","62,658.85","62,924.25","59,729",-,"56,655.93",-,"54,557.59","46,721.01"
Total Debt,"13,704.3","15,006.95","16,409.56","15,967.62","15,337.94","16,912.52","17,014.07","17,278.35","17,023.68","17,439.63","18,251.09","15,493.14","12,307.97","10,869.93","12,793.12","11,203.17",-,"10,790.14",-,"10,009.75","10,097.99"
Debt Growth,-10.65%,-11.27%,-3.55%,-7.59%,-9.90%,-3.02%,-6.78%,11.52%,38.31%,60.44%,42.66%,38.29%,-,0.74%,-,11.92%,-,-,-,-,-
Common Stock,"7,567.5","7,567.43","7,567.43","7,567.43","7,567.43","6,767.43","6,767.47","6,767.47","6,767.41","6,768.02","6,770.73","6,770.73","6,270.5","6,268.28","6,269.09","5,723.35",-,"5,723.35",-,"4,464.32","3,309.42"
Retained Earnings,"2,084.91","2,335.52","2,629.07","2,016.72","1,764.89","2,219.9","2,670.21","2,032.34","1,570.95","1,303.32",918.65,594.38,"2,248.93","2,145.69","1,747.99","1,263.58",-,"1,203.04",-,"1,564.95","2,032.81"
Comprehensive Income,-567.79,-554.42,-733.84,-618.37,-358.98,-302.48,312.3,471.65,536.54,836.77,602.31,429.88,-19.87,442.91,419.14,414.3,-,121.69,-,-228.73,-463.12
Shareholders' Equity,"9,084.63","9,348.53","9,462.66","8,965.78","8,973.34","8,684.85","9,749.99","9,271.46","8,874.91","8,908.11","8,291.69","7,794.99","8,499.56","8,856.87","8,436.22","7,401.23",-,"7,048.07",-,"5,800.54","4,879.11"
Total Liabilities and Equity,"87,964.34","87,424.89","88,656.03","85,653.46","85,335.55","89,903.94","92,338.73","90,492.29","89,995.91","88,190.19","85,968.91","81,737.98","71,764.86","71,515.72","71,360.47","67,130.23",-,"63,704.01",-,"60,358.13","51,600.12"
Net Cash / Debt,"-1,753.42","-2,281.78","-3,805.24","-3,880.75","-2,048.19",-492.86,"2,644.52","1,556.12","1,706.37",708.17,"-1,315.45","-1,166.46","-2,236.91","-1,011.99","-2,598.43","-2,021.94",0,"-3,696.26",0,-782.33,"-1,600.3"
Net Cash Per Share,-15.19,-19.77,-32.97,-33.62,-17.75,-4.27,22.91,13.48,14.78,6.13,-11.39,-10.10,-19.38,-8.77,-22.73,-18.27,-,-33.42,-,-,-
Book Value Per Share,78.71,81.00,81.99,77.68,77.75,75.25,84.47,80.33,76.89,77.16,71.82,67.52,73.62,76.73,73.78,66.86,-,63.72,-,54.34,45.02
