Metrics,2023-03-31,2022-12-31,2022-09-30,2022-03-31,2021-12-31,2021-09-30,2021-03-31,2020-12-31
Cash & Equivalents,"4,785.32","4,186.43","3,524.55",730.31,"2,899.93",-,-,"3,864.42"
Cash & Cash Equivalents,"4,785.32","4,186.43","3,524.55",730.31,"2,899.93",0,0,"3,864.42"
Cash Growth,65.01%,-,-,-81.10%,-,-,-,-
"Property, Plant & Equipment",180.92,188.02,193.91,107.67,163.48,-,-,137.85
Goodwill and Intangibles,"1,274.42","1,238.63","1,209.47","2,755.48",430.5,-,-,224.52
Total Assets,"47,701.09","46,343.1","43,844.07","38,485.39","36,626.34",-,-,"19,921.61"
Total Liabilities,"40,561.19","39,254","36,703.67","29,972.44","28,176.55",-,-,"16,597.4"
Total Debt,"8,253.17","7,943.35","7,382.58","6,456.36","5,366.54",-,-,"1,784.32"
Debt Growth,53.79%,-,-,261.84%,-,-,-,-
Common Stock,"7,839.08","7,817.68","7,870.2","8,627.97","2,652.29",-,-,"3,249.64"
Retained Earnings,-,-,-,55.06,76.12,-,-,-
Comprehensive Income,-808.11,-825.3,-825.79,-254.87,-72.28,-,-,25.99
Shareholders' Equity,"7,030.97","6,992.38","7,044.41","8,428.17","2,656.13",-,-,"3,275.63"
Total Liabilities and Equity,"47,592.15","46,246.38","43,748.08","38,400.61","30,832.68",-,-,"19,873.03"
Net Cash / Debt,"-3,467.85","-3,756.92","-3,858.03","-5,726.05","-2,466.6",0,0,"2,080.1"
Book Value Per Share,17.50,17.43,26.46,31.66,9.98,-,-,-
