Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.3,0.02,0.29,0.67,0.68,0.84,0.02,0.02
Cash & Cash Equivalents,0.3,0.02,0.29,0.67,0.68,0.84,0.02,0.02
Cash Growth,-55.39%,-98.05%,1544.24%,3516.04%,-,-,-,-
Other Current Assets,0.1,0.17,0.22,0.23,0.18,0.19,0,0
Total Current Assets,0.41,0.18,0.51,0.89,0.86,1.03,0.02,0.02
Long-Term Investments,18.28,142.67,140.68,140.46,140.4,140.4,0,0
Other Long-Term Assets,0,0,0,0.05,0.1,0.14,0.37,0.08
Total Long-Term Assets,18.28,142.67,140.68,140.51,140.5,140.54,0.37,0.08
Total Assets,18.68,142.85,141.19,141.41,141.37,141.57,0.39,0.1
Accounts Payable,0,0,0,0,0,0.02,0,0
Current Debt,2.77,1.38,0,0,0,0.01,0.17,0.04
Other Current Liabilities,0.52,0.5,0.31,0.4,0.44,0.11,0.2,0.04
Total Current Liabilities,3.29,1.88,0.31,0.41,0.45,0.14,0.37,0.08
Other Long-Term Liabilities,4.84,4.84,4.84,4.84,4.84,4.84,0,0
Total Long-Term Liabilities,4.84,4.84,4.84,4.84,4.84,4.84,0,0
Total Liabilities,8.13,6.72,5.15,5.25,5.29,4.98,0.37,0.08
Total Debt,2.77,1.38,0,0,0,0.01,0.17,0.04
Debt Growth,-,22964.87%,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-7.73,-4.68,-4.35,-4.23,-4.31,-3.8,-0.01,-0
Shareholders' Equity,-7.73,-4.68,-4.35,-4.23,-4.31,-3.8,0.02,0.02
Total Liabilities and Equity,0.4,2.04,0.8,1.02,0.98,1.18,0.39,0.1
Net Cash / Debt,-2.46,-1.37,0.29,0.67,0.68,0.83,-0.16,-0.02
Net Cash Per Share,-0.16,-0.08,0.02,0.04,0.06,0.06,-0.05,-
Working Capital,-2.88,-1.7,0.2,0.49,0.42,0.89,-0.35,-0.06
Book Value Per Share,-0.49,-0.26,-0.24,-0.23,-0.40,-0.26,0.01,-
