Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-26
Cash & Equivalents,0.88,0.02,0.01,0.08,0.48,0.89,1.12,1.68,0
Cash & Cash Equivalents,0.88,0.02,0.01,0.08,0.48,0.89,1.12,1.68,0
Cash Growth,83.01%,-97.24%,-98.67%,-95.17%,-,-,-,-,-
Other Current Assets,0.04,0,0,0,0.1,0.2,0.25,0,-
Total Current Assets,0.92,0.02,0.01,0.08,0.58,1.09,1.36,1.68,-
Long-Term Investments,202.84,201.17,200.29,200.02,200.01,200.01,200,200,-
Total Long-Term Assets,202.84,201.17,200.29,200.02,200.01,200.01,200,200,-
Total Assets,203.76,201.19,200.3,200.1,200.59,201.1,201.37,201.68,0.09
Accounts Payable,6.94,6.23,4.95,4.04,3.12,0.03,0,0.01,0
Other Current Liabilities,0,0,0,1.75,0,0.01,0.05,0.14,0.07
Total Current Liabilities,6.94,6.23,4.95,5.79,3.12,0.03,0.05,0.14,0.07
Long-Term Debt,0.3,0.19,0,0,0,0,0,0,0
Other Long-Term Liabilities,5.57,7.97,6.53,20.61,23.54,25.62,20.44,31.8,0
Total Long-Term Liabilities,5.87,8.16,6.53,20.61,23.54,25.62,20.44,31.8,0
Total Liabilities,12.81,14.39,11.48,26.4,26.66,25.65,20.49,31.94,0.07
Total Debt,0.3,0.19,0,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0,9.89,0.03
Retained Earnings,-11.89,-14.36,-11.46,-26.3,-26.07,-24.55,5,-4.89,-0.01
Shareholders' Equity,-11.89,-14.36,-11.46,-26.3,-26.07,-24.55,5,5,0.02
Total Liabilities and Equity,0.92,0.02,0.01,0.1,0.59,1.1,25.49,36.94,0.09
Net Cash / Debt,0.59,-0.17,0.01,0.08,0.48,0.89,1.12,1.68,0
Net Cash / Debt Growth,21.70%,-,-98.67%,-95.17%,-,-,-,-,-
Net Cash Per Share,0.02,-0.01,0.00,0.00,0.02,0.04,0.06,0.34,-
Working Capital,-6.02,-6.2,-4.93,-5.71,-2.54,1.06,1.32,1.54,-
Book Value Per Share,-0.48,-0.57,-0.57,-1.05,-1.05,-0.98,0.25,1.02,0.00
