Metrics,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31
Cash & Equivalents,91.79,91.63,9.95,22.2,15.92,2.78,2.09,3.07,2.36,3.28,3.61,11.88,1.12,0.38
Short-Term Investments,11.66,40.67,39.61,6.6,7.67,2.43,0,0.08,0,0.69,0.01,0.28,0.21,0
Cash & Cash Equivalents,103.45,132.29,49.56,28.79,23.59,5.22,2.09,3.15,2.36,3.97,3.63,12.15,1.33,0.38
Cash Growth,338.56%,2436.20%,2266.83%,813.00%,899.38%,31.55%,-42.25%,-74.05%,77.78%,953.29%,-,-,-,-
Receivables,47.25,78.31,43.54,30.63,9.22,1.23,31.68,31.24,24.92,21.13,16.73,15.64,10.72,5.38
Inventory,21.12,3.98,0,0,0,0,0.39,0.37,5.42,1.58,3.78,2.25,2.84,1.88
Other Current Assets,28.12,13.22,2.27,0.97,40.33,46.47,4.28,0.52,9.76,11.9,9.02,4.54,1.94,3.91
Total Current Assets,199.94,227.8,95.36,60.4,73.14,52.92,38.45,35.27,42.46,38.58,33.16,34.58,16.84,11.55
"Property, Plant & Equipment",3.92,0.94,1.68,2.12,2.33,0.79,12.09,12.52,14.01,14.59,13.15,11.19,11.67,8.41
Long-Term Investments,19.2,16.61,16.82,16.22,3.61,3.37,3.07,3.05,2.89,0,0,0,0,0
Goodwill and Intangibles,26.84,28.63,28.73,28.9,27.15,15.26,0.94,0.97,1.04,1.09,1.07,1.07,1.2,1.33
Other Long-Term Assets,0.09,0,0.11,0.46,18.62,21.66,1.7,4.84,0.45,0.29,0.21,0.24,0.43,1.49
Total Long-Term Assets,50.05,46.18,47.34,47.7,51.7,41.08,17.8,21.38,18.39,15.97,14.43,12.5,13.3,11.23
Total Assets,249.99,273.98,142.7,108.1,124.84,94,56.24,56.65,60.85,54.55,47.59,47.08,30.13,22.78
Accounts Payable,23.16,61.22,33.31,3.38,1.56,7.98,1.83,1.36,5.19,1.28,1.22,1.25,1.55,0.72
Deferred Revenue,11.78,3.43,1.07,0.01,0.82,0,0,0,0,0,0.88,1.04,1.11,0.58
Current Debt,10.15,11.65,12.09,11.27,0.85,0.14,3.46,3.99,0.71,0.69,0.25,0.29,0.81,0.85
Other Current Liabilities,9.62,12.43,4.34,12.14,58.82,29.31,14.68,14.33,12.91,11.22,13.24,12.82,10.18,7.62
Total Current Liabilities,54.71,88.72,50.81,26.8,62.07,37.43,19.97,19.68,18.81,13.19,15.59,15.4,13.65,9.76
Long-Term Debt,2.77,0.15,0.32,0.68,0.83,0.37,0.14,0.21,0.58,0.83,0.4,0.53,0,0
Other Long-Term Liabilities,1.43,0.5,0.59,0.68,2.06,2.26,0,0,0,0,0,0,0,0
Total Long-Term Liabilities,4.2,0.65,0.91,1.36,2.89,2.63,0.14,0.21,0.58,0.83,0.4,0.53,0,0
Total Liabilities,58.91,89.38,51.71,28.16,64.96,40.07,20.11,19.9,19.39,14.02,15.98,15.93,13.65,9.76
Total Debt,12.93,11.8,12.41,11.95,1.68,0.51,3.6,4.21,1.29,1.52,0.65,0.82,0.81,0.85
Debt Growth,669.60%,2231.37%,245.00%,184.08%,30.42%,-66.68%,456.58%,412.34%,58.18%,78.51%,-,-,-,-
Common Stock,137.49,137.17,59.12,63.62,41.16,28.39,13.38,13.38,13.29,10.25,10.25,10.25,0.12,0.12
Retained Earnings,51.99,37.82,24.77,9.63,21.33,27.47,24.06,24.73,28.31,29.88,22.4,22.74,16.81,12.41
Comprehensive Income,-2.55,5.63,3.91,3.59,-2.59,-1.91,-1.3,-1.35,-0.13,0.4,-1.05,-1.85,-0.45,0.48
Shareholders' Equity,186.93,180.63,87.8,76.84,59.9,53.95,36.13,36.76,41.46,40.53,31.6,31.15,16.48,13.01
Total Liabilities and Equity,245.84,270,139.51,105,124.85,94.01,56.24,56.65,60.85,54.55,47.59,47.08,30.13,22.78
Net Cash / Debt,90.52,120.49,37.15,16.85,21.91,4.71,-1.5,-1.05,1.07,2.45,2.98,11.33,0.51,-0.47
Net Cash / Debt Growth,313.18%,2458.21%,-,-,1942.73%,92.54%,-,-,108.85%,-,-,-,-,-
Working Capital,145.23,139.07,44.55,33.6,11.08,15.48,18.47,15.59,23.66,25.39,17.57,19.18,3.18,1.79
Book Value Per Share,4.68,8.40,4.27,4.23,3.30,3.32,2.22,2.33,2.69,2.76,2.15,2.59,1.37,1.08
