Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,"2,977.51","1,846.3","1,261.43",998.93,"1,702.21",768.44,854.23,768.45,698.57,"1,323.43",144.58,-,-,690.21
Cash & Cash Equivalents,"2,977.51","1,846.3","1,261.43",998.93,"1,702.21",768.44,854.23,768.45,698.57,"1,323.43",144.58,0,0,690.21
Cash Growth,74.92%,140.27%,47.67%,29.99%,143.67%,-41.94%,490.82%,-,-,91.74%,-,-,-,-
Other Current Assets,-,-,-,-,-,-,-,-,-,"-1,322.37",-,-,-,-
Total Current Assets,-,-,-,-,-,-,-,-,-,1.06,-,-,-,-
"Property, Plant & Equipment",274.39,267.24,264.83,257.48,243.94,227.06,217.01,208.4,199.38,198.35,0,-,-,161
Long-Term Investments,-,-,-,-,-,-,-,-,-,805.02,-,-,-,-
Goodwill and Intangibles,"2,189.39","2,215","2,248.16","2,283.46","2,294.73","1,351.37","1,363.19","1,376.1","1,396.23","1,403.95",0,-,-,229.07
Other Long-Term Assets,-,-,-,-,-,-,-,-,-,"-1,602.3",-,-,-,-
Total Long-Term Assets,-,-,-,-,-,-,-,-,-,805.02,-,-,-,-
Total Assets,"22,452.96","19,007.68","15,834.9","12,670.89","12,246.58","9,176.33","8,083.32","7,653","7,382.24","8,563.5",466.18,-,-,"7,289.16"
Accounts Payable,554.11,516.22,565.91,542.34,437.32,298.16,325.46,317.94,421.06,452.91,0,-,-,103.59
Current Debt,-,-,-,-,-,-,-,-,-,0,400,-,-,-
Other Current Liabilities,-,-,-,-,-,-,-,-,-,-452.73,46.18,-,-,-
Total Current Liabilities,-,-,-,-,-,-,-,-,-,0.18,446.18,-,-,-
Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,127.46,0,-,-,-
Total Long-Term Liabilities,-,-,-,-,-,-,-,-,-,127.46,0,-,-,-
Total Liabilities,"16,898.52","13,479.2","10,333.53","7,164.33","6,715.9","4,478.62","3,514.42","3,125.24","4,502.19","5,509.93",446.18,-,-,"5,188.49"
Total Debt,"6,255.97","5,620.69","4,735.99","3,909.73","5,122.66","4,180.46","3,014.03","2,567.95","4,081.13","5,057.02",400,-,-,"5,084.9"
Debt Growth,22.12%,34.45%,57.13%,52.25%,25.52%,-17.33%,653.51%,-,-,-0.55%,-,-,-,-
Common Stock,"6,778.36","6,719.92","6,654.12","6,583.5","6,509.73","5,561.91","5,321.09","5,249.96",583.35,579.23,25,-,-,135.52
Retained Earnings,"-1,537.94","-1,503.52","-1,463.52","-1,389.31","-1,293.47","-1,183.11","-1,072.1","-1,042.06",-876.74,-699.18,-5,-,-,-474.56
Comprehensive Income,-6.34,-8.3,-9.6,-8.01,-5.96,-1.47,-0.46,-0.51,-0.25,-0.17,0,-,-,-0.02
Shareholders' Equity,"5,234.07","5,208.1","5,181","5,186.18","5,210.3","4,377.33","4,248.53","4,207.39",-293.64,-120.12,20,-,-,-339.06
Total Liabilities and Equity,"22,132.59","18,687.3","15,514.53","12,350.51","11,926.2","8,855.95","7,762.95","7,332.63","4,208.55","5,389.81",466.18,-,-,"4,849.43"
Net Cash / Debt,"-3,278.45","-3,774.39","-3,474.55","-2,910.8","-3,420.45","-3,412.02","-2,159.8","-1,799.5","-3,382.56","-3,733.59",-255.42,0,0,"-4,394.7"
Net Cash Per Share,-3.53,-4.09,-3.79,-3.20,-4.01,-6.48,-2.70,-4.93,-29.12,-47.55,-3.39,-,-,-
Working Capital,-,-,-,-,-,-,-,-,-,0.88,-,-,-,-
Book Value Per Share,5.63,5.64,5.65,5.70,6.11,8.31,5.31,11.53,-2.53,-1.53,0.27,-,-,-5.17
