Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Cash & Equivalents,215.3,208.52,205.16,171.11,150.44,119.51,93.76,60.05,129.64,104.15,117.77,28.66,0.62,9.9,0.87,0.91,0.95,1.18,1.22,1.26,1.34,0.03
Cash & Cash Equivalents,215.3,208.52,205.16,171.11,150.44,119.51,93.76,60.05,129.64,104.15,117.77,28.66,0.62,9.9,0.87,0.91,0.95,1.18,1.22,1.26,1.34,0.03
Cash Growth,43.12%,74.48%,118.81%,184.96%,16.04%,14.75%,-20.38%,109.48%,20957.47%,952.21%,13456.75%,3057.14%,-35.42%,736.18%,-28.93%,-27.81%,-28.69%,4634.89%,-,-,-,-
Receivables,6.62,5.72,6.65,6.96,8.06,6.53,6.87,7.57,6.8,4.35,3.39,3.19,0,3.77,0,0,0,0,0,0,0,0
Other Current Assets,50.07,66.5,71.4,80.99,62.1,76.76,64.93,66.14,54.65,54.28,35.96,21.45,0.07,31.55,0.05,0.09,0.13,0.01,0.05,0.09,0.13,0
Total Current Assets,272,280.74,283.21,259.06,220.6,202.79,165.56,133.75,191.09,162.78,157.12,53.31,0.68,45.21,0.92,1,1.09,1.19,1.27,1.34,1.46,0.03
"Property, Plant & Equipment",7.12,7.18,7.55,7.7,7.84,7.85,7.99,8.05,7.21,6.93,7.17,0.67,0,0.3,0,0,0,0,0,0,0,0
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,282.27,0,281.91,280.47,279.64,278.32,277.22,276.27,275.44,0
Other Long-Term Assets,93.78,91.7,108.21,100.06,114.29,108.18,119.69,119.34,128.49,124.3,130.62,132.56,0,33.68,0,0,0,0,0,0,0,0.22
Total Long-Term Assets,100.9,98.89,115.75,107.76,122.13,116.03,127.68,127.39,135.7,131.23,137.79,133.23,282.27,33.97,281.91,280.47,279.64,278.32,277.22,276.27,275.44,0.22
Total Assets,372.9,379.63,398.96,366.81,342.73,318.83,293.24,261.14,326.8,294.01,294.91,186.53,282.95,79.19,282.83,281.46,280.73,279.51,278.49,277.61,276.91,0.24
Accounts Payable,0.74,0.29,0.18,0.42,0.2,1.29,1.43,1.99,2.99,3.44,2.28,3.09,1.15,1.34,0.14,0.12,0.11,0.11,0.11,0.06,0.03,0
Current Debt,3.75,3.75,3.75,3.91,3.13,3.13,3.13,3.13,3.13,4.89,4.68,4.46,0,2.48,0,0,0,0,0,0,0,0.22
Other Current Liabilities,12.26,11.07,13.05,9.69,9.09,7.66,12.5,9.53,12.89,8.68,6.17,4.14,0.23,4.37,1.06,0.6,0.41,0.26,0.26,0.17,0.26,0.03
Total Current Liabilities,16.75,15.11,16.98,14.02,12.41,12.07,17.05,14.64,19.01,17.01,13.13,11.69,1.38,8.19,1.19,0.72,0.52,0.36,0.36,0.23,0.29,0.25
Long-Term Debt,146.76,147.77,148.71,145.33,146.95,147.78,148.6,149.42,175.23,158,159.4,155.13,0,0.83,0,0,0,0,0,0,0,0
Other Long-Term Liabilities,3.84,3.94,0,0,0,0,0,0,92.37,92.38,88.09,483.97,9.63,0,9.63,9.63,9.63,9.63,9.63,9.63,9.63,0
Total Long-Term Liabilities,150.6,151.7,148.71,145.33,146.95,147.78,148.6,149.42,267.6,250.38,247.49,639.1,9.63,0.83,9.63,9.63,9.63,9.63,9.63,9.63,9.63,0
Total Liabilities,167.35,166.81,165.69,159.35,159.35,159.84,165.65,164.06,286.61,267.39,260.63,650.79,11,9.02,10.82,10.35,10.15,9.99,9.99,9.85,9.91,0.25
Total Debt,150.51,151.52,152.46,149.24,150.07,150.9,151.73,152.54,178.36,162.89,164.08,159.59,0,3.31,0,0,0,0,0,0,0,0.22
Debt Growth,0.29%,0.41%,0.48%,-2.17%,-15.86%,-7.36%,-7.53%,-4.42%,-,4816.54%,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,408.83,428.64,444.9,443.63,442.66,441.42,437.75,436.66,455.73,455.03,477.67,-91.99,0,8,0,0.76,1.29,2.35,3.31,4.05,4.82,0.03
Retained Earnings,-203.28,-215.82,-211.63,-236.16,-259.29,-282.44,-310.16,-339.58,-415.54,-428.41,-443.39,-372.26,5,-242.78,5,4.24,3.71,2.65,1.69,0.95,0.18,-0.03
Shareholders' Equity,205.55,212.82,233.27,207.47,183.38,158.98,127.59,97.08,40.19,26.62,34.28,-464.25,5,-234.78,5,5,5,5,5,5,5,-0.01
Total Liabilities and Equity,372.9,379.63,398.96,366.81,342.73,318.83,293.24,261.14,326.8,294.01,294.91,186.53,16,-225.76,15.82,15.35,15.15,14.99,14.99,14.85,14.91,0.24
Net Cash / Debt,64.79,57,52.7,21.87,0.37,-31.39,-57.97,-92.5,-48.71,-58.74,-46.31,-130.93,0.62,6.59,0.87,0.91,0.95,1.18,1.22,1.26,1.34,-0.2
Net Cash / Debt Growth,17651.51%,-,-,-,-,-,-,-,-,-,-,-,-35.42%,456.30%,-28.93%,-27.81%,-28.69%,-,-,-,-,-
Net Cash Per Share,0.52,0.45,0.42,0.17,0.00,-0.25,-0.46,-0.73,-0.38,-0.71,-0.40,-2.64,0.01,0.17,0.02,0.02,0.03,0.03,0.04,0.04,0.04,-0.02
Working Capital,255.25,265.64,266.23,245.04,208.19,190.73,148.51,119.11,172.08,145.77,143.98,41.62,-0.69,37.02,-0.28,0.27,0.56,0.83,0.9,1.12,1.17,-0.23
Book Value Per Share,1.67,1.69,1.85,1.64,1.45,1.26,1.01,0.77,0.32,0.32,0.30,-9.37,0.13,-6.24,0.13,0.13,0.14,0.13,0.14,0.14,0.16,-
