Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2022-02-02
Cash & Equivalents,0.38,0.55,0.7,1.03,0.09,0
Cash & Cash Equivalents,0.38,0.55,0.7,1.03,0.09,0
Cash Growth,310.39%,-,-,-,-,-
Other Current Assets,0.12,0.17,0.19,0,0,-
Total Current Assets,0.5,0.72,0.89,1.03,0.09,-
Long-Term Investments,102.36,100.53,99.69,99.24,0,-
Other Long-Term Assets,0,0,0.03,0,0.21,-
Total Long-Term Assets,102.36,100.53,99.72,99.24,0.21,-
Total Assets,102.86,101.24,100.61,100.27,0.3,0.03
Current Debt,0.98,0,0,0,0.28,0
Other Current Liabilities,0.36,0.34,0.11,0.05,0,0
Total Current Liabilities,1.33,0.34,0.11,0.05,0.28,0
Other Long-Term Liabilities,3.51,3.49,3.42,3.42,0,0
Total Long-Term Liabilities,3.51,3.49,3.42,3.42,0,0
Total Liabilities,4.84,3.83,3.53,3.47,0.28,0
Total Debt,0.98,0,0,0,0.28,0
Debt Growth,249.11%,-,-,-,-,-
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-3.91,-2.8,-2.59,-2.42,-0,-0
Shareholders' Equity,-3.91,-2.8,-2.59,-2.42,0.02,0.02
Total Liabilities and Equity,0.93,1.04,0.94,1.05,0.3,0.03
Net Cash / Debt,-0.6,0.55,0.7,1.03,-0.19,0
Net Cash Per Share,-0.05,0.07,0.05,0.37,-0.08,-
Working Capital,-0.84,0.37,0.77,0.98,-0.19,-
Book Value Per Share,-0.31,-0.35,-0.20,-0.88,0.01,0.01
