Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,1.24,1.42,1.55,1.88,2.01,2.29,0.04,0
Cash & Cash Equivalents,1.24,1.42,1.55,1.88,2.01,2.29,0.04,0
Cash Growth,-38.66%,-37.95%,3388.23%,-,-,-,-,-
Other Current Assets,0.14,0.16,0.22,0.22,0.27,0.34,0,0.01
Total Current Assets,1.38,1.58,1.77,2.1,2.28,2.63,0.04,0.01
Long-Term Investments,283.04,280.58,276.56,276.25,276.06,276.03,0,0
Other Long-Term Assets,0,0,0,0,0,0,0.3,0.02
Total Long-Term Assets,283.04,280.58,276.56,276.25,276.06,276.03,0.3,0.02
Total Assets,284.42,282.16,278.32,278.35,278.34,278.67,0.34,0.03
Accounts Payable,0.02,0.01,0.01,0.14,0.04,0.05,0.04,0
Current Debt,0,0,0,0,0,0,0.1,0
Other Current Liabilities,0.66,0.64,0.61,0.37,0.22,0.15,0.21,0.02
Total Current Liabilities,0.68,0.65,0.61,0.51,0.25,0.19,0.35,0.02
Long-Term Debt,0.15,0.15,0.15,0.15,0.2,0.15,0,0
Other Long-Term Liabilities,15.74,15.02,16.07,28.9,41.51,32.54,0,0
Total Long-Term Liabilities,15.89,15.17,16.22,29.05,41.71,32.69,0,0
Total Liabilities,16.56,15.82,16.84,29.56,41.97,32.88,0.35,0.02
Total Debt,0.15,0.15,0.15,0.15,0.2,0.15,0.1,0
Debt Growth,-25.00%,-,50.00%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-15.08,-11.38,-14.97,-27.21,-39.63,-30.22,-0.03,-0.02
Shareholders' Equity,-15.08,-11.38,-14.97,-27.21,-39.63,-30.22,-0.01,0.01
Total Liabilities and Equity,1.48,4.44,1.87,2.35,2.34,2.67,0.34,0.03
Net Cash / Debt,1.09,1.27,1.4,1.73,1.81,2.14,-0.06,0
Net Cash / Debt Growth,-40.16%,-40.60%,-,-,-,-,-,-
Net Cash Per Share,0.03,0.04,0.04,0.05,0.09,0.11,-0.01,-
Working Capital,0.7,0.93,1.15,1.59,2.03,2.44,-0.3,-0.02
Book Value Per Share,-0.44,-0.33,-0.43,-0.79,-2.04,-1.51,-0.00,0.01
