Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-20
Cash & Equivalents,0.08,0.37,0.01,0.01,0.44,0.5,0.74,0.85,0.03
Cash & Cash Equivalents,0.08,0.37,0.01,0.01,0.44,0.5,0.74,0.85,0.03
Cash Growth,-80.81%,-25.34%,-98.48%,-98.46%,1643.74%,-,-,-,-
Receivables,0,0,0,0.01,0,0,0,0,0
Other Current Assets,0.05,0.1,0.14,0.19,0.2,0.2,0.21,0.22,0
Total Current Assets,0.13,0.47,0.16,0.21,0.63,0.7,0.95,1.07,0.03
Long-Term Investments,129.95,128.91,128.63,128.45,128.45,128.45,128.44,128.44,0
Other Long-Term Assets,0,0,0,0,0.05,0.1,0.14,0.19,0.12
Total Long-Term Assets,129.95,128.91,128.63,128.45,128.5,128.54,128.59,128.63,0.12
Total Assets,130.08,129.37,128.78,128.66,129.13,129.24,129.54,129.7,0.14
Accounts Payable,0,0,0,0,0,0,0,0,0
Current Debt,0.4,0.4,0.23,0,0,-,0.19,0.19,0.12
Other Current Liabilities,2.24,0.72,0.14,0.12,0.28,-,0,0,0
Total Current Liabilities,2.64,1.12,0.37,0.12,0.28,-,0.19,0.19,0.12
Other Long-Term Liabilities,0,0,0,0.05,0.12,-,0.15,0.13,0
Total Long-Term Liabilities,0,0,0,0.05,0.12,-,0.15,0.13,0
Total Liabilities,2.64,1.12,0.37,0.18,0.4,0.1,0.34,0.32,0.12
Total Debt,0.4,0.4,0.23,0,0,0,0.19,0.19,0.12
Debt Growth,-,-,22.19%,-,-,-,-,-,-
Common Stock,0,0.42,0.7,0.88,0.88,0.96,5.2,5.01,0.03
Retained Earnings,-2.51,-1.07,-0.91,-0.84,-0.59,-0.26,-0.2,-0.01,-0
Shareholders' Equity,-2.51,-0.65,-0.21,0.05,0.29,0.7,5,5,0.02
Total Liabilities and Equity,0.13,0.47,0.16,0.22,0.69,0.8,5.34,5.32,0.14
Net Cash / Debt,-0.32,-0.03,-0.22,0.01,0.44,0.5,0.55,0.65,-0.09
Net Cash / Debt Growth,-,-,-,-98.00%,-,-,-,-,-
Net Cash Per Share,-0.02,-0.00,-0.01,0.00,0.03,0.03,0.03,0.13,-0.02
Working Capital,-2.51,-0.65,-0.21,0.09,0.35,-,0.76,0.87,-0.09
Book Value Per Share,-0.15,-0.04,-0.01,0.00,0.02,0.04,0.30,0.96,0.01
