Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
Cash & Equivalents,295.07,196.51,165.25,171.61,454.1,386.98,310.24,289.09,375.94,155.99,250.36,191.68,118.51,78.64,146.18,92.77,69.77,73.36,70.42,58.46,-,9.5,-,-,62.69
Cash & Cash Equivalents,295.07,196.51,165.25,171.61,454.1,386.98,310.24,289.09,375.94,155.99,250.36,191.68,118.51,78.64,146.18,92.77,69.77,73.36,70.42,58.46,0,9.5,0,0,62.69
Cash Growth,-35.02%,-49.22%,-46.73%,-40.64%,20.79%,148.08%,23.92%,50.82%,217.21%,98.36%,71.27%,106.62%,69.87%,7.20%,107.58%,58.68%,-,672.02%,-,-,-,-,-,-,-
Receivables,7.11,6.85,8.82,9.77,9.29,7.22,7.05,5.98,13.43,6.29,6.32,6.16,5.73,6.24,5.84,5.59,5.44,5.88,6.58,7.41,-,11.92,-,-,5.7
"Property, Plant & Equipment",25.38,25.12,24.67,24.24,23.54,23.98,6.34,5.89,5.78,5.32,5.12,5.2,5.15,5.22,5.48,5.68,5.82,6.1,6.26,6.26,-,6.78,-,-,8
Goodwill and Intangibles,32.04,32.1,32.18,32.26,32.34,31.9,24.25,24.25,24.25,24.26,24.26,24.27,22.71,19.71,19.72,23.33,25.04,25.21,25.38,25.58,-,26.04,-,-,26.26
Total Assets,"2,968.51","2,866.75","2,728.7","2,541.49","2,576.66","2,527.49","2,076.27","2,009.3","2,211.58","1,973.66","1,972.9","1,810.53","1,353.86","1,251.68","1,271.93","1,190.47","1,144.69","1,084.32","1,051.53","1,046.57",-,969.66,-,-,916
Total Liabilities,"2,728.69","2,625.88","2,493.84","2,313.47","2,353.4","2,308.45","1,901.14","1,841.32","2,050.14","1,818.69","1,823.32","1,671.11","1,225.16","1,124","1,146.19","1,068.31","1,025.02",967.45,937.36,941.62,-,867.81,-,-,820.07
Total Debt,313.55,199.02,305.81,119.78,60.1,77.66,97.57,145.02,222.29,173.85,236.52,236.76,24.46,16.56,16.56,42.62,26.92,21.56,51.16,89.03,-,42,-,-,57.64
Debt Growth,421.73%,156.27%,213.41%,-17.41%,-72.96%,-55.33%,-58.75%,-38.75%,808.82%,949.84%,1328.27%,455.51%,-9.15%,-23.19%,-67.63%,-52.13%,-,-48.66%,-,-,-,-,-,-,-
Common Stock,191.9,190.49,190.04,189.49,189.28,188.63,146.38,145.62,145.28,144.7,144.05,143.5,143.08,142.8,143.03,142.1,141.74,141.36,140.93,132.79,-,130.07,-,-,123.76
Retained Earnings,49.64,51.89,46.42,40.2,35.71,30.19,28.27,21.86,15.58,9.58,4.71,-4.93,-13.62,-14.96,-17.53,-19.93,-21.34,-23.2,-24.92,-26.23,-,-27.3,-,-,-27.03
Comprehensive Income,-1.72,-1.52,-1.59,-1.67,-1.73,0.22,0.48,0.51,0.58,0.68,0.82,0.84,-0.76,-0.16,0.23,-0.01,-0.73,-1.29,-1.84,-1.6,-,-0.93,-,-,-0.8
Shareholders' Equity,239.82,240.86,234.86,228.02,223.27,219.04,175.13,167.99,161.44,154.96,149.58,139.42,128.7,127.68,125.73,122.16,119.67,116.88,114.16,104.96,-,101.85,-,-,95.93
Total Liabilities and Equity,"2,968.51","2,866.75","2,728.7","2,541.49","2,576.66","2,527.49","2,076.27","2,009.3","2,211.58","1,973.66","1,972.9","1,810.53","1,353.86","1,251.68","1,271.93","1,190.47","1,144.69","1,084.32","1,051.53","1,046.57",-,969.66,-,-,916
Net Cash / Debt,-18.49,-2.51,-140.56,51.83,394,309.32,212.66,144.07,153.65,-17.87,13.84,-45.08,94.06,62.08,129.62,50.15,42.85,51.8,19.26,-30.57,0,-32.5,0,0,5.05
Net Cash / Debt Growth,-,-,-,-64.02%,156.43%,-,1437.01%,-,63.36%,-,-89.33%,-,119.52%,19.85%,572.98%,-,-,-,-,-,-,-,-,-,-
Book Value Per Share,25.22,25.38,24.75,24.09,23.68,27.27,21.90,21.01,20.29,19.49,18.81,17.61,16.26,15.99,15.75,15.30,15.02,14.67,14.56,14.15,-,13.73,-,-,-
