Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.11,0.32,0.37,0.53,0.73,1.04,0,0,-,0.01
Cash & Cash Equivalents,0.11,0.32,0.37,0.53,0.73,1.04,0,0,0,0.01
Cash Growth,-84.64%,-68.79%,1275279.31%,32174.12%,-,8193.54%,-,-,-,-
Other Current Assets,0.2,0.23,0.33,0.45,0.57,0.52,-,-,-,0
Total Current Assets,0.32,0.55,0.7,0.98,1.3,1.56,-,-,-,0.01
Long-Term Investments,216.33,212.03,211.28,210.41,210.13,210.11,-,-,-,0
Other Long-Term Assets,0,0,0,0,0,0,-,-,-,0.11
Total Long-Term Assets,216.33,212.03,211.28,210.41,210.13,210.11,-,-,-,0.11
Total Assets,216.65,212.58,211.98,211.4,211.43,211.67,0.4,0.38,-,0.12
Accounts Payable,0.82,0.58,0.2,0.11,0.1,0.14,0,0,-,0
Current Debt,0,0,0,0,0,0,0.2,0.19,-,0
Other Current Liabilities,0.69,0.06,0.2,0.08,0.05,0.12,0.18,0.17,-,0.1
Total Current Liabilities,1.51,0.64,0.4,0.19,0.15,0.26,0.38,0.36,-,0.1
Other Long-Term Liabilities,9.37,8.78,9.55,9.38,12.68,16.46,0,0,-,0
Total Long-Term Liabilities,9.37,8.78,9.55,9.38,12.68,16.46,0,0,-,0
Total Liabilities,10.88,9.42,9.95,9.57,12.83,16.72,0.38,0.36,-,0.1
Total Debt,0,0,0,0,0,0,0.2,0.19,-,0
Common Stock,0,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-9.77,-8.71,-8.66,-8.28,-11.5,-15.16,-0,-0,-,-0
Shareholders' Equity,-9.77,-8.71,-8.66,-8.28,-11.5,-15.15,0.02,0.02,-,0.02
Total Liabilities and Equity,1.11,0.71,1.29,1.29,1.33,1.56,0.4,0.38,-,0.12
Net Cash / Debt,0.11,0.32,0.37,0.53,0.73,1.04,-0.2,-0.19,0,0.01
Net Cash / Debt Growth,-84.64%,-68.79%,-,-,-,8193.54%,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.03,0.11,-0.04,-0.04,-,0.00
Working Capital,-1.19,-0.09,0.3,0.79,1.15,1.3,-,-,-,-0.09
Book Value Per Share,-0.38,-0.34,-0.33,-0.32,-0.44,-1.59,0.01,0.01,-,0.01
