Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-12
Cash & Equivalents,0.35,0.36,0.24,0.54,0.37,0.71,0.75,0.88,0.03
Cash & Cash Equivalents,0.35,0.36,0.24,0.54,0.37,0.71,0.75,0.88,0.03
Cash Growth,-4.87%,-49.61%,-67.80%,-39.31%,1366.45%,-,-,-,-
Other Current Assets,0.07,0.16,0.25,0.34,0.35,0.42,0.5,0.55,-
Total Current Assets,0.42,0.52,0.49,0.87,0.72,1.13,1.25,1.43,-
Long-Term Investments,290.65,289.1,287.65,287.52,287.52,287.51,287.5,250,-
Total Long-Term Assets,290.65,289.1,287.65,287.52,287.52,287.51,287.5,250,-
Total Assets,291.07,289.61,288.14,288.4,288.24,288.63,288.76,251.43,0.06
Accounts Payable,0.25,0.13,0.1,0.24,0.32,0,0,0,0
Current Debt,0.09,0.36,0.44,0.51,0.14,0.14,0.14,0.14,0
Other Current Liabilities,0.25,0.26,0,0,0,0.17,0.13,0.09,0.03
Total Current Liabilities,0.59,0.76,0.53,0.75,0.46,0.31,0.27,0.23,0.03
Other Long-Term Liabilities,10.21,10.93,11.17,13.55,17.35,17.5,22.17,17.61,0
Total Long-Term Liabilities,10.21,10.93,11.17,13.55,17.35,17.5,22.17,17.61,0
Total Liabilities,10.8,11.69,11.71,14.31,17.81,17.81,22.43,17.83,0.03
Total Debt,0.09,0.36,0.44,0.51,0.14,0.14,0.14,0.14,0
Debt Growth,-37.15%,154.82%,209.81%,260.10%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,3.83,1.58,0.03
Retained Earnings,-10.09,-10.56,-11.06,-13.41,-17.08,-16.68,1.17,3.42,-0
Shareholders' Equity,-10.09,-10.56,-11.06,-13.41,-17.07,-16.68,5,5,0.02
Total Liabilities and Equity,0.71,1.13,0.64,0.9,0.74,1.13,27.43,22.83,0.06
Net Cash / Debt,0.26,-0,-0.2,0.03,0.23,0.56,0.61,0.74,0.03
Net Cash / Debt Growth,15.39%,-,-,-96.39%,800.98%,-,-,-,-
Net Cash Per Share,0.01,-0.00,-0.01,0.00,0.01,0.02,0.02,0.07,0.00
Working Capital,-0.17,-0.24,-0.04,0.12,0.26,0.81,0.99,1.2,-
Book Value Per Share,-0.28,-0.29,-0.31,-0.37,-0.49,-0.46,0.15,0.51,0.00
