Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.77,0.34,0.18,0.75,1.51,0.31,0.68,0.89,0.17
Cash & Cash Equivalents,0.77,0.34,0.18,0.75,1.51,0.31,0.68,0.89,0.17
Cash Growth,-48.89%,9.46%,-73.85%,-15.70%,765.87%,-,-,-,-
Other Current Assets,0.03,0.1,0.19,0.25,0.26,0.31,0.37,0.42,0.13
Total Current Assets,0.81,0.44,0.37,1,1.77,0.62,1.04,1.31,0.3
Long-Term Investments,34.71,276.35,275.42,275.04,275.02,275.01,275.01,275,0
Total Long-Term Assets,34.71,276.35,275.42,275.04,275.02,275.01,275.01,275,0
Total Assets,35.51,276.79,275.79,276.04,276.79,275.63,276.05,276.31,0.3
Accounts Payable,3.54,3.15,2.44,2.04,1.88,0.01,0,0,0
Current Debt,1.41,1.68,1.5,1.5,1.5,0,0,0,0.28
Other Current Liabilities,0.87,0.29,0.05,0,0,0.27,0.14,0.04,0
Total Current Liabilities,5.82,5.12,3.99,3.54,3.38,0.28,0.14,0.04,0.28
Other Long-Term Liabilities,15.69,16.47,16.08,20.73,23.8,28.92,37.4,32.03,0
Total Long-Term Liabilities,15.69,16.47,16.08,20.73,23.8,28.92,37.4,32.03,0
Total Liabilities,21.52,21.59,20.07,24.27,27.18,29.2,37.54,32.07,0.28
Total Debt,1.41,1.68,1.5,1.5,1.5,0,0,0,0.28
Debt Growth,-6.05%,-,-,-,445.45%,-,-,-,-
Common Stock,0,0,0,0,0,0,8.94,3.21,0.03
Retained Earnings,-20.69,-20.83,-19.36,-23.23,-25.4,-28.58,-3.94,1.79,-0
Shareholders' Equity,-20.69,-20.83,-19.36,-23.23,-25.4,-28.58,5,5,0.02
Total Liabilities and Equity,0.82,0.76,0.71,1.04,1.79,0.63,42.54,37.07,0.3
Net Cash / Debt,-0.64,-1.34,-1.32,-0.75,0.01,0.31,0.68,0.89,-0.1
Net Cash Per Share,-0.02,-0.04,-0.04,-0.02,0.00,0.01,0.02,0.03,-0.02
Working Capital,-5.02,-4.69,-3.62,-2.53,-1.61,0.33,0.91,1.27,0.02
Book Value Per Share,-0.70,-0.61,-0.56,-0.68,-0.74,-0.83,0.14,0.18,0.00
