Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.26,0.16,0.19,0.35,0.47,0.03,0.03
Short-Term Investments,19.57,0,0,0,69,-,-
Cash & Cash Equivalents,19.83,0.16,0.19,0.35,69.48,0.03,0.03
Cash Growth,-71.45%,534.46%,675.94%,-,-,-,-
Other Current Assets,0.01,0.02,0.13,0.1,0.1,-,-
Total Current Assets,19.84,0.18,0.33,0.45,69.57,-,-
Long-Term Investments,0,69.4,69.1,69.01,0,-,-
Total Long-Term Assets,0,69.4,69.1,69.01,0,-,-
Total Assets,19.84,69.58,69.43,69.45,69.57,0.12,0.11
Accounts Payable,0.32,0.16,0.11,0.11,0.1,0,0
Current Debt,0,0,0,0,0,-,0.07
Other Current Liabilities,2.25,0.07,0.01,0,2.08,-,0.02
Total Current Liabilities,2.57,0.23,0.12,0.11,2.18,-,0.09
Other Long-Term Liabilities,0,2.07,2.07,2.07,0,-,0
Total Long-Term Liabilities,0,2.07,2.07,2.07,0,-,0
Total Liabilities,2.57,2.3,2.19,2.18,2.18,0.1,0.09
Total Debt,0,0,0,0,0,0.08,0.07
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-2.28,-1.98,-1.8,-1.72,-1.6,-0,-0
Shareholders' Equity,-2.28,-1.98,-1.8,-1.72,-1.6,0.02,0.02
Total Liabilities and Equity,0.29,0.32,0.4,0.45,0.57,0.12,0.11
Net Cash / Debt,19.83,0.16,0.19,0.35,69.48,-0.06,-0.04
Net Cash / Debt Growth,-71.45%,-,-,-,-,-,-
Net Cash Per Share,2.43,0.02,0.02,0.04,25.17,-0.04,-0.03
Working Capital,17.27,-0.05,0.2,0.34,67.4,-,-
Book Value Per Share,-0.28,-0.22,-0.20,-0.19,-0.58,0.01,0.02
