Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Cash & Equivalents,6.35,13.3,16.72,32.99,25.48,31.79,41.43,43.71,-,0.3,-,0.13
Short-Term Investments,0.67,0.11,2.19,5.13,13.87,10.42,3.23,1.26,-,0.23,-,0.02
Cash & Cash Equivalents,7.03,13.41,18.91,38.12,39.35,42.21,44.66,44.97,0,0.53,0,0.15
Cash Growth,-82.14%,-68.24%,-57.66%,-15.24%,-,7844.67%,-,29967.05%,-,-,-,-
Receivables,4.82,10.91,0.83,2.7,2.57,2.11,0.31,0.78,-,0.37,-,0.14
Inventory,4.7,4.47,3.32,3.61,3.55,3.37,0.37,0.32,-,0.4,-,0.53
Other Current Assets,4.9,6.85,41.52,4.09,5.15,6.96,4.06,0.2,-,0.07,-,0.56
Total Current Assets,21.44,35.64,64.58,48.51,50.62,54.66,49.4,46.27,-,1.36,-,1.38
"Property, Plant & Equipment",161.7,170.67,184.62,239.72,221.95,168.41,40.14,19.29,-,7.81,-,6.39
Long-Term Investments,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.19,-,0.19,-,0.19
Other Long-Term Assets,5.77,10.43,24.73,66.82,98.93,131.35,85.62,78.69,-,0,-,0
Total Long-Term Assets,167.68,181.31,209.56,306.76,321.09,299.97,125.95,98.16,-,8,-,6.57
Total Assets,189.12,216.96,274.14,355.27,371.7,354.62,175.35,144.44,-,9.36,-,7.95
Accounts Payable,16.46,28.92,30.7,25.86,29.74,30.08,30.36,15.05,-,9.18,-,9.08
Deferred Revenue,0.28,0.35,0.13,0.13,0.13,0.19,0.19,0.19,-,0.04,-,0
Current Debt,4.42,22.6,90.61,100.99,78.69,50.1,31.25,18.97,-,2.47,-,0.29
Other Current Liabilities,6.84,8.54,7.25,17.44,15.8,11.98,3.65,-0.13,-,-0.04,-,0
Total Current Liabilities,27.99,60.41,128.69,144.42,124.36,92.35,65.44,34.08,-,11.65,-,9.38
Long-Term Debt,59.28,58.26,7.61,26.89,32.91,19.22,23.26,19.71,-,1.27,-,0.93
Other Long-Term Liabilities,4.16,3.51,6.18,1.12,1.11,1.16,1.54,1.62,-,0.49,-,0.42
Total Long-Term Liabilities,63.44,61.76,13.79,28.01,34.02,20.38,24.8,21.33,-,1.76,-,1.36
Total Liabilities,91.42,122.18,142.48,172.43,158.38,112.73,90.24,55.41,-,13.41,-,10.73
Total Debt,63.69,80.86,98.21,127.88,111.6,69.32,54.51,38.69,-,3.74,-,1.22
Debt Growth,-42.93%,16.65%,80.17%,230.55%,-,1751.03%,-,3060.15%,-,-,-,-
Common Stock,373.04,323.47,313.55,291.31,282.52,279.54,9.64,7.27,-,-4.05,-,-2.78
Retained Earnings,-290.85,-240.44,-211.33,-155.71,-241.9,-338.71,-263.81,-182.19,-,0,-,-
Shareholders' Equity,82.2,83.03,102.23,135.6,40.62,-59.16,-254.18,-174.92,-,-4.05,-,-2.78
Total Liabilities and Equity,173.62,205.2,244.71,308.03,199,53.57,-163.93,-119.51,-,9.36,-,7.95
Net Cash / Debt,-56.66,-67.45,-79.3,-89.76,-72.25,-27.11,-9.85,6.29,0,-3.21,0,-1.07
Net Cash Per Share,-1.30,-2.61,-3.22,-4.41,-3.58,-4.91,-30.55,772.77,-,-,-,-
Working Capital,-6.55,-24.77,-64.12,-95.9,-73.75,-37.7,-16.04,12.19,-,-10.29,-,-8
Book Value Per Share,1.88,3.21,4.15,6.67,2.01,-10.72,-788.53,-21496.99,-,-0.09,-,-
