Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,704.75,992.72,833.14,866.67,706.37,386.96,413.7,307.53,159.18,312.65,-,-,-,52.02
Cash & Cash Equivalents,704.75,992.72,833.14,866.67,706.37,386.96,413.7,307.53,159.18,312.65,0,0,0,52.02
Cash Growth,-0.23%,156.54%,101.39%,181.82%,343.77%,23.77%,-,-,-,501.07%,-,-,-,-
Receivables,234.56,231.42,187.22,244.75,189.71,210.25,171.86,206.8,158.57,177.7,-,-,-,118.43
Other Current Assets,"2,529.62","2,669.92","2,179.24","2,844.02","2,144.56","2,413.79","1,945.36","2,326.72","1,831.7","2,003",-,-,-,"1,250.77"
Total Current Assets,"3,468.92","3,894.07","3,199.59","3,955.44","3,040.64","3,011.01","2,530.92","2,841.05","2,149.45","2,493.35",-,-,-,"1,421.21"
"Property, Plant & Equipment",173.45,175.14,157.95,148.04,114.34,100.16,95.33,102.53,106.14,111.36,-,-,-,11.56
Long-Term Investments,41.17,38.51,38.51,40.52,41.82,45.42,47.09,46.91,46.56,47.22,-,-,-,22.52
Goodwill and Intangibles,"1,893.77","1,801.43","1,815.56","1,838.17","1,863.39","1,883.2","1,751.76","1,777.2","1,802.5","1,828.96",-,-,-,693.75
Other Long-Term Assets,469.65,474.59,476.35,460.24,425.45,418.92,433.36,39.46,45.69,48.49,-,-,-,41.26
Total Long-Term Assets,"2,578.04","2,489.68","2,488.37","2,486.98","2,445","2,447.7","2,327.54","1,966.1","2,000.89","2,036.03",-,-,-,769.09
Total Assets,"6,046.96","6,383.74","5,687.96","6,442.42","5,485.64","5,458.71","4,858.46","4,807.15","4,150.34","4,529.38",-,-,-,"2,190.31"
Accounts Payable,73.98,119.02,81.98,79.46,101.34,99.4,78.78,131.95,122.31,115.57,-,-,-,47.41
Current Debt,42.91,53.33,48.27,47.3,40.92,42.25,45.58,42.46,41.9,39.04,-,-,-,9.01
Other Current Liabilities,"2,649.72","2,962.02","2,387.6","3,220.58","2,363.06","2,776.49","2,252.51","2,686.13","2,005.7","2,327.71",-,-,-,"1,371.48"
Total Current Liabilities,"2,766.6","3,134.37","2,517.85","3,347.34","2,505.31","2,918.14","2,376.87","2,860.53","2,169.91","2,482.32",-,-,-,"1,427.9"
Long-Term Debt,"2,101.74","2,103.84","2,088.5","2,080.28","2,048.51","1,641.01","1,638.34","1,646.27","1,650.52","1,649.93",-,-,-,660.03
Other Long-Term Liabilities,327.03,327.72,324.09,313.29,307.78,304.78,288.16,80.13,89.11,86.41,-,-,-,39.23
Total Long-Term Liabilities,"2,428.76","2,431.56","2,412.59","2,393.56","2,356.29","1,945.79","1,926.49","1,726.41","1,739.63","1,736.34",-,-,-,699.25
Total Liabilities,"5,195.36","5,565.93","4,930.44","5,740.9","4,861.6","4,863.93","4,303.36","4,586.94","3,909.54","4,218.66",-,-,-,"2,127.15"
Total Debt,"2,144.64","2,157.18","2,136.77","2,127.58","2,089.43","1,683.27","1,683.92","1,688.73","1,692.42","1,688.97",-,-,-,669.04
Debt Growth,2.64%,28.15%,26.89%,25.99%,23.46%,-0.34%,-,-,-,152.45%,-,-,-,-
Common Stock,437.16,418.38,402.29,386.17,371.69,349.12,328.06,346.62,417.82,67.09,-,-,-,199.77
Retained Earnings,67.15,53.99,36.09,24.35,-0.15,-7.06,-17.12,-369.65,-418.87,0,-,-,-,-276.01
Comprehensive Income,4.28,6.04,4.37,-1.26,0.35,1.71,1.76,2.41,1.61,2.7,-,-,-,0.86
Shareholders' Equity,508.59,478.41,442.75,409.26,371.89,343.77,312.71,-20.62,0.57,69.79,-,-,-,-75.38
Total Liabilities and Equity,"5,703.95","6,044.34","5,373.18","6,150.16","5,233.49","5,207.71","4,616.07","4,566.32","3,910.11","4,288.45",-,-,-,"2,051.77"
Net Cash / Debt,"-1,439.9","-1,164.45","-1,303.64","-1,260.91","-1,383.06","-1,296.3","-1,270.22","-1,381.2","-1,533.25","-1,376.32",0,0,0,-617.02
Net Cash Per Share,-5.39,-4.35,-4.89,-10.49,-5.24,-12.12,-12.06,-,-,-,-,-,-,-
Working Capital,702.32,759.7,681.75,608.1,535.33,92.87,154.05,-19.48,-20.46,11.03,-,-,-,-6.69
Book Value Per Share,4.58,4.33,4.05,3.79,3.49,3.21,2.97,-0.08,0.00,0.27,-,-,-,-
