Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.24,0.35,0.39,0.15,0.2,-
Cash & Cash Equivalents,0.24,0.35,0.39,0.15,0.2,0
Cash Growth,20.34%,-,-,-,-,-
Receivables,0.01,0,0,0,0,-
Other Current Assets,0.08,0.17,0.25,-,0.1,-
Total Current Assets,0.33,0.52,0.64,-,0.3,-
Long-Term Investments,116.65,115.66,115.14,-,0,-
Total Long-Term Assets,116.65,115.66,115.14,-,0,-
Total Assets,116.98,116.18,115.78,0.3,0.3,-
Current Debt,0,0,0,0.25,0.25,-
Other Current Liabilities,1.13,0.24,0.09,0.04,0.03,-
Total Current Liabilities,1.13,0.24,0.09,0.29,0.28,-
Other Long-Term Liabilities,4.03,4.03,4.03,0,0,-
Total Long-Term Liabilities,4.03,4.03,4.03,0,0,-
Total Liabilities,5.15,4.27,4.11,0.29,0.28,-
Total Debt,0,0,0,0.25,0.25,-
Common Stock,0,0,0,0.03,0.03,-
Retained Earnings,-4.82,-3.75,-3.48,-0.01,-0.01,-
Shareholders' Equity,-4.82,-3.75,-3.48,0.01,0.01,-
Total Liabilities and Equity,0.33,0.52,0.64,0.3,0.3,-
Net Cash / Debt,0.24,0.35,0.39,-0.1,-0.05,0
Net Cash Per Share,0.08,0.11,0.03,-0.04,-,-
Working Capital,-0.8,0.28,0.55,-,0.01,-
Book Value Per Share,-1.69,-1.16,-0.29,0.01,0.01,-
