Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0,0.37,0.23,0.29,0.58,0.8,0.88,0.95,1.32,0
Cash & Cash Equivalents,0,0.37,0.23,0.29,0.58,0.8,0.88,0.95,1.32,0
Cash Growth,-99.32%,-53.40%,-73.81%,-69.32%,-55.92%,-,-,-,-,-
Other Current Assets,0.17,0.09,0.21,0.34,0.49,0.47,0.48,0.5,0.96,0
Total Current Assets,0.17,0.46,0.44,0.63,1.07,1.27,1.37,1.45,2.28,0
Long-Term Investments,19.04,338.42,335.53,333.88,333.53,333.52,333.51,333.51,333.5,0
Other Long-Term Assets,0,0,0,0,0,0.09,0.2,0.32,0,0.01
Total Long-Term Assets,19.04,338.42,335.53,333.88,333.53,333.61,333.71,333.82,333.5,0.01
Total Assets,19.21,338.88,335.97,334.52,334.6,334.88,335.08,335.27,335.78,0.01
Accounts Payable,3.73,2.61,1.87,0.85,0.99,1.03,0.3,0,0,0.01
Current Debt,0.2,0,0,0,0,0,0,0,0,0
Other Current Liabilities,3.21,0,0,0,0,0,0,0.1,0.39,0
Total Current Liabilities,7.14,2.61,1.87,0.85,0.99,1.03,0.3,0.1,0.39,0.01
Other Long-Term Liabilities,13.11,13.12,12.69,15.66,17.46,21.23,21.6,25.24,31.57,0
Total Long-Term Liabilities,13.11,13.12,12.69,15.66,17.46,21.23,21.6,25.24,31.57,0
Total Liabilities,20.25,15.73,14.56,16.51,18.45,22.26,21.89,25.34,31.96,0.01
Total Debt,0.2,0,0,0,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0,0,5.41,0
Retained Earnings,-19.66,-14.2,-13.51,-15.56,-17.36,-20.88,-20.31,5,-0.41,-0
Shareholders' Equity,-19.66,-14.2,-13.51,-15.56,-17.36,-20.88,-20.31,5,5,-0
Total Liabilities and Equity,0.59,1.52,1.05,0.95,1.1,1.38,1.58,30.34,36.96,0.01
Net Cash / Debt,-0.2,0.37,0.23,0.29,0.58,0.8,0.88,0.95,1.32,0
Net Cash / Debt Growth,-,-53.40%,-73.81%,-69.32%,-55.92%,-,-,-,-,-
Net Cash Per Share,-0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.09,-
Working Capital,-6.97,-2.14,-1.43,-0.22,0.08,0.24,1.07,1.35,1.89,-0.01
Book Value Per Share,-1.24,-0.34,-0.32,-0.37,-0.42,-0.52,-0.49,0.12,0.36,-
