Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.84,1.63,2.01,2.13,2.28,2.57,2.81,4.11,0
Cash & Cash Equivalents,0.84,1.63,2.01,2.13,2.28,2.57,2.81,4.11,0
Cash Growth,-62.97%,-36.67%,-28.46%,-48.22%,-,-,-,-,-
Receivables,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
Other Current Assets,0.2,0.27,0.4,0.55,0.69,0.75,0.88,1.02,-
Total Current Assets,1.06,1.91,2.41,2.68,2.98,3.33,3.69,5.13,-
Long-Term Investments,353.65,349.94,347.04,345.51,345.07,345.04,345.04,345.03,-
Total Long-Term Assets,353.65,349.94,347.04,345.51,345.07,345.04,345.04,345.03,-
Total Assets,354.71,351.85,349.45,348.2,348.05,348.37,348.73,350.15,0.31
Accounts Payable,0.03,0.03,0.06,0,0.01,0.14,0,1.19,0.01
Current Debt,0,0,0,0,0,0,0.17,0.17,0.13
Other Current Liabilities,5.82,4.99,1.47,0.65,0.52,0.38,0.46,0.45,0.18
Total Current Liabilities,5.84,5.02,1.54,0.65,0.52,0.52,0.63,1.81,0.32
Other Long-Term Liabilities,41,36.55,18.89,17.66,23.9,41.8,43.88,38.56,0
Total Long-Term Liabilities,41,36.55,18.89,17.66,23.9,41.8,43.88,38.56,0
Total Liabilities,46.84,41.57,20.43,18.32,24.43,42.32,44.51,40.37,0.32
Total Debt,0,0,0,0,0,0,0.17,0.17,0.13
Common Stock,0,0,0,0,0,0,0,11.45,0.03
Retained Earnings,-45.34,-39.31,-18.38,-16.03,-21.66,-38.56,-40.32,-6.21,-0.03
Shareholders' Equity,-45.34,-39.31,-18.38,-16.03,-21.66,-38.56,-40.32,5.25,-0.01
Total Liabilities and Equity,1.5,2.26,2.05,2.28,2.77,3.76,4.19,45.62,0.31
Net Cash / Debt,0.84,1.63,2.01,2.13,2.28,2.57,2.64,3.94,-0.13
Net Cash / Debt Growth,-62.97%,-36.67%,-23.95%,-46.03%,-,-,-,-,-
Net Cash Per Share,0.02,0.04,0.05,0.05,0.05,0.09,0.06,0.31,-0.02
Working Capital,-4.79,-3.11,0.88,2.03,2.45,2.81,3.06,3.32,-
Book Value Per Share,-1.05,-0.91,-0.43,-0.37,-0.50,-1.36,-0.94,0.42,-0.00
