Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30
Cash & Equivalents,0.37,5.3,0.13,6.07,0.08,0.22,0.2,0.06,2.28,0.75,5.31,0.06,0.04,0.12,0.16,5.57,2.83,0.25,0.25,1.05,0.03,0.25,0.52,3.61,3.77,3.52,4.02,3.99,4.01,4.02,4,10.71,8.92
Cash & Cash Equivalents,0.37,5.3,0.13,7.42,0.08,0.22,0.2,0.06,2.28,0.75,5.31,0.06,0.04,0.12,0.16,5.57,2.83,0.25,0.25,1.05,0.03,0.25,0.52,3.61,3.77,3.52,4.02,3.99,4.01,4.02,4,10.71,8.92
Cash Growth,341.23%,2257.45%,-35.06%,11653.98%,-96.32%,-70.21%,-96.31%,0.43%,6350.44%,538.26%,3233.54%,-98.87%,-98.75%,-52.30%,-35.22%,429.20%,9293.32%,-0.14%,-52.83%,-70.83%,-99.20%,-92.95%,-87.05%,-9.70%,-6.08%,-12.46%,0.49%,-62.73%,-55.06%,-,-,-,-
Receivables,3.25,12.23,2.89,2.82,2.49,2.72,2.54,2.34,6.97,1.5,2.33,1.29,1.78,1.53,2.23,1.94,3.48,2.86,2.82,1.79,2.44,2.6,3.33,2.82,3.89,3.46,4.14,2.99,2.95,0.67,1.78,1.35,0.66
Other Current Assets,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Total Current Assets,3.62,17.52,3.02,10.24,2.58,2.94,2.73,2.4,9.25,2.25,7.64,1.35,1.82,1.65,2.39,7.5,6.32,3.11,3.07,2.84,2.47,2.85,3.86,6.43,7.66,6.98,8.16,6.99,6.96,4.69,5.79,12.06,9.58
Long-Term Investments,203.64,193.24,197.08,201.4,215.43,207.21,246.57,179.53,178.5,146.97,165.76,132.98,162.26,166.9,165.12,173.06,189.07,186.89,186.96,178.8,166.91,174.75,186.02,186.24,197.48,176.7,192.4,181.54,184.75,197.5,186.35,170.25,120.76
Other Long-Term Assets,0,0,0,-1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Total Long-Term Assets,203.64,193.24,197.08,200.05,215.43,207.21,246.57,179.53,178.5,146.97,165.76,132.98,162.26,166.9,165.12,173.06,189.07,186.89,186.96,178.8,166.91,174.75,186.02,186.24,197.48,176.7,192.4,181.54,184.75,197.5,186.35,170.25,120.76
Total Assets,208.5,212.26,201.64,211,218.74,210.86,250.1,182.53,188.36,149.86,173.98,134.92,164.7,169.2,168.15,181.32,196.21,190.82,190.92,182.6,170.43,178.7,191.02,193.39,205.94,184.34,201.3,189.28,192.53,203.12,193.03,183.03,130.71
