Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.37,0.52,0.61,2.27,0.16,0
Cash & Cash Equivalents,0.37,0.52,0.61,2.27,0.16,0
Cash Growth,130.55%,-,-,-,-,-
Other Current Assets,0.46,0.42,0.46,0.03,0,0
Total Current Assets,0.84,0.93,1.07,2.29,0.16,0
Long-Term Investments,219.95,217.65,215.44,205.01,0,0
Other Long-Term Assets,0.1,0.2,0.31,0,0.43,0.03
Total Long-Term Assets,220.05,217.85,215.75,205.01,0.43,0.03
Total Assets,220.89,218.78,216.82,207.3,0.59,0.03
Accounts Payable,0.02,0,0,0.66,0,0
Current Debt,5.24,5.24,0,0,0.3,0
Other Current Liabilities,0.37,0.3,0.26,0.2,0.34,0.04
Total Current Liabilities,5.64,5.54,0.26,0.86,0.64,0.04
Long-Term Debt,0,0,5.24,5,0,0
Other Long-Term Liabilities,7.34,7.34,7.34,7.02,0,0
Total Long-Term Liabilities,7.34,7.34,12.58,12.02,0,0
Total Liabilities,12.98,12.88,12.83,12.88,0.64,0.04
Total Debt,5.24,5.24,5.24,5,0.3,0
Debt Growth,1646.67%,-,-,-,-,-
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-11.94,-11.64,-11.36,-10.58,-0.07,-0.03
Shareholders' Equity,-11.93,-11.64,-11.36,-10.58,-0.05,-0.01
Total Liabilities and Equity,1.04,1.24,1.48,2.3,0.59,0.03
Net Cash / Debt,-4.87,-4.72,-4.63,-2.73,-0.14,0
Net Cash Per Share,-0.19,-0.83,-0.88,-0.50,-0.03,-
Working Capital,-4.8,-4.61,0.81,1.43,-0.48,-0.04
Book Value Per Share,-0.46,-2.24,-2.19,-1.94,-0.01,-
