Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.82,0.54,0.66,0.78,1.05,0.02,0.02,-,0.03
Cash & Cash Equivalents,0.82,0.54,0.66,0.78,1.05,0.02,0.02,0,0.03
Cash Growth,-21.28%,2442.95%,2858.09%,-,4084.91%,-,-,-,-
Other Current Assets,0.06,0.14,0.24,0.35,0.36,0,-,-,0
Total Current Assets,0.88,0.68,0.9,1.14,1.41,0.02,-,-,0.03
Long-Term Investments,159.76,159.14,158.41,158.17,158.11,0,-,-,0
Other Long-Term Assets,0,0,0,0,0.04,0.41,-,-,0.09
Total Long-Term Assets,159.76,159.14,158.41,158.17,158.14,0.41,-,-,0.09
Total Assets,160.64,159.82,159.32,159.31,159.55,0.43,0.36,-,0.12
Current Debt,0.15,0.15,0.15,0.15,0.15,0.2,0.13,-,0.07
Other Current Liabilities,1.6,0.91,0.34,0.18,0.25,0.22,0.22,-,0.02
Total Current Liabilities,1.75,1.06,0.5,0.33,0.41,0.42,0.35,-,0.09
Other Long-Term Liabilities,8.15,8.15,8.15,8.15,8.15,0,0,-,0
Total Long-Term Liabilities,8.15,8.15,8.15,8.15,8.15,0,0,-,0
Total Liabilities,9.9,9.21,8.65,8.48,8.56,0.42,0.35,-,0.09
Total Debt,0.15,0.15,0.15,0.15,0.15,0.2,0.13,-,0.07
Debt Growth,-,-23.81%,17.63%,-,110.31%,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-9.02,-8.22,-7.43,-7.27,-7.1,-0.01,-0.01,-,-0
Shareholders' Equity,-9.02,-8.22,-7.43,-7.27,-7.1,0.01,0.02,-,0.02
Total Liabilities and Equity,0.88,0.99,1.22,1.21,1.45,0.43,0.36,-,0.12
Net Cash / Debt,0.67,0.39,0.51,0.63,0.89,-0.18,-0.11,0,-0.05
Net Cash / Debt Growth,-24.92%,-,-,-,-,-,-,-,-
Net Cash Per Share,0.03,0.02,0.02,0.03,0.14,-0.04,-0.02,-,-0.02
Working Capital,-0.87,-0.38,0.41,0.8,1,-0.4,-,-,-0.07
Book Value Per Share,-0.41,-0.38,-0.34,-0.33,-1.09,0.00,0.00,-,0.01
