Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2021-03-31,2020-12-31,2019-12-31
Cash & Equivalents,11.22,16.5,4.48,4.47,0.04,1.3,0.13
Short-Term Investments,4.66,0.05,0.08,0,0,0,0
Cash & Cash Equivalents,15.88,16.55,4.56,4.47,0.04,1.3,0.13
Cash Growth,39033.86%,1173.38%,3407.69%,-,-,-,-
Receivables,1.54,0.74,1.17,4.22,0,0.69,0.03
Inventory,0.15,0.16,0.2,2.73,0,0.9,0
Other Current Assets,1.12,5.25,0.95,0.82,0,0.29,0.04
Total Current Assets,18.69,22.71,6.88,12.25,0.04,3.18,0.2
"Property, Plant & Equipment",2.32,3.59,4.39,0.6,0,0.44,0.01
Goodwill and Intangibles,0.09,0.17,0.27,0.34,0,0.41,0
Other Long-Term Assets,0,0,0,0,0.27,0.01,0.03
Total Long-Term Assets,2.41,3.77,4.65,0.94,0.27,0.86,0.04
Total Assets,21.1,26.47,11.53,13.18,0.31,4.04,0.25
Accounts Payable,0.21,0.18,1.29,1.2,0,0.05,0.01
Current Debt,0.19,0.15,0.02,0,0.1,0,0
Other Current Liabilities,0.16,0.18,0.09,0.27,0.2,0.28,0.17
Total Current Liabilities,0.56,0.51,1.4,1.46,0.29,0.32,0.18
Long-Term Debt,0.23,0.26,0.03,0,0,0,0
Total Long-Term Liabilities,0.23,0.26,0.03,0,0,0,0
Total Liabilities,0.79,0.77,1.42,1.46,0.29,0.32,0.18
Total Debt,0.42,0.41,0.04,0,0.1,0,0
Debt Growth,341.05%,-,-,-,-,-,-
Common Stock,46.03,46.58,13.97,0.18,0.03,0.18,0.15
Retained Earnings,-25.26,-20.79,-16.41,-0.3,-0,0.29,-0.08
Comprehensive Income,-0.46,-0.08,0.08,-0.01,0,0.02,-0.01
Shareholders' Equity,20.31,25.71,-2.36,-0.13,0.02,0.5,0.07
Total Liabilities and Equity,21.1,26.47,-0.94,1.33,0.31,0.82,0.25
Net Cash / Debt,15.46,16.15,4.52,4.47,-0.05,1.3,0.13
Net Cash / Debt Growth,-,1142.08%,3373.85%,-,-,-,-
Net Cash Per Share,-,-,-,0.20,-0.05,-,-
Working Capital,18.14,22.2,5.48,10.79,-0.25,2.86,0.02
Book Value Per Share,1.06,1.14,-0.19,-0.01,0.02,0.04,-
