Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,31.49,31.46,3.05,225.65,250.04,250.04,250.07,0.03,0.03
Cash & Cash Equivalents,31.49,31.46,3.05,225.65,250.04,250.04,250.07,0.03,0.03
Cash Growth,-87.41%,-87.42%,-98.78%,902498.98%,1000070.69%,-,-,-,-
Other Current Assets,-31.24,-31.18,-1.29,-225.58,-249.82,-249.55,-249.27,0.95,0
Total Current Assets,0.25,0.28,1.76,0.07,0.22,0.49,0.8,0.98,0.03
Long-Term Investments,0,0,224.16,0,0,0,0,250,0
Other Long-Term Assets,31.45,31.19,1.57,226.2,250.59,250.54,250.56,0,0
Total Long-Term Assets,31.45,31.19,225.73,226.2,250.59,250.54,250.56,250,0
Total Assets,31.7,31.47,227.49,226.27,250.81,251.03,251.36,250.98,0.03
Accounts Payable,0,0.08,1.45,0.57,0.57,0.53,0.6,0.01,0
Current Debt,8.2,8.15,6.9,5.45,0.73,0.68,0.62,0.51,0
Other Current Liabilities,1.26,0.88,0.21,0.87,1.55,1.03,0.13,0.04,0
Total Current Liabilities,9.46,9.11,8.56,6.89,2.85,2.23,1.34,0.56,0
Other Long-Term Liabilities,2.68,2.33,2.98,4.07,7.31,9.02,9.19,10.04,0
Total Long-Term Liabilities,2.68,2.33,2.98,4.07,7.31,9.02,9.19,10.04,0
Total Liabilities,12.14,11.44,11.54,10.95,10.16,11.26,10.53,10.59,0
Total Debt,8.2,8.15,6.9,5.45,0.73,0.68,0.62,0.51,0
Debt Growth,1016.54%,1106.58%,1017.64%,972.84%,-,-,-,-,-
Common Stock,0.7,0,0,0,0.15,0,6.39,6.82,0.03
Retained Earnings,-12.31,-11.14,-9.35,-10.32,-9.5,-10.23,-1.39,-1.82,-0
Comprehensive Income,0,0,-0.33,0,0,0,0,0,0
Shareholders' Equity,-11.62,-11.14,-9.68,-10.31,-9.35,-10.23,5,5,0.02
Total Liabilities and Equity,0.53,0.3,1.86,0.64,0.81,1.03,15.53,15.59,0.03
Net Cash / Debt,23.29,23.3,-3.86,220.2,249.31,249.36,249.45,-0.48,0.03
Net Cash / Debt Growth,-90.66%,-90.65%,-,-,997132.99%,-,-,-,-
Working Capital,-9.21,-8.83,-6.8,-6.82,-2.63,-1.75,-0.55,0.42,0.02
Book Value Per Share,-0.48,-0.41,-0.34,-0.33,-0.35,-0.32,0.16,0.49,0.00
