Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31
Cash & Equivalents,0.01,0.01,0.01,0.06,0.14,0.27,0.36,0.47,0.68,0.04,0.03,0,-,-,0.05
Cash & Cash Equivalents,0.01,0.01,0.01,0.06,0.14,0.27,0.36,0.47,0.68,0.04,0.03,0,0,0,0.05
Cash Growth,-93.04%,-97.16%,-98.08%,-86.97%,-80.20%,611.16%,1084.77%,90003.61%,-,-,-39.93%,-,-,-,-
Other Current Assets,0.01,0.01,0.01,0.01,0.02,0.04,0.1,0.13,0.03,-,0,0,-,-,0
Total Current Assets,0.01,0.01,0.01,0.07,0.16,0.32,0.46,0.6,0.72,-,0.03,0,-,-,0.05
Long-Term Investments,42.02,41.32,41.82,41.42,41.02,40.62,40.62,40.62,40.6,-,0,0,-,-,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,-,0.22,0.2,-,-,0
Total Long-Term Assets,42.02,41.32,41.82,41.42,41.02,40.62,40.62,40.62,40.6,-,0.22,0.2,-,-,0
Total Assets,42.03,41.33,41.84,41.49,41.17,40.93,41.08,41.21,41.32,0.28,0.25,0.2,-,-,0.05
Current Debt,2.61,2.03,1.73,1.19,0.79,0.39,0.39,0.39,0.39,0.28,0.23,0.2,-,-,0
Other Current Liabilities,0.4,0.35,0.24,0.21,0.17,0.15,0.1,0.11,0.09,0.02,0.03,0,-,-,0.03
Total Current Liabilities,3,2.38,1.97,1.41,0.97,0.54,0.5,0.5,0.48,0.29,0.25,0.2,-,-,0.03
Other Long-Term Liabilities,1.09,1.18,1.47,1.95,2.02,2.54,2.82,3.93,1,0,0,0,-,-,0
Total Long-Term Liabilities,1.09,1.18,1.47,1.95,2.02,2.54,2.82,3.93,1,0,0,0,-,-,0
Total Liabilities,4.09,3.56,3.44,3.36,2.99,3.08,3.32,4.43,1.48,0.29,0.25,0.2,-,-,0.03
Total Debt,2.61,2.03,1.73,1.19,0.79,0.39,0.39,0.39,0.39,0.28,0.23,0.2,-,-,0
Debt Growth,228.40%,415.79%,338.75%,202.54%,101.17%,42.44%,73.89%,100.81%,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,6.28,6.38,0,5.14,0.03,0.03,0.03,-,-,0.03
Retained Earnings,-4.08,-3.54,-3.41,-3.27,-1.81,-1.28,-1.38,-3.82,-0.14,-0.03,-0.03,-0.03,-,-,-0
Shareholders' Equity,-4.08,-3.54,-3.41,-3.27,-1.81,5,5,-3.82,5,-0.01,-0.01,-0,-,-,0.02
Total Liabilities and Equity,0.01,0.01,0.04,0.09,1.17,8.08,8.32,0.61,6.48,0.28,0.25,0.2,-,-,0.05
Net Cash / Debt,-2.6,-2.02,-1.72,-1.13,-0.66,-0.12,-0.04,0.08,0.29,-0.24,-0.2,-0.2,0,0,0.05
Net Cash Per Share,-0.50,-0.39,-0.33,-0.22,-0.13,-0.02,-0.01,0.03,0.07,-0.24,-0.20,-0.20,-,-,-
Working Capital,-2.99,-2.36,-1.96,-1.34,-0.81,-0.22,-0.04,0.1,0.23,-,-0.22,-0.2,-,-,0.02
Book Value Per Share,-0.79,-0.68,-0.65,-0.62,-0.34,0.95,0.95,-1.31,1.23,-0.01,-0.01,-0.00,-,-,21000.00
