Metrics,2022-09-30,2022-03-31,2021-03-31,2020-03-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31
Cash & Equivalents,9.99,21.93,15.13,6.67,14.94,25.88,57.37,47.43,53.07,148.41,132.62,139.29,54.33,-,19.23,-,-,7.82
Short-Term Investments,0,0,5.49,12.63,19.1,29.03,36.55,43.61,56.76,29.47,28.7,0,0,-,0,-,-,0
Cash & Cash Equivalents,9.99,21.93,20.62,19.29,34.04,54.91,93.93,91.05,109.83,177.88,161.32,139.29,54.33,0,19.23,0,0,7.82
Cash Growth,-70.65%,-60.07%,-78.05%,-78.81%,-69.01%,-69.13%,-41.78%,-34.64%,102.16%,-,738.79%,-,-,-,-,-,-,-
Receivables,7.93,20.02,10.4,31.85,0.74,0.74,0.42,3.83,20.32,10.21,0,0,0,-,4.18,-,-,11.95
Inventory,0.9,7.8,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0
Other Current Assets,2.05,0.89,-0.89,0.88,3.13,2.88,3.33,0.37,0.91,1.09,1.8,4.49,6.42,-,4.14,-,-,-10.15
Total Current Assets,20.87,50.62,30.12,52.02,37.91,58.52,97.68,95.25,131.06,189.18,163.12,143.78,60.74,-,27.55,-,-,9.62
"Property, Plant & Equipment",0.04,0.06,0.07,0.76,3.99,3.39,1.25,1.29,1.22,0.81,0.77,0.62,0.51,-,0.43,-,-,0.25
Long-Term Investments,0,0,0,15.67,57.76,81.26,70.6,31.34,17.93,0,0,0,0,-,0,-,-,0
Other Long-Term Assets,0,0,1.5,12.02,33.66,3.61,3.72,9.65,0,0,0,0.44,0.43,-,0.4,-,-,12.52
Total Long-Term Assets,0.04,0.06,1.56,28.46,95.41,88.27,75.58,42.28,19.15,0.81,0.77,1.06,0.94,-,0.83,-,-,12.77
Total Assets,20.91,50.68,31.69,80.48,133.32,146.79,173.26,137.53,150.21,189.99,163.89,144.84,61.69,-,28.38,-,-,22.39
Accounts Payable,9.69,37.2,2.97,2.09,0,0,0,0,0,0,0,0,0,-,0,-,-,0.05
Deferred Revenue,0,0,0,0,0.29,0.34,0.3,0.13,0,0,0,0,0,-,0,-,-,0
Current Debt,0,0,10,0.74,2.85,1.57,0,0,0,0,0,0,0,-,0,-,-,0
Other Current Liabilities,1.29,1.19,1.45,9.53,8.89,9.59,26.26,16.88,22.03,25.26,23.85,21.35,11.07,-,4.88,-,-,8.33
Total Current Liabilities,10.98,38.39,14.41,12.36,12.03,11.5,26.56,17.01,22.03,25.26,23.85,21.35,11.07,-,4.88,-,-,8.38
Long-Term Debt,0,0,0,20.01,20.75,20.54,20,0,0,0,0,0,0,-,0,-,-,0
Other Long-Term Liabilities,0,0,0,0,0.16,0.19,0.19,0,0,0,0,0,0,-,0,-,-,0
Total Long-Term Liabilities,0,0,0,20.01,20.91,20.73,20.19,0,0,0,0,0,0,-,0,-,-,0
Total Liabilities,10.98,38.39,14.41,32.38,32.94,32.23,46.75,17.01,22.03,25.26,23.85,21.35,11.07,-,4.88,-,-,8.38
Total Debt,0,0,10,20.75,23.61,22.1,20,0,0,0,0,0,0,-,0,-,-,0
Debt Growth,-,-,-50.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,67.04,67.04,56.63,56.58,56.41,56.21,58.49,64.59,64.07,59.16,58.42,57.7,13.29,-,13.29,-,-,11.29
Retained Earnings,-52.3,-53.11,-36.26,-1.43,52.21,62.61,69.77,62.28,70.25,107.2,77.24,60.2,33.32,-,11.76,-,-,3.19
Comprehensive Income,-4.83,-1.65,-3.1,-7.05,-8.24,-4.26,-1.76,-6.35,-6.14,-1.63,4.38,0.96,-0.5,-,-1.54,-,-,-0.46
Shareholders' Equity,9.91,12.28,17.27,48.1,100.38,114.56,126.5,120.52,128.18,164.73,140.04,118.85,46.11,-,23.5,-,-,14.01
Total Liabilities and Equity,20.89,50.68,31.69,80.48,133.32,146.79,173.26,137.53,150.21,189.99,163.89,140.2,57.18,-,28.38,-,-,22.39
Net Cash / Debt,9.99,21.93,10.62,-1.46,10.43,32.8,73.93,91.05,109.83,177.88,161.32,139.29,54.33,0,19.23,0,0,7.82
Net Cash / Debt Growth,-4.23%,-33.16%,-85.64%,-,-90.50%,-81.56%,-54.17%,-34.64%,102.16%,-,738.79%,-,-,-,-,-,-,-
Net Cash Per Share,-,-,-,-,0.21,0.68,1.42,1.86,2.25,3.36,3.03,2.70,1.27,-,0.45,-,-,-
Working Capital,9.89,12.23,15.71,39.66,25.88,47.03,71.12,78.24,109.03,163.92,139.28,122.43,49.68,-,22.68,-,-,1.24
Book Value Per Share,0.61,0.62,1.06,2.96,6.17,7.07,7.73,7.39,7.89,10.30,8.76,7.73,3.22,-,1.64,-,-,1.00
