Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-28
Cash & Equivalents,0.03,0.09,0.17,0.26,0.65,0.87,1.26,1.54,1.92,0.14
Cash & Cash Equivalents,0.03,0.09,0.17,0.26,0.65,0.87,1.26,1.54,1.92,0.14
Cash Growth,-95.12%,-90.15%,-86.50%,-83.00%,-66.27%,523.91%,-,-,-,-
Other Current Assets,0.27,0.08,0.17,0.27,0.36,0.46,0.56,0.66,0.77,-
Total Current Assets,0.3,0.16,0.34,0.53,1.01,1.33,1.82,2.2,2.68,-
Long-Term Investments,15.49,402.7,400.77,400.18,400.14,400.13,400.09,0.4,400.01,-
Other Long-Term Assets,0,0,0,0,0,0,0,399.68,0,-
Total Long-Term Assets,15.49,402.7,400.77,400.18,400.14,400.13,400.09,400.08,400.01,-
Total Assets,15.79,402.87,401.11,400.7,401.15,401.46,401.91,402.28,402.69,0.27
Accounts Payable,3.79,0.28,0.12,0,0,0,0,0,0,0.03
Current Debt,0,0,0,0,0.07,0.07,0.07,0.07,0.11,0.12
Other Current Liabilities,0.93,0.37,0.35,0.3,0.12,0.11,0.12,0.11,0.05,0.11
Total Current Liabilities,4.72,0.65,0.47,0.3,0.2,0.19,0.19,0.18,0.16,0.25
Other Long-Term Liabilities,4.63,14.42,15.06,20.07,28.52,30.82,39.2,34.72,35.56,0
Total Long-Term Liabilities,4.63,14.42,15.06,20.07,28.52,30.82,39.2,34.72,35.56,0
Total Liabilities,9.35,15.06,15.53,20.38,28.72,31.01,39.39,34.9,35.72,0.25
Total Debt,0,0,0,0,0.07,0.07,0.07,0.07,0.11,0.12
Debt Growth,-,-94.20%,-94.20%,-94.20%,-33.57%,-35.38%,-,-,-,-
Common Stock,0,0,0,0,0,0,10.57,5.72,0,0.03
Retained Earnings,-5.78,-14.9,-15.19,-19.67,-27.57,-29.55,-5.57,-0.72,-33.04,-0.01
Shareholders' Equity,-5.78,-14.9,-15.19,-19.67,-27.57,-29.55,5,5,-33.04,0.01
Total Liabilities and Equity,3.56,0.16,0.34,0.7,1.15,1.46,44.39,39.9,2.69,0.27
Net Cash / Debt,0.03,0.08,0.17,0.26,0.57,0.8,1.18,1.46,1.81,0.03
Net Cash / Debt Growth,-94.49%,-89.78%,-86.02%,-82.43%,-68.30%,3096.67%,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.10,0.00
Working Capital,-4.42,-0.48,-0.13,0.22,0.81,1.15,1.63,2.02,2.52,-
Book Value Per Share,-0.13,-0.30,-0.30,-0.39,-0.55,-0.59,0.10,0.10,-1.92,0.00
