Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2017-12-31
Cash & Equivalents,107.66,353.16,180.26,192.56,322.09,260.31,186.62,232.47,265.55,135.42
Cash & Cash Equivalents,107.66,353.16,180.26,192.56,322.09,260.31,186.62,232.47,265.55,135.42
Cash Growth,-66.57%,35.67%,-3.41%,-17.17%,21.29%,92.23%,-,-,-,-
Receivables,0,0,0,0,0,0,95.23,75.92,129.91,41.68
"Property, Plant & Equipment",0,9.75,0,13.5,0,17.88,20.18,10.8,1.87,2.4
Goodwill and Intangibles,133.91,133.92,134.02,134.05,134.03,137.89,142.7,147.41,152.16,161.71
Total Assets,"4,288.36","3,845.34","3,741.5","3,634.33","3,267.59","3,033.56","3,039.44","2,519.94","2,548.95","1,499.35"
Accounts Payable,0,0,0,0,0,0,51.4,0,12.67,0
Total Liabilities,"1,901.29","1,813.52","1,633.49","2,035.62","1,244.48","1,354.3","1,537.76",952.9,"1,185.8",700.79
Total Debt,"1,694.29","1,668.03","1,461.21","1,048.14","1,102.34",634.69,665.34,646.98,647.99,528.57
Debt Growth,53.70%,162.81%,119.62%,62.00%,70.12%,20.08%,-,-,-,-
Common Stock,621.37,620.39,625.18,"1,598.71",621.34,"1,679.26","1,501.68","1,567.04","1,363.15",798.56
Retained Earnings,"1,074.17",890.57,"1,067.77",-,"1,136.27",-,-,-,-,-
Comprehensive Income,47.05,39.45,2.92,0,5.14,0,0,0,0,0
Shareholders' Equity,"1,742.58","1,550.41","1,695.87","1,598.71","1,762.76","1,679.26","1,501.68","1,567.04","1,363.15",798.56
Total Liabilities and Equity,"3,643.87","3,363.93","3,329.36","3,634.33","3,007.23","3,033.56","3,039.44","2,519.94","2,548.95","1,499.35"
Net Cash / Debt,"-1,586.63","-1,314.88","-1,280.95",-855.59,-780.25,-374.37,-478.72,-414.52,-382.44,-393.16
Book Value Per Share,7.97,7.08,7.74,7.30,8.05,7.67,6.87,-,-,-
