Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.35,0.73,0.84,0.96,0.05
Cash & Cash Equivalents,0.35,0.73,0.84,0.96,0.05
Cash Growth,612.13%,-,-,-,-
Other Current Assets,0.3,0.42,0.49,0.49,0.06
Total Current Assets,0.65,1.15,1.33,1.45,0.1
Long-Term Investments,136.87,135.71,135.1,134.91,0
Other Long-Term Assets,0,0,0.05,0.17,0.11
Total Long-Term Assets,136.87,135.71,135.14,135.07,0.11
Total Assets,137.52,136.85,136.47,136.53,0.21
Accounts Payable,0,0,0,0,0
Current Debt,0,0,0,0,0.18
Other Current Liabilities,0.42,0.32,0.14,0.07,0.02
Total Current Liabilities,0.42,0.32,0.14,0.08,0.19
Other Long-Term Liabilities,4.63,4.63,4.63,4.63,0
Total Long-Term Liabilities,4.63,4.63,4.63,4.63,0
Total Liabilities,5.05,4.94,4.77,4.71,0.19
Total Debt,0,0,0,0,0.18
Common Stock,0,0,0,0,0.03
Retained Earnings,-4.3,-3.7,-3.3,-3.08,-0
Shareholders' Equity,-4.3,-3.7,-3.3,-3.08,0.02
Total Liabilities and Equity,0.75,1.25,1.47,1.63,0.21
Net Cash / Debt,0.35,0.73,0.84,0.96,-0.13
Net Cash Per Share,0.02,0.04,0.25,0.08,-0.04
Working Capital,0.23,0.83,1.19,1.38,-0.09
Book Value Per Share,-0.25,-0.21,-1.00,-0.27,0.01
