Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Cash & Equivalents,507.39,539.19,616.33,561.45,562.2,603.97,375.42,345.5,-,299.08,-,221.06
Short-Term Investments,33.72,25.49,22.39,0,0,0,1.2,2.46,-,0,-,0
Cash & Cash Equivalents,541.11,564.68,638.72,561.45,562.2,603.97,376.63,347.96,0,299.08,0,221.06
Cash Growth,-3.75%,-6.50%,69.59%,61.35%,-,101.94%,-,57.41%,-,-,-,-
Receivables,213.85,219.11,253.24,233.72,159.63,179.62,201.7,186.18,-,141.05,-,108.82
Other Current Assets,171.46,152.99,161.6,145.45,128.64,111.69,116.19,105.87,-,73.23,-,58.25
Total Current Assets,926.42,936.78,"1,053.56",940.62,850.47,895.28,694.52,640.02,-,513.36,-,388.14
"Property, Plant & Equipment",105.08,107.65,28.14,28.16,27.8,28.36,27.72,25.7,-,25.82,-,16.23
Long-Term Investments,12.71,11.93,7.35,15.11,15.15,0,9.69,5.09,-,0,-,0
Goodwill and Intangibles,217.83,219.07,216.57,112.28,95.76,87.66,78.87,68.21,-,51.36,-,21.1
Other Long-Term Assets,39.93,37.08,39.11,38.82,33.93,30.57,20.98,20.05,-,20.17,-,17.81
Total Long-Term Assets,375.54,375.74,291.17,194.36,172.63,146.59,137.26,119.05,-,97.35,-,55.14
Total Assets,"1,301.95","1,312.52","1,344.73","1,134.98","1,023.09","1,041.87",831.77,759.07,-,610.71,-,443.28
Accounts Payable,387.84,389.55,369.2,320.77,241.87,162.2,161.65,163.83,-,126.49,-,99.61
Deferred Revenue,326.09,296.97,320.6,297.27,251.35,230.46,256.87,236.69,-,177.66,-,128.3
Other Current Liabilities,-18.67,-19.17,30.74,29.41,20.47,103.16,141.77,118.31,-,80.61,-,67.42
Total Current Liabilities,695.27,667.36,720.54,647.44,513.69,495.82,560.3,518.83,-,384.75,-,295.34
Long-Term Debt,167.88,189.05,136,87,117.5,135.5,117.5,86,-,69,-,26.1
Other Long-Term Liabilities,82.1,88.74,98.43,111.02,101.51,139.75,35.06,34.13,-,39.64,-,11.38
Total Long-Term Liabilities,249.97,277.79,234.43,198.02,219.01,275.25,152.56,120.13,-,108.64,-,37.48
Total Liabilities,945.24,945.15,954.97,845.46,732.7,771.07,712.85,638.95,-,493.39,-,332.82
Total Debt,167.88,189.05,136,87,117.5,135.5,117.5,86,-,69,-,26.1
Debt Growth,42.87%,39.52%,15.74%,1.16%,-,96.38%,-,229.50%,-,-,-,-
Common Stock,554.08,549.07,546.43,532.96,528.65,160.22,120.4,120.88,-,62.32,-,112.99
Retained Earnings,-491.7,-489.6,-445.59,-460.3,-454.77,-482.28,-,-,-,56.83,-,-
Comprehensive Income,-0.27,-0.21,-1.73,-0.54,0.09,-1.73,-1.9,-1.16,-,-1.95,-,-2.52
Shareholders' Equity,62.11,59.25,99.11,72.11,73.97,-323.78,118.5,119.72,-,117.2,-,110.46
Total Liabilities and Equity,"1,007.35","1,004.4","1,054.07",917.57,806.68,447.29,831.36,758.68,-,610.59,-,443.28
Net Cash / Debt,373.23,375.63,502.72,474.45,444.7,468.47,259.13,261.96,0,230.08,0,194.96
Net Cash / Debt Growth,-16.07%,-19.82%,94.01%,81.11%,-,103.61%,-,34.37%,-,-,-,-
Net Cash Per Share,4.48,1.11,1.49,5.75,1.32,5.69,2591.28,2619.62,-,-,-,-
Working Capital,231.15,269.43,333.02,293.18,336.78,399.47,134.22,121.19,-,128.61,-,92.8
Book Value Per Share,0.75,0.71,1.20,0.88,0.90,-3.93,1185.02,1197.24,-,1171.98,-,1459.87
