Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Cash & Equivalents,254.8,286.5,225,199.6,235,270.6,319.6,"1,092.7","1,174.7",571.4,575.7,258.8,274.2,270.3,-,-,-,102.4
Cash & Cash Equivalents,254.8,286.5,225,199.6,235,270.6,319.6,"1,092.7","1,174.7",571.4,575.7,258.8,274.2,270.3,0,0,0,102.4
Cash Growth,8.43%,5.88%,-29.60%,-81.73%,-79.99%,-52.64%,-44.48%,322.22%,328.41%,111.39%,-,-,-,163.96%,-,-,-,-
Receivables,338.7,336.4,324,257.9,248.1,216.8,200,172.8,164.3,135.1,125,91.1,79.6,74.4,-,-,-,37.7
"Property, Plant & Equipment",19.8,19.6,19.1,13.2,13,11.7,10.8,8.8,6.9,5.7,5.1,4.3,3.4,3.1,-,-,-,1
Goodwill and Intangibles,48.8,51.5,46.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,-,-,-,0
Total Assets,"1,641.2","1,690.7","1,712.9","1,460.9","1,495.4","1,510.5","1,521.7","1,487.3","1,477.5",828.7,831.5,399.9,399.9,414.3,-,-,-,153.8
Accounts Payable,22.8,19.5,26.4,22.3,37.4,19.7,27.8,19.3,16.3,14.4,1,0.6,0.9,0.7,-,-,-,1.5
Deferred Revenue,337.3,327.7,337.1,283.7,261.2,244.2,239.3,196.1,169.5,146.2,115.3,86.9,75.6,68,-,-,-,27.7
Total Liabilities,819.4,823.9,806.1,611.8,582.7,522.3,473.7,385.7,333.8,287.7,262.5,141.3,124.3,116.6,-,-,-,52.1
Common Stock,"1,769.6","1,754.1","1,738.1","1,582.5","1,568.2","1,553.5","1,539.5","1,525.9","1,512.3",859.8,855,33.9,30.1,15.7,-,-,-,10.7
Retained Earnings,-925.5,-859.7,-796,-704.6,-636.7,-561.9,-491.6,-425.2,-369.6,-320.6,-286.7,-255.8,-234.8,-198.3,-,-,-,-89.8
Comprehensive Income,-22.3,-27.6,-35.3,-28.8,-18.8,-3.4,0.1,0.9,1,1.8,0.7,0.3,0.1,0.1,-,-,-,0
Shareholders' Equity,821.8,866.8,906.8,849.1,912.7,988.2,"1,048","1,101.6","1,143.7",541,569,-221.6,-204.6,-182.5,-,-,-,-79.1
Total Liabilities and Equity,"1,641.2","1,690.7","1,712.9","1,460.9","1,495.4","1,510.5","1,521.7","1,487.3","1,477.5",828.7,831.5,-80.3,-80.3,-65.9,-,-,-,-27
Net Cash / Debt,254.8,286.5,225,199.6,235,270.6,319.6,"1,092.7","1,174.7",571.4,575.7,258.8,274.2,270.3,0,0,0,102.4
Net Cash / Debt Growth,8.43%,5.88%,-29.60%,-81.73%,-79.99%,-52.64%,-44.48%,322.22%,328.41%,111.39%,-,-,-,163.96%,-,-,-,-
Net Cash Per Share,3.67,4.14,3.36,3.23,3.81,4.39,5.19,17.78,19.51,16.98,10.66,21.76,23.76,24.01,-,-,-,-
Book Value Per Share,11.85,12.52,13.56,13.74,14.79,16.03,17.02,17.93,18.99,16.07,10.54,-18.63,-17.73,-16.21,-,-,-,-7.24
