Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30
Cash & Equivalents,20.48,19.74,19.72,36.77,59.35,61.73,129.3,170.57,181.61,88.56,58.38,85.22,-,-,-,34.65
Cash & Cash Equivalents,20.48,19.74,19.72,36.77,59.35,61.73,129.3,170.57,181.61,88.56,58.38,85.22,0,0,0,34.65
Cash Growth,-65.50%,-68.02%,-84.75%,-78.44%,-67.32%,-30.30%,121.47%,100.17%,-,-,-,145.90%,-,-,-,-
"Property, Plant & Equipment",20.06,19.66,18.27,18.54,13.36,13.43,13.46,15.55,13.53,13.54,13.92,16.73,-,-,-,8.41
Goodwill and Intangibles,5.42,5.47,5.52,5.57,5.63,5.68,5.74,5.8,5.86,5.92,5.99,6.05,-,-,-,6.03
Total Assets,862.37,870.94,851.5,879.95,868.98,833.97,822.94,822.41,817.43,746.53,731.55,736.45,-,-,-,415.83
Total Liabilities,688.33,691.71,670.3,687.63,662.7,620.09,609.9,605.48,602.39,649.34,636.05,640.09,-,-,-,339.2
Total Debt,50.26,71.08,63.83,75.31,23.16,36.79,36.06,47.04,44.4,44.06,43.91,69.43,-,-,-,53.81
Debt Growth,116.98%,93.22%,77.00%,60.09%,-47.83%,-16.50%,-17.87%,-32.25%,-,-,-,29.01%,-,-,-,-
Common Stock,136.08,142.69,146.11,150.1,158.53,158.71,158.61,158.5,158.4,39.69,39.69,39.69,-,-,-,19.15
Retained Earnings,58.64,58.85,58.2,57.59,56.94,56.28,55.1,58.49,57.83,56.76,55.38,56.6,-,-,-,57.26
Comprehensive Income,-20.67,-22.31,-23.11,-15.36,-9.19,-1.11,-0.66,-0.06,-1.18,0.74,0.43,0.08,-,-,-,0.23
Shareholders' Equity,174.05,179.23,181.19,192.33,206.28,213.88,213.05,216.93,215.04,97.19,95.51,96.37,-,-,-,76.63
Total Liabilities and Equity,862.37,870.94,851.5,879.95,868.98,833.97,822.94,822.41,817.43,746.53,731.55,736.45,-,-,-,415.83
Net Cash / Debt,-29.78,-51.34,-44.11,-38.54,36.18,24.94,93.23,123.53,137.2,44.5,14.47,15.79,0,0,0,-19.16
Net Cash / Debt Growth,-,-,-,-,-73.63%,-43.96%,544.24%,682.50%,-,-,-,-,-,-,-,-
Book Value Per Share,12.41,12.49,12.36,12.79,13.60,14.10,14.04,14.30,14.18,6.41,6.29,-,-,-,-,-
