Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,"1,779","4,298","5,331","5,258","2,674","2,623","2,481.8","1,534.6","1,572.6","2,019",-,-,-,"1,934.5"
Cash & Cash Equivalents,"1,779","4,298","5,331","5,258","2,674","2,623","2,481.8","1,534.6","1,572.6","2,019",0,0,0,"1,934.5"
Cash Growth,-33.47%,63.86%,114.80%,242.63%,70.04%,29.92%,-,-,-,4.37%,-,-,-,-
Receivables,"28,078","29,046","30,796","31,667","32,402","33,126","33,752.5","34,246.7","34,731.7","35,270",-,-,-,"8,372.4"
Total Assets,"321,464","314,983","302,970","316,205","352,641","375,559","364,372.5","366,657.4","355,242.3","353,456",-,-,-,"297,056.9"
Accounts Payable,545,689,"1,038",621,525,913,20.7,23.5,15.5,"1,103",-,-,-,48.3
Deferred Revenue,"12,369","12,318","16,130","16,053","15,567","18,667","18,399.3","17,561.1","16,546.8","21,490",-,-,-,"19,199.5"
Total Liabilities,"311,997","305,605","293,267","305,895","342,352","364,485","353,516.4","355,667.8","344,673.8","343,533",-,-,-,"289,736.3"
Total Debt,"5,772","5,415","4,406","2,666","3,239","5,642","2,670.2",317.7,317.7,"1,435",-,-,-,"2,691.8"
Debt Growth,78.20%,-4.02%,65.01%,739.16%,919.52%,293.17%,-,-,-,-46.69%,-,-,-,-
Common Stock,"6,094","5,621","5,627","5,650","5,731","5,841","5,938.5","5,932","5,933.1","5,932",-,-,-,"3,074"
Retained Earnings,"4,852","6,403","9,065","7,635","4,782","2,809","2,274.5","2,068.3","2,608.3",-324,-,-,-,"1,365.8"
Comprehensive Income,"-2,308","-3,378","-5,718","-3,722",-939,"1,744","2,045.2","2,390.2","1,442.5","3,821",-,-,-,"2,396.7"
Shareholders' Equity,"8,638","8,646","8,974","9,563","9,574","10,394","10,258.2","10,390.5","9,983.9","9,429",-,-,-,"6,836.5"
Total Liabilities and Equity,"320,635","314,251","302,241","315,458","351,926","374,879","363,774.6","366,058.3","354,657.7","352,962",-,-,-,"296,572.8"
Net Cash / Debt,"-3,993","-1,117",925,"2,592",-565,"-3,019",-188.4,"1,216.9","1,254.9",584,0,0,0,-757.3
Net Cash / Debt Growth,-,-,-,113.00%,-,-,-,-,-,-,-,-,-,-
Book Value Per Share,104.98,104.12,105.75,110.81,109.51,110.03,108.59,109.99,105.69,99.81,-,-,-,-
