Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Cash & Equivalents,140.62,45.6,103.66,87.8,82.53,126.02,76.12,80.72,99.27,65.16,52.08,49.59,107.16,48.74,56.48,28.82,27.66,26.32,25.33,22.88,25.15,36.8,25.01,24.29,23.19,22.65,29.8,22.65,20.46,23.66,38.57,45.03,42.07,139.28,27.45,18.96,-,-,-,22.95
Cash & Cash Equivalents,140.62,45.6,103.66,87.8,82.53,126.02,76.12,80.72,99.27,65.16,52.08,49.59,107.16,48.74,56.48,28.82,27.66,26.32,25.33,22.88,25.15,36.8,25.01,24.29,23.19,22.65,29.8,22.65,20.46,23.66,38.57,45.03,42.07,139.28,27.45,18.96,0,0,0,22.95
Cash Growth,70.39%,-63.82%,36.18%,8.76%,-16.87%,93.41%,46.16%,62.79%,-7.37%,33.68%,-7.79%,72.05%,287.48%,85.16%,122.95%,25.95%,9.97%,-28.47%,1.30%,-5.80%,8.46%,62.48%,-16.09%,7.25%,13.32%,-4.27%,-22.74%,-49.70%,-51.36%,-83.01%,40.51%,137.50%,-,-,-,-17.38%,-,-,-,-
"Property, Plant & Equipment",18.25,18.09,20.84,21.29,21.05,19.83,18.19,16.39,14.8,14.79,14.74,14.19,14.23,14.34,14.44,14.72,14.96,15.26,15.46,14.79,14.36,13.74,13.21,13.24,13.53,13.68,13.59,13.52,13.65,13.56,12.77,12.58,12.11,12.07,12.23,12.29,-,-,-,11.44
Goodwill and Intangibles,1.09,1.09,1.17,1.18,1.18,1.18,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0
Total Assets,"2,172.09","2,042.07","2,091.44","2,031.63","1,944.28","1,921.08","1,845.14","1,787.39","1,736.29","1,654.35","1,564.67","1,478.86","1,396.94","1,307.34","1,250.31","1,257.71","1,278.79","1,258.76","1,237.77","1,203.25","1,189.59","1,215.66","1,150.3","1,087.68","1,081.3","1,043.82","1,048.51","1,010.1",995.37,957.8,958.13,936.8,936.77,924.15,788.15,795.29,-,-,-,784.51
Total Liabilities,"2,011.76","1,883.79","1,934.84","1,866.48","1,766.51","1,730.6","1,657.69","1,598.8","1,554.2","1,467.97","1,384","1,302.54","1,229.79","1,130.49","1,073","1,081.31","1,105.38","1,086.49","1,065.87","1,030.3","1,016.08","1,038.61",972.37,909.96,902.77,866.92,859.24,820.36,804.11,768.43,765.87,746.12,745.12,841.14,706.25,714.3,-,-,-,705.89
Total Debt,381.79,286.73,294.56,250.25,186.39,120.39,101.38,130.38,91.31,111.09,111.14,113.78,150.46,114.08,87.2,132.59,137.33,137.64,123.37,127.26,125.08,145.33,113.62,78.57,88.5,67.09,76.8,81.71,86.55,76.18,91.45,90.97,91.47,90.84,91.41,106.17,-,-,-,100.7
Debt Growth,104.83%,138.17%,190.56%,91.94%,104.13%,8.37%,-8.78%,14.59%,-39.31%,-2.61%,27.45%,-14.18%,9.57%,-17.12%,-29.32%,4.18%,9.79%,-5.29%,8.58%,61.98%,41.34%,116.62%,47.95%,-3.85%,2.25%,-11.93%,-16.03%,-10.17%,-5.39%,-16.14%,0.05%,-14.32%,-,-,-,5.43%,-,-,-,-
Common Stock,87.68,87.69,89.95,88.34,88.17,87.66,87.76,88.66,87.54,88.28,87.94,88.97,89.86,92.23,92.84,93.95,94.1,95.39,96.93,98.02,98.43,100.02,99.92,100.64,101.96,102.3,110,110.55,113.23,114.41,115.12,115.36,115.98,0,0,0,-,-,-,0
Retained Earnings,114.14,114.42,110.11,107,105.55,103.01,99.06,96.57,94.36,92.66,89.55,86.63,85.55,86.16,85.14,83.8,82.44,81.61,80.88,79.77,78.82,78.6,78.73,77.52,77.56,75.83,77.61,77.3,77.05,76.51,75.8,74.57,73.82,81.39,80.51,79.66,-,-,-,77
Comprehensive Income,-38.11,-40.54,-41.02,-28.45,-15.15,0.29,0.93,3.55,0.2,5.44,3.19,0.72,-8.26,-1.54,-0.67,-1.35,-3.13,-4.73,-5.91,-4.84,-3.75,-1.57,-0.72,-0.43,-0.98,-1.24,1.66,1.9,0.99,-1.55,1.34,0.75,1.85,1.62,1.38,1.33,-,-,-,1.63
Shareholders' Equity,163.71,161.57,159.03,166.89,178.56,190.96,187.75,188.78,182.1,186.38,180.67,176.32,167.15,176.85,177.31,176.4,173.41,172.26,171.9,172.95,173.5,177.05,177.93,177.72,178.54,176.89,189.27,189.74,191.26,189.38,192.26,190.68,191.65,83.01,81.9,81,-,-,-,78.62
Total Liabilities and Equity,"2,175.47","2,045.36","2,093.87","2,033.37","1,945.07","1,921.56","1,845.45","1,787.58","1,736.29","1,654.35","1,564.67","1,478.86","1,396.94","1,307.34","1,250.31","1,257.71","1,278.79","1,258.76","1,237.77","1,203.25","1,189.59","1,215.66","1,150.3","1,087.68","1,081.3","1,043.82","1,048.51","1,010.1",995.37,957.8,958.13,936.8,936.77,924.15,788.15,795.29,-,-,-,784.51
