Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,63.25,54.17,73.33,83.27,94.11,46.23,-,-,-,47.73
Cash & Cash Equivalents,63.25,54.17,73.33,83.27,94.11,46.23,0,0,0,47.73
Cash Growth,-32.79%,17.18%,-,-,-,-3.15%,-,-,-,-
"Property, Plant & Equipment",18.79,19.66,18.41,18.66,18.69,19.46,-,-,-,20.86
Total Assets,"2,163.82","2,085.83","2,037.45","2,016.09","1,967.25","1,853.94",-,-,-,"1,501.74"
Total Liabilities,"1,979.96","1,903.41","1,860.04","1,836.02","1,775.21","1,650.04",-,-,-,"1,330.74"
Total Debt,133.65,60.4,39.48,79.57,49.44,50.19,-,-,-,50.51
Debt Growth,170.33%,20.34%,-,-,-,-0.65%,-,-,-,-
Common Stock,325.54,331.28,331.16,331.03,330.89,330.66,-,-,-,219.84
Retained Earnings,-99.62,-104.1,-108.54,-114.1,-119.39,-124.25,-,-,-,-53.62
Comprehensive Income,-42.07,-44.75,-45.2,-36.86,-19.46,-2.52,-,-,-,4.78
Shareholders' Equity,183.86,182.43,177.42,180.07,192.04,203.9,-,-,-,171
Total Liabilities and Equity,"2,163.82","2,085.83","2,037.45","2,016.09","1,967.25","1,853.94",-,-,-,"1,501.74"
Net Cash / Debt,-70.4,-6.23,33.84,3.7,44.67,-3.96,0,0,0,-2.78
Book Value Per Share,9.37,9.12,8.87,9.00,9.60,10.19,-,-,-,-
