Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-12
Cash & Equivalents,0.37,0.03,0.01,0.06,0.11,0.41,0.73,0
Cash & Cash Equivalents,0.37,0.03,0.01,0.06,0.11,0.41,0.73,0
Cash Growth,242.49%,-93.81%,-98.90%,-,-,-,-,-
Other Current Assets,0.31,0.46,0.63,0.8,0.78,0.65,0.9,-
Total Current Assets,0.68,0.49,0.64,0.86,0.89,1.06,1.64,-
Long-Term Investments,502.22,500.78,500.26,500.17,500.11,500.07,500.02,-
Total Long-Term Assets,502.22,500.78,500.26,500.17,500.11,500.07,500.02,-
Total Assets,502.9,501.26,500.9,501.03,501,501.13,501.65,0.04
Accounts Payable,0,0,0,0,0.32,0.22,0,0
Current Debt,0,0.13,0,0,0,0.3,0.3,0
Other Current Liabilities,1.21,0.93,0.68,0.49,0.3,0,0.07,0.01
Total Current Liabilities,1.21,1.06,0.68,0.49,0.62,0.52,0.37,0.01
Long-Term Debt,0.63,0.5,0.5,0.5,0,0,0,0
Other Long-Term Liabilities,19.99,21.1,23.6,33.08,34.87,42.22,40.51,0
Total Long-Term Liabilities,20.62,21.6,24.1,33.58,34.87,42.22,40.51,0
Total Liabilities,21.83,22.66,24.78,34.07,35.48,42.74,40.88,0.01
Total Debt,0.63,0.63,0.5,0.5,0,0.3,0.3,0
Debt Growth,-,108.45%,66.67%,-,-,-,-,-
Common Stock,0,0,0,0,0,0.6,0,0.03
Retained Earnings,-20.96,-21.79,-23.88,-33.04,-34.48,4.4,5,-0
Shareholders' Equity,-20.96,-21.79,-23.88,-33.04,-34.48,5,5,0.02
Total Liabilities and Equity,0.87,0.87,0.9,1.03,1,47.74,45.88,0.04
Net Cash / Debt,-0.25,-0.6,-0.49,-0.44,0.11,0.11,0.43,0
Net Cash Per Share,-0.00,-0.01,-0.01,-0.01,0.00,0.00,0.02,-
Working Capital,-0.53,-0.57,-0.04,0.37,0.27,0.54,1.27,-
Book Value Per Share,-0.34,-0.35,-0.38,-0.53,-0.55,0.08,0.18,0.00
