Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,0.05,0.01,0,0,0.1,0.22,0.41,0.57,0.73,1,0
Cash & Cash Equivalents,0.05,0.01,0,0,0.1,0.22,0.41,0.57,0.73,1,0
Cash Growth,-44.29%,-93.86%,-99.15%,-99.28%,-86.78%,-77.68%,-,-,-,-,-
Other Current Assets,0.05,0.07,0.05,0.06,0.12,0.04,0.09,0.17,0.32,0.1,-
Total Current Assets,0.11,0.09,0.05,0.07,0.22,0.26,0.5,0.74,1.05,1.1,-
Long-Term Investments,9.3,21.32,21.01,27.5,27.47,92.46,91.56,91.56,91.55,91.54,-
Other Long-Term Assets,0,0,0,0,0,0,0,0,-0.01,0,-
Total Long-Term Assets,9.3,21.32,21.01,27.5,27.47,92.46,91.56,91.56,91.54,91.54,-
Total Assets,9.41,21.41,21.06,27.57,27.68,92.72,92.06,92.29,92.59,92.64,0.18
Accounts Payable,2.44,2.15,2.07,1.97,1.83,1.03,0.87,0.48,0.13,0.07,0
Current Debt,2.93,2.21,0.92,1.52,1.42,0.98,0,0,0,0,0.16
Total Current Liabilities,5.37,4.37,2.98,3.49,3.25,2.01,0.87,0.48,0.13,0.07,0.16
Other Long-Term Liabilities,0.01,0.02,0.02,0.02,0.06,0.2,0.28,0.4,0.42,1.16,0
Total Long-Term Liabilities,0.01,0.02,0.02,0.02,0.06,0.2,0.28,0.4,0.42,1.16,0
Total Liabilities,5.38,4.39,3,3.51,3.31,2.21,1.14,0.88,0.55,1.23,0.16
Total Debt,2.93,2.21,0.92,1.52,1.42,0.98,0,0,0,0,0.16
Debt Growth,105.90%,127.09%,-,-,-,-,-,-,-,-,-
Common Stock,4.8,5.33,5.65,4.92,3.42,0,0.45,0.45,0.45,0.45,0.03
Retained Earnings,-10.07,-9.64,-8.6,-8.36,-6.51,-1.95,-1.06,-0.56,0.06,-0.57,-0.01
Shareholders' Equity,-5.27,-4.3,-2.95,-3.44,-3.09,-1.95,-0.61,-0.12,0.51,-0.12,0.02
Total Liabilities and Equity,0.11,0.09,0.05,0.07,0.22,0.26,0.53,0.76,1.06,1.11,0.18
Net Cash / Debt,-2.87,-2.2,-0.91,-1.52,-1.33,-0.75,0.41,0.57,0.73,1,-0.16
Net Cash Per Share,-0.68,-0.37,-0.18,-0.28,-0.16,-0.06,0.03,0.05,0.06,-,-0.07
Working Capital,-5.26,-4.28,-2.93,-3.42,-3.03,-1.75,-0.36,0.26,0.91,1.03,-
Book Value Per Share,-1.25,-0.73,-0.57,-0.63,-0.38,-0.17,-0.05,-0.01,0.04,-0.04,0.01
