Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
Cash & Equivalents,249.75,98.02,85.95,84.34,139.73,194.72,319.64,415.65,318.53,205.87,137.52,248.97,235.42,211.62,238.63,78.71,101.56,105.52,95.1,132.5,107.31,80.79,94.81,101.6,102.4,50.22,19.26,30.14,114.26,40.65,-,-,-,52.98
Cash & Cash Equivalents,249.75,98.02,85.95,84.34,139.73,194.72,319.64,415.65,318.53,205.87,137.52,248.97,235.42,211.62,238.63,78.71,101.56,105.52,95.1,132.5,107.31,80.79,94.81,101.6,102.4,50.22,19.26,30.14,114.26,40.65,0,0,0,52.98
Cash Growth,78.74%,-49.66%,-73.11%,-79.71%,-56.13%,-5.42%,132.43%,66.95%,35.30%,-2.72%,-42.37%,216.33%,131.82%,100.54%,150.93%,-40.60%,-5.36%,30.61%,0.31%,30.41%,4.80%,60.89%,392.37%,237.11%,-10.38%,23.52%,-,-,-,-23.27%,-,-,-,-
"Property, Plant & Equipment",48.56,49.05,49.12,49.39,49.93,50.75,50.48,51.5,50.63,49.58,49.4,47.8,47.59,47.95,57,57.54,57.36,57.05,25.18,24.23,24.17,24.49,24.34,24.21,24.23,24.19,24.06,24.05,24.41,24.61,-,-,-,25.23
Goodwill and Intangibles,71.88,72.07,72.26,72.5,72.73,72.97,73.2,73.53,73.85,74.17,74.5,74.94,75.39,75.84,76.12,76.74,77.37,78.47,13.73,13.72,13.68,13.5,13.52,13.54,13.56,13.59,13.61,13.63,13.65,13.67,-,-,-,3.32
Total Assets,"5,572.86","5,359.55","4,987.64","4,704.04","4,591.33","4,553.41","4,567.09","4,616.42","4,605.96","4,483.62","4,428.32","4,464.91","4,101.21","4,058.92","3,949.02","3,737.42","3,656","3,653.12","2,852.8","2,879.71","2,735.58","2,684.92","2,659.46","2,632.07","2,566.14","2,448.31","2,347.13","2,266.76","2,244.77","2,163.14",-,-,-,"2,041.88"
Total Liabilities,"4,973.06","4,742.57","4,376.27","4,079.57","3,942.26","3,874.14","3,887.06","3,910.95","3,907.89","3,787.3","3,734.22","3,780.45","3,426.07","3,393.13","3,289.47","3,366.31","3,292.55","3,295.55","2,499.46","2,531.14","2,390.72","2,341.44","2,318.86","2,295.44","2,233.41","2,118.93","2,019.22","1,942.47","2,052.89","1,972.45",-,-,-,"1,858.42"
Total Debt,624.98,434.96,379.94,139.92,89.89,89.87,89.85,121.58,131.55,183.13,270.11,375.08,319.06,388.04,305.02,342.99,389.75,553.74,265.04,287.44,226.36,290.37,276.37,265.12,275.12,275.12,245.12,195.1,269.6,249.6,-,-,-,329.6
Debt Growth,595.25%,383.99%,322.87%,15.09%,-31.67%,-50.93%,-66.74%,-67.59%,-58.77%,-52.81%,-11.44%,9.36%,-18.14%,-29.92%,15.08%,19.33%,72.18%,90.70%,-4.10%,8.42%,-17.72%,5.54%,12.75%,35.89%,2.05%,10.22%,-,-,-,-24.27%,-,-,-,-
Common Stock,281.75,307.62,310,319.27,335.38,355.2,365.47,398.81,404.12,416.82,431.02,430.53,428.8,426.96,424.62,143.72,142.16,140.84,139.27,139.26,137.61,136.42,135.02,134.04,133.75,133.46,132.92,132.56,-0.48,0,-,-,-,0.42
Retained Earnings,360.45,356.44,350.05,339.47,332.73,325.7,315.68,305.83,294.12,277.31,261.3,251.03,242.08,237.36,233.05,225.94,221.16,219.09,218.98,213.05,209.95,207.59,206,203.16,199.95,197.21,194.28,190.72,191.88,191.28,-,-,-,183.46
Comprehensive Income,-42.41,-47.08,-48.68,-34.27,-19.05,-1.64,-1.12,0.83,-0.16,2.19,1.78,2.9,4.26,1.48,1.88,1.47,0.13,-2.36,-4.9,-3.73,-2.7,-0.53,-0.42,-0.57,-0.96,-1.29,0.72,1.01,0.48,-0.59,-,-,-,-0.42
Shareholders' Equity,599.79,616.98,611.37,624.48,649.07,679.26,680.03,705.47,698.07,696.31,694.1,684.46,675.14,665.79,659.55,371.12,363.45,357.57,353.35,348.58,344.86,343.48,340.6,336.64,332.74,329.38,327.91,324.29,191.88,190.69,-,-,-,183.46
Total Liabilities and Equity,"5,572.86","5,359.55","4,987.64","4,704.04","4,591.33","4,553.41","4,567.09","4,616.42","4,605.96","4,483.62","4,428.32","4,464.91","4,101.21","4,058.92","3,949.02","3,737.42","3,656","3,653.12","2,852.8","2,879.71","2,735.58","2,684.92","2,659.46","2,632.07","2,566.14","2,448.31","2,347.13","2,266.76","2,244.77","2,163.14",-,-,-,"2,041.88"
Net Cash / Debt,-375.23,-336.94,-293.98,-55.58,49.84,104.85,229.79,294.07,186.97,22.74,-132.59,-126.11,-83.64,-176.42,-66.38,-264.29,-288.19,-448.21,-169.95,-154.94,-119.05,-209.57,-181.56,-163.52,-172.72,-224.9,-225.87,-164.96,-155.34,-208.95,0,0,0,-276.62
