Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.01,0.09,0.11,0.17,0.29,0.47,0.57,0.62,0.85,0
Cash & Cash Equivalents,0.01,0.09,0.11,0.17,0.29,0.47,0.57,0.62,0.85,0
Cash Growth,-97.94%,-80.40%,-80.18%,-73.04%,-65.69%,-,-,-,-,-
Other Current Assets,0.58,0.04,0.16,0.28,0.4,0.44,0.56,0.71,0.8,0.01
Total Current Assets,0.59,0.14,0.27,0.45,0.7,0.92,1.13,1.33,1.65,0.01
Long-Term Investments,78.25,309.23,306.6,305.23,304.79,304.77,304.76,304.76,304.75,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0.32
Total Long-Term Assets,78.25,309.23,306.6,305.23,304.79,304.77,304.76,304.76,304.75,0.32
Total Assets,78.84,309.37,306.88,305.67,305.49,305.68,305.89,306.08,306.41,0.33
Accounts Payable,3.06,0.85,0.8,0.8,0.89,0.8,0.84,0.78,0.02,0.03
Current Debt,0.84,0,0,0,0,0,0,0,0,0.04
Other Current Liabilities,0.56,2.12,2.06,1.96,1.91,1.84,0.09,0.07,0.1,0.26
Total Current Liabilities,4.46,2.97,2.87,2.76,2.8,2.64,0.93,0.85,0.12,0.33
Other Long-Term Liabilities,13.54,10.84,11.39,12.59,16.66,23.14,24.82,35.85,48.33,0
Total Long-Term Liabilities,13.54,10.84,11.39,12.59,16.66,23.14,24.82,35.85,48.33,0
Total Liabilities,18,13.81,14.25,15.35,19.46,25.78,25.74,36.7,48.45,0.33
Total Debt,0.84,0,0,0,0,0,0,0,0,0.04
Common Stock,0,0,0,0,0,0,0,0.3,11.72,0.03
Retained Earnings,-17.32,-13.57,-13.88,-14.8,-18.72,-24.85,-24.6,4.7,-6.72,-0.02
Shareholders' Equity,-17.31,-13.57,-13.88,-14.8,-18.72,-24.84,-24.6,5,5,0
Total Liabilities and Equity,0.69,0.24,0.37,0.55,0.74,0.93,1.14,41.7,53.45,0.33
Net Cash / Debt,-0.83,0.09,0.11,0.17,0.29,0.47,0.57,0.62,0.85,-0.04
Net Cash / Debt Growth,-,-80.40%,-80.18%,-73.04%,-65.69%,-,-,-,-,-
Net Cash Per Share,-0.03,0.01,0.00,0.00,0.01,0.06,0.01,0.02,0.03,-0.01
Working Capital,-3.87,-2.83,-2.59,-2.31,-2.1,-1.72,0.2,0.47,1.53,-0.32
Book Value Per Share,-0.68,-0.45,-0.36,-0.39,-0.49,-0.90,-0.65,0.13,0.19,-
