Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Cash & Equivalents,11.77,16.16,12.64,28.84,40.84,32.53,0.8,0.23,-,0.65,-,2.44
Short-Term Investments,10.27,9.78,9.68,0,0,0,0,0,-,0,-,0
Cash & Cash Equivalents,22.04,25.94,22.32,28.84,40.84,32.53,0.8,0.23,0,0.65,0,2.44
Cash Growth,-46.04%,-20.24%,2699.40%,12194.75%,-,4925.39%,-,-90.38%,-,-,-,-
Receivables,11.91,14.44,10.3,11.34,9.84,8.98,7.37,6.21,-,5.68,-,5.26
Inventory,5.67,6.87,7.12,5.96,6.15,5.23,3.91,2.98,-,2.5,-,1.95
Other Current Assets,1.9,1.32,0.95,0.78,0.87,0.82,1.03,0.58,-,0.45,-,0.39
Total Current Assets,41.52,48.57,40.69,46.91,57.71,47.56,13.11,10.01,-,9.27,-,10.02
"Property, Plant & Equipment",1.97,1.78,1.67,1.64,1.67,1.71,1.77,1.8,-,1.81,-,2.08
Goodwill and Intangibles,5.65,6.27,5.46,3.98,4.11,1.93,1.98,2.14,-,2.22,-,0
Other Long-Term Assets,0,0,0,0,0,0,0,0.13,-,0.01,-,0
Total Long-Term Assets,7.62,8.06,7.13,5.62,5.78,3.64,3.75,4.07,-,4.03,-,2.08
Total Assets,49.15,56.63,47.81,52.53,63.49,51.2,16.86,14.08,-,13.3,-,12.1
Accounts Payable,2.94,4.05,2.85,1.79,4,4.98,6.3,4.92,-,3.27,-,4.24
Deferred Revenue,1.87,0.63,0.57,1.63,1.79,0.72,0.62,0.55,-,0.56,-,0.36
Current Debt,0.48,0.49,0.49,0.48,0.48,0.47,3.97,3.27,-,2.27,-,2.51
Other Current Liabilities,3.11,8.78,2.7,6.57,12.44,1.65,2.09,1.66,-,1.9,-,3.09
Total Current Liabilities,8.4,13.96,6.6,10.47,18.7,7.83,12.99,10.4,-,8,-,10.2
Long-Term Debt,0.46,0.46,0.54,0.62,0.7,0.78,1.01,1.09,-,1.83,-,1.27
Other Long-Term Liabilities,1.59,2.85,2.2,1.24,1.49,0.98,0.98,1.43,-,1.85,-,0.04
Total Long-Term Liabilities,2.05,3.31,2.74,1.86,2.19,1.76,1.99,2.52,-,3.68,-,1.3
Total Liabilities,10.45,17.26,9.34,12.33,20.9,9.59,14.97,12.91,-,11.68,-,11.51
Total Debt,0.94,0.95,1.03,1.11,1.18,1.26,4.98,4.36,-,4.09,-,3.77
Debt Growth,-20.62%,-24.67%,-79.40%,-74.63%,-,-69.27%,-,15.47%,-,-,-,-
Common Stock,38.31,38.28,38.29,39.33,41.28,39.75,0,0,-,0,-,0
Retained Earnings,0.39,1.08,0.18,0.87,1.32,1.86,1.89,1.17,-,1.63,-,0.6
Shareholders' Equity,38.7,39.36,38.47,40.2,42.59,41.61,1.89,1.17,-,1.63,-,0.6
Total Liabilities and Equity,49.15,56.63,47.81,52.53,63.49,51.2,16.86,14.08,-,13.3,-,12.1
Net Cash / Debt,21.1,25,21.3,27.73,39.66,31.27,-4.18,-4.12,0,-3.44,0,-1.33
Net Cash / Debt Growth,-46.80%,-20.06%,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,1.14,1.30,0.68,0.88,1.98,1.49,-0.42,-0.41,-,-,-,-
Working Capital,33.12,34.61,34.09,36.44,39,39.73,0.13,-0.39,-,1.27,-,-0.18
Book Value Per Share,2.09,2.22,1.95,2.01,2.12,3.81,0.19,0.12,-,0.16,-,-
