Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-13
Cash & Equivalents,1.02,0.32,0.24,0.48,0.71,0.86,0.98,1.55,1.72,0.03
Cash & Cash Equivalents,1.02,0.32,0.24,0.48,0.71,0.86,0.98,1.55,1.72,0.03
Cash Growth,42.89%,-62.37%,-75.88%,-69.06%,-58.73%,3332.54%,-,-,-,-
Other Current Assets,0,0.09,0.17,0.25,0.26,0.35,0.43,0.48,0.56,0
Total Current Assets,1.02,0.41,0.4,0.73,0.98,1.21,1.41,2.03,2.28,0.03
Long-Term Investments,0,231.03,230.37,230.04,0,230.02,230.01,230.01,230,0
Other Long-Term Assets,52.13,0,0,0,230.02,0,0,0,0,0.04
Total Long-Term Assets,52.13,231.03,230.37,230.04,230.02,230.02,230.01,230.01,230,0.04
Total Assets,53.15,231.45,230.77,230.77,231,231.23,231.43,232.03,232.28,0.06
Accounts Payable,1.64,1.55,0.37,0.43,0.34,0.03,0.02,0.03,0.02,0
Current Debt,1.1,0,0,0,0,0,0,0,0,0
Other Current Liabilities,2.61,1.09,1.28,1.24,1.18,1.12,1.08,0.28,0.13,0.04
Total Current Liabilities,5.34,2.64,1.65,1.67,1.52,1.15,1.1,0.31,0.14,0.04
Other Long-Term Liabilities,9.37,8.43,9.75,12.57,19.62,19.13,25.35,22.45,33.91,0
Total Long-Term Liabilities,9.37,8.43,9.75,12.57,19.62,19.13,25.35,22.45,33.91,0
Total Liabilities,14.71,11.07,11.39,14.24,21.14,20.28,26.45,22.76,34.05,0.04
Total Debt,1.1,0,0,0,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,4.31,0.01,0,0.03
Retained Earnings,-13.48,-10.31,-10.62,-13.47,-20.14,-19.05,0.69,4.99,-31.77,-0
Shareholders' Equity,-13.48,-10.31,-10.62,-13.47,-20.14,-19.05,5,5,-31.77,0.02
Total Liabilities and Equity,1.23,0.76,0.77,0.77,1,1.23,31.45,27.76,2.28,0.06
Net Cash / Debt,-0.08,0.32,0.24,0.48,0.71,0.86,0.98,1.55,1.72,0.03
Net Cash / Debt Growth,-,-62.37%,-75.88%,-69.06%,-58.73%,3332.54%,-,-,-,-
Net Cash Per Share,-0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.37,0.01
Working Capital,-4.32,-2.23,-1.24,-0.93,-0.54,0.07,0.31,1.72,2.14,-0.01
Book Value Per Share,-0.47,-0.36,-0.37,-0.47,-0.70,-0.66,0.17,0.17,-6.74,0.01
