Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-12
Cash & Equivalents,1.03,1.19,1.25,1.49,1.71,1.86,2.05,2.14,0
Cash & Cash Equivalents,1.03,1.19,1.25,1.49,1.71,1.86,2.05,2.14,0
Cash Growth,-39.79%,-35.95%,-38.81%,-30.20%,-,-,-,-,-
Receivables,0.01,0,0,0,0,0,0,0.02,0
Other Current Assets,0.07,0.18,0.29,0.32,0.34,0.34,0.34,0.66,-
Total Current Assets,1.12,1.38,1.55,1.81,2.05,2.2,2.39,2.81,-
Long-Term Investments,216.07,214.27,213.33,213.11,213.1,213.1,213.09,213.09,-
Other Long-Term Assets,0,0,0,0,0.06,0.14,0.23,0,-
Total Long-Term Assets,216.07,214.27,213.33,213.11,213.16,213.24,213.32,213.09,-
Total Assets,217.19,215.65,214.88,214.92,215.21,215.44,215.71,215.9,0.06
Accounts Payable,4.43,1.47,1.44,1.47,1.57,0.05,0.16,0.01,0
Other Current Liabilities,0,0,0,0,0,0,0,0,0.04
Total Current Liabilities,4.43,1.47,1.44,1.47,1.57,0.05,0.16,0.01,0.04
Other Long-Term Liabilities,0.52,8.2,8.69,10.66,14.82,15.63,18.59,23.59,0
Total Long-Term Liabilities,0.52,8.2,8.69,10.66,14.82,15.63,18.59,23.59,0
Total Liabilities,4.95,9.67,10.13,12.13,16.4,15.68,18.75,23.6,0.04
Common Stock,5.34,0,0,0,0,0,0.94,5.6,0.03
Retained Earnings,-9.17,-8.29,-8.59,-10.32,-14.28,-13.33,4.06,-0.6,-0.01
Shareholders' Equity,-3.83,-8.29,-8.59,-10.32,-14.28,-13.33,5,5,0.02
Total Liabilities and Equity,1.12,1.38,1.55,1.81,2.11,2.35,23.75,28.6,0.06
Net Cash / Debt,1.03,1.19,1.25,1.49,1.71,1.86,2.05,2.14,0
Net Cash / Debt Growth,-39.79%,-35.95%,-38.81%,-30.20%,-,-,-,-,-
Net Cash Per Share,0.19,0.22,0.24,0.28,0.32,0.35,0.38,0.42,-
Working Capital,-3.31,-0.09,0.1,0.34,0.48,2.15,2.24,2.8,-
Book Value Per Share,-0.72,-1.56,-1.61,-1.94,-2.68,-2.50,0.94,0.98,0.00
