Metrics,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-06-30,2021-03-31,2020-06-30
Cash & Equivalents,40.66,109.97,210.69,-,38.99,-,1.96
Cash & Cash Equivalents,40.66,109.97,210.69,0,38.99,0,1.96
Cash Growth,4.29%,-,10671.22%,-,-,-,-
Receivables,2.57,23.65,25.02,-,0.79,-,0.33
Other Current Assets,31.41,26.63,33.54,-,0.65,-,0.28
Total Current Assets,74.65,160.25,269.25,-,40.43,-,2.57
"Property, Plant & Equipment",274.6,248.82,225.57,-,17.34,-,8.44
Goodwill and Intangibles,0,0.63,0.88,-,0.66,-,0.57
Other Long-Term Assets,62.71,160.76,247.52,-,76.04,-,0
Total Long-Term Assets,337.31,410.21,473.96,-,94.04,-,9
Total Assets,411.96,570.46,743.21,-,134.47,-,11.57
Accounts Payable,17.65,18.81,8.2,-,1.12,-,0.75
Current Debt,110.72,60.48,59.1,-,71.98,-,1.96
Other Current Liabilities,11.87,5.81,4.73,-,97.36,-,0.04
Total Current Liabilities,140.23,85.11,72.03,-,170.46,-,2.76
Long-Term Debt,1.26,47.8,54.33,-,11.84,-,0
Other Long-Term Liabilities,0.34,0.19,4.44,-,1.62,-,0
Total Long-Term Liabilities,1.6,47.99,58.78,-,13.46,-,0
Total Liabilities,141.83,133.1,130.8,-,183.92,-,2.76
Total Debt,111.98,108.29,113.44,-,83.82,-,1.96
Debt Growth,33.59%,-,5684.55%,-,-,-,-
Common Stock,914.42,919.77,"1,279.78",-,13.18,-,11.06
Retained Earnings,-644.3,-482.41,-667.37,-,-62.64,-,-2.25
Shareholders' Equity,270.12,437.36,612.4,-,-49.45,-,8.82
Total Liabilities and Equity,411.96,570.46,743.21,-,134.47,-,11.57
Net Cash / Debt,-71.32,1.68,97.25,0,-44.83,0,-0.01
Working Capital,-65.59,75.15,197.22,-,-130.03,-,-0.19
Book Value Per Share,5.09,7.89,11.04,-,-0.89,-,-
