Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Cash & Equivalents,0.06,0.04,0.11,0.16,0.43,0.64,0.75,1.24,-,-,0.08
Cash & Cash Equivalents,0.06,0.04,0.11,0.16,0.43,0.64,0.75,1.24,0,0,0.08
Cash Growth,-86.26%,-94.03%,-85.33%,-86.94%,-,-,888.56%,-,-,-,-
Other Current Assets,0,0,0,0,0.03,0.08,0.13,-,-,-,0
Total Current Assets,0.06,0.04,0.11,0.16,0.47,0.72,0.89,-,-,-,0.08
Long-Term Investments,18.44,59.59,58.75,58.1,57.51,57.51,57.5,-,-,-,0
Total Long-Term Assets,18.44,59.59,58.75,58.1,57.51,57.51,57.5,-,-,-,0
Total Assets,18.5,59.63,58.87,58.26,57.98,58.23,58.39,58.74,-,-,0.08
Accounts Payable,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-,0.08
Current Debt,1.32,1.15,0.58,0.58,0,0,0,0,-,-,0
Other Current Liabilities,0.24,0.23,0.08,0.18,0.18,0.18,0.08,0.01,-,-,0.01
Total Current Liabilities,1.87,1.39,0.66,0.77,0.19,0.19,0.09,0.01,-,-,0.09
Other Long-Term Liabilities,2.04,2.03,2.85,2.82,2.72,2.74,2.75,10.22,-,-,0
Total Long-Term Liabilities,2.04,2.03,2.85,2.82,2.72,2.74,2.75,10.22,-,-,0
Total Liabilities,3.92,3.42,3.52,3.59,2.91,2.93,2.84,10.24,-,-,0.09
Total Debt,1.32,1.15,0.58,0.58,0,0,0,0,-,-,0
Common Stock,2.76,2.76,2.76,2.76,2.76,2.76,2.76,5.49,-,-,0.03
Retained Earnings,-6.61,-6.39,-6.24,-6.19,-5.19,-4.96,-4.7,-0.49,-,-,-0.03
Comprehensive Income,0,0.25,0.08,0.01,0,0,-0,0,-,-,0
Shareholders' Equity,-3.86,-3.38,-3.41,-3.43,-2.43,-2.2,-1.95,5,-,-,-0.01
Total Liabilities and Equity,0.06,0.04,0.11,0.16,0.48,0.73,0.89,15.24,-,-,0.08
Net Cash / Debt,-1.26,-1.11,-0.46,-0.41,0.43,0.64,0.75,1.24,0,0,0.08
Net Cash / Debt Growth,-,-,-,-,-,-,888.56%,-,-,-,-
Net Cash Per Share,-0.18,-0.15,-0.06,-0.05,0.06,0.08,0.22,0.17,-,-,0.06
Working Capital,-1.81,-1.35,-0.55,-0.61,0.28,0.53,0.8,-,-,-,-0.01
Book Value Per Share,-0.54,-0.45,-0.45,-0.45,-0.32,-0.29,-0.57,0.70,-,-,-0.01
