Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,10.93,50.83,6.41,22.87,0.86,11.85,0.19,0.37,0.68,1.29,415.45
Short-Term Investments,0,0,4.38,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,10.93,50.83,10.79,22.87,0.86,11.85,0.19,0.37,0.68,1.29,415.45
Cash Growth,1165.31%,328.83%,5619.19%,6063.47%,26.86%,821.04%,-99.95%,-,-,-,-
Receivables,65.7,72.29,54.32,71.3,1.2,47.3,0,0,0,1.22,0
Other Current Assets,38.7,23.2,30.34,16.06,0.01,38.93,0.29,0.33,0.37,0.57,-413.49
Total Current Assets,115.33,146.32,95.45,110.23,2.07,98.08,0.48,0.7,1.05,3.07,1.96
"Property, Plant & Equipment",737.44,644.99,395.94,353.63,15.07,448.77,0,0,0,37.71,0
Long-Term Investments,0,0,0.81,0,0,0,414.04,414.03,414.02,0,0
Other Long-Term Assets,3.31,3.47,0,0,0,0.39,0,0,0,0,414
Total Long-Term Assets,740.75,648.46,396.76,353.63,15.07,449.17,414.04,414.03,414.02,37.71,414
Total Assets,856.08,794.78,492.2,463.86,17.14,547.25,414.52,414.73,415.07,40.78,415.96
Accounts Payable,0,0,0,0,0.17,0,0.24,0.12,0.18,0,0.52
Current Debt,0,0,0,34.96,0.7,50,0,0,0,6.4,0
Other Current Liabilities,71.96,64.13,24.54,18.09,0.86,17.6,0.2,0.3,0.21,0.69,0.15
Total Current Liabilities,71.96,64.13,24.54,53.04,1.73,67.6,0.44,0.42,0.4,7.09,0.67
Long-Term Debt,25,0,0,0,0,1.1,0.18,0,0,0,0
Other Long-Term Liabilities,114.06,108.24,2.24,2.21,0.28,3.62,8.51,9.99,8.93,0.49,410.29
Total Long-Term Liabilities,139.06,108.24,2.24,2.21,0.28,4.72,8.69,9.99,8.93,0.49,410.29
Total Liabilities,211.03,172.37,26.78,55.25,2.02,72.32,9.13,10.41,9.33,7.57,410.96
Total Debt,25,0,0,34.96,0.7,51.1,0.18,0,0,6.4,0
Debt Growth,3471.43%,-,-,-,-,698.44%,-,-,-,-,-
Common Stock,590.56,590.02,465.42,408.61,15.13,474.93,0,2.49,1.07,43.09,5.11
Retained Earnings,54.5,32.39,-,-,-,0,-8.61,2.51,3.93,-9.88,-0.11
Shareholders' Equity,645.06,622.4,465.42,408.61,15.13,474.93,-8.61,5,5,33.21,5
Total Liabilities and Equity,856.08,794.78,492.2,463.86,17.14,547.25,0.52,15.41,14.33,40.78,415.96
Net Cash / Debt,-14.07,50.83,10.79,-12.09,0.16,-39.25,0.01,0.37,0.68,-5.11,415.45
Net Cash / Debt Growth,-,-,125420.77%,-,-75.94%,-,-100.00%,-,-,-,-
Net Cash Per Share,-0.11,-,-,-,0.00,-0.30,0.00,0.01,0.02,-0.21,64.49
Working Capital,43.37,82.19,70.91,57.19,0.34,30.48,0.04,0.28,0.65,-4.01,1.29
Book Value Per Share,4.85,4.68,3.54,9.47,0.11,3.57,-0.20,0.11,0.11,1.39,0.78
