Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.08,0.33,0.52,0.64,0.81,0
Cash & Cash Equivalents,0.08,0.33,0.52,0.64,0.81,0
Cash Growth,-89.93%,-,-,-,-,-
Other Current Assets,0.21,0.23,0.24,0.25,0.22,0.05
Total Current Assets,0.29,0.56,0.75,0.88,1.03,0.05
Long-Term Investments,118.41,117.42,116.81,116.73,116.73,0
Other Long-Term Assets,0,0.04,0.17,0.15,0.2,0.07
Total Long-Term Assets,118.41,117.46,116.99,116.88,116.93,0.07
Total Assets,118.7,118.02,117.74,117.76,117.96,0.12
Accounts Payable,0.31,0.33,0.09,0.1,0.15,0
Current Debt,0,0,0,0,0,0.07
Other Current Liabilities,0.47,0.33,0.18,0.13,0.08,0.02
Total Current Liabilities,0.78,0.67,0.27,0.23,0.23,0.09
Other Long-Term Liabilities,4.11,4.06,4.05,4.09,4.14,0
Total Long-Term Liabilities,4.11,4.06,4.05,4.09,4.14,0
Total Liabilities,4.89,4.73,4.32,4.32,4.37,0.09
Total Debt,0,0,0,0,0,0.07
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-4.06,-3.8,-3.31,-3.3,-3.14,-0
Shareholders' Equity,-4.05,-3.8,-3.3,-3.29,-3.14,0.02
Total Liabilities and Equity,0.83,0.93,1.02,1.03,1.23,0.12
Net Cash / Debt,0.08,0.33,0.52,0.64,0.81,-0.07
Net Cash / Debt Growth,-89.93%,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.03,0.18,0.21,-0.03
Working Capital,-0.49,-0.11,0.48,0.65,0.8,-0.04
Book Value Per Share,-1.18,-1.10,-0.96,-0.96,-1.07,0.01
