Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,1.13,1.4,0.37,0.45,0.55,0.75,0.87,0.89,1.03,1.21,0.22
Cash & Cash Equivalents,1.13,1.4,0.37,0.45,0.55,0.75,0.87,0.89,1.03,1.21,0.22
Cash Growth,106.32%,86.21%,-56.83%,-50.06%,-46.57%,-38.08%,293.78%,-,-,-,-
Receivables,0,0,0,0,0,0,0,0,0,0,0
Other Current Assets,0.08,0.02,0.05,0.09,0.11,0.07,0.02,0.05,0.07,0.02,0
Total Current Assets,1.21,1.42,0.43,0.54,0.67,0.82,0.89,0.95,1.11,1.24,0.22
Long-Term Investments,84.74,84.24,753.01,750.61,750.1,750.08,750.06,750.04,750.02,750.01,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0,0.36
Total Long-Term Assets,84.74,84.24,753.01,750.61,750.1,750.08,750.06,750.04,750.02,750.01,0.36
Total Assets,85.96,85.66,753.44,751.15,750.76,750.9,750.95,750.99,751.13,751.24,0.58
Accounts Payable,0,0.02,0.01,0,0.01,0,0,0,0.04,0.11,0
Current Debt,0.42,0.33,0,0,0,0,0,0,0,0,0.37
Other Current Liabilities,1.87,1.78,1.17,0.46,0.36,0.3,0.2,0.15,0.03,0.03,0.19
Total Current Liabilities,2.29,2.14,1.18,0.46,0.37,0.3,0.2,0.15,0.08,0.14,0.56
Other Long-Term Liabilities,31.96,31.04,28.93,31.49,39.46,52.4,61.12,67.14,63.53,72.25,0
Total Long-Term Liabilities,31.96,31.04,28.93,31.49,39.46,52.4,61.12,67.14,63.53,72.25,0
Total Liabilities,34.25,33.17,30.11,31.95,39.83,52.7,61.32,67.29,63.61,72.39,0.56
Total Debt,0.42,0.33,0,0,0,0,0,0,0,0,0.37
Common Stock,0,0,0,0,0,0,0,0,0,0,0.03
Retained Earnings,-33.04,-31.76,-26.67,-30.8,-39.07,-51.79,-60.37,5,5,-71.15,-0.01
Shareholders' Equity,-33.04,-31.75,-26.67,-30.8,-39.06,-51.79,-60.36,5,5,-71.15,0.02
Total Liabilities and Equity,1.21,1.42,3.44,1.15,0.76,0.9,0.95,72.29,68.61,1.24,0.58
Net Cash / Debt,0.72,1.06,0.37,0.45,0.55,0.75,0.87,0.89,1.03,1.21,-0.15
Net Cash / Debt Growth,30.29%,41.71%,-56.83%,-50.06%,-46.57%,-38.08%,-,-,-,-,-
Net Cash Per Share,0.03,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,-0.01
Working Capital,-1.08,-0.72,-0.75,0.08,0.3,0.53,0.7,0.79,1.03,1.1,-0.34
Book Value Per Share,-1.22,-0.38,-0.28,-0.33,-0.42,-0.55,-0.64,0.05,0.05,-1.34,0.00
