Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
Cash & Equivalents,14.16,11.04,21.51,9.05,12.14,20.68,20.85,30.67,24.88,57.6,50.35,54.45,46.9,18.68,14.29,17.48,7.88,20.29,12.82,17.75,20.2,23.21,14.82,17.93,25.91,36.96,21.27,31.5,26.85,13.61,15.86,-,-,12.94,-,9.7
Cash & Cash Equivalents,14.16,11.04,21.51,9.05,12.14,20.68,20.85,30.67,24.88,57.6,50.35,54.45,46.9,18.68,14.29,17.48,7.88,20.29,12.82,17.75,20.2,23.21,14.82,17.93,25.91,36.96,21.27,31.5,26.85,13.61,15.86,0,0,12.94,0,9.7
Cash Growth,16.65%,-46.64%,3.14%,-70.49%,-51.23%,-64.09%,-58.58%,-43.67%,-46.95%,208.33%,252.34%,211.40%,495.08%,-7.93%,11.48%,-1.50%,-60.97%,-12.56%,-13.48%,-1.01%,-22.04%,-37.21%,-30.35%,-43.07%,-3.53%,171.61%,34.13%,-,-,5.14%,-,-,-,-,-,-
Receivables,76.23,80.58,75.75,73.16,71.18,60.95,65.45,55.98,60.48,54.59,59.09,45.32,43.79,42.83,44.81,42.22,45.24,43.79,51.37,43.6,42.28,32.53,42.71,37.27,33.96,31.49,42.66,36.05,44.62,52.54,53.53,-,-,43.44,-,31.31
Inventory,69.72,68.4,72.22,75.8,70.52,58.01,46.44,40.27,33.49,24.8,20.17,18.9,19.15,20.19,22.11,14.85,14.23,9.83,10.48,10.46,8.6,13.8,18.64,22.09,23.98,19.37,23.38,23.41,23.73,25.64,27.1,-,-,21.61,-,17.55
Other Current Assets,8.23,7.55,7.19,5.35,6.17,6.06,5.21,8.56,14.35,15.54,12.06,13.58,10.14,10.51,9.18,9.41,10.32,10.56,9.66,18.64,13.19,32.54,8.31,8.54,7,4.6,5.44,8.73,5.94,9.24,10.43,-,-,10.73,-,7.4
Total Current Assets,168.33,167.57,176.67,163.35,160,145.7,137.96,135.48,133.2,152.53,141.67,132.23,119.98,92.22,90.38,83.97,77.68,84.47,84.33,90.44,84.26,102.08,84.47,85.83,90.84,92.42,92.75,99.68,101.14,101.02,106.91,-,-,88.72,-,65.96
"Property, Plant & Equipment",60.22,57.18,57.27,52.2,49.96,47.25,38.35,39.26,38.19,39.4,35.47,37.56,39.93,41.61,43.66,45.52,45.64,39.11,38.77,40.04,50.24,44.44,51.32,53.19,53.47,53.42,55.1,53.27,52.88,52.11,49.83,-,-,44.77,-,36.65
Goodwill and Intangibles,64.17,65.14,66.1,67.07,68.04,69,69.97,71.06,72.21,73.36,74.51,75.65,76.8,77.95,79.1,80.26,81.42,82.59,83.75,84.92,94.16,87.24,115.44,116.36,117.23,118.34,122.69,124.11,125.83,127.11,128.54,-,-,132.5,-,67.08
Other Long-Term Assets,5.49,6.78,5.01,7.06,7.74,6.18,6,2.58,2.7,0.86,2.04,1.06,0.68,1.23,0.62,0.55,0.84,1.03,0.29,0.21,0.23,0.25,0.28,0.16,0.27,0.24,0.17,0.08,0.1,0.11,4.03,-,-,0.02,-,2.18
Total Long-Term Assets,129.88,129.1,128.38,126.33,125.74,122.44,114.32,112.89,113.1,113.62,112.02,114.27,117.41,120.8,123.37,126.32,127.91,122.73,122.82,125.16,144.64,131.93,167.04,169.7,170.97,172,177.96,177.46,178.82,179.33,182.4,-,-,177.29,-,105.91
Total Assets,298.21,296.67,305.05,289.68,285.74,268.14,252.28,248.37,246.29,266.15,253.69,246.5,237.39,213.01,213.75,210.29,205.58,207.2,207.15,215.6,228.9,234.01,251.51,255.53,261.8,264.42,270.71,277.13,279.96,280.35,289.31,-,-,266.01,-,171.87
Accounts Payable,25.92,24.37,25.7,28.82,30.38,26.44,18.8,20.78,21.79,18.88,17.22,15.04,13.77,16.48,14.84,14.42,17.08,16.51,15.33,15.68,15.34,13.24,13.48,15.2,12.8,11,13.41,14.42,14.08,17.83,19.61,-,-,16.29,-,16.08
Deferred Revenue,2.12,3.57,3.92,0.83,0.5,1.18,1.03,1.16,1.32,1.87,0.89,1.1,0.65,0.47,0.44,0.35,0.36,0.91,0.52,0.51,0.4,3.34,5.19,5.29,10.24,6.73,5.08,3.66,4.09,3.87,3.7,-,-,3.38,-,4.43
Current Debt,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,13.35,-,-,6.33,-,6.84
Other Current Liabilities,29.43,40.07,34.38,34.29,29.67,37.15,32.1,31.81,22.62,28.15,29.53,28.72,20.97,24.74,21.57,20.85,18.87,23.85,18.61,24.19,15.65,18.46,12.86,15.41,15.7,17.55,15.6,15.71,9.99,11.32,14.51,-,-,10.59,-,7.61
Total Current Liabilities,57.46,68.01,64,63.94,60.55,64.78,51.92,53.74,45.73,56.93,47.64,44.86,35.39,41.69,36.86,35.61,36.31,41.28,34.45,40.38,31.4,35.04,31.53,35.91,38.74,35.28,34.09,42.79,37.17,42.02,51.18,-,-,36.59,-,34.96
Long-Term Debt,285.98,285.52,310.09,309.74,314.39,303.63,303.25,302.88,317.5,328.68,335.76,334.82,333.89,307.78,307.29,306.8,306.31,305.82,305.33,304.84,304.36,303.87,303.38,302.9,302.41,301.92,301.44,300.96,300.48,300,413.14,-,-,163.48,-,115.47
Other Long-Term Liabilities,25.5,25.21,25.21,22.97,24.85,20.76,19.64,21.01,18.64,18.58,15.67,16.68,18.09,17.84,19.75,17.35,15.43,9.69,9.7,10.64,16.57,14.67,22.18,22.49,22.54,22.5,24.14,24.39,24.55,24.94,32.81,-,-,29.38,-,2.14
Total Long-Term Liabilities,311.48,310.73,335.31,332.71,339.24,324.39,322.89,323.89,336.14,347.26,351.43,351.5,351.98,325.62,327.03,324.15,321.74,315.5,315.03,315.48,320.93,318.54,325.56,325.39,324.94,324.42,325.58,325.34,325.04,324.94,445.95,-,-,192.87,-,117.6
Total Liabilities,368.94,378.74,399.31,396.65,399.79,389.16,374.81,377.63,381.87,404.19,399.06,396.36,387.37,367.31,363.89,359.76,358.05,356.78,349.49,355.86,352.32,353.58,357.09,361.3,363.68,359.69,359.67,368.13,362.21,366.96,497.12,-,-,229.45,-,152.56
Total Debt,285.98,285.52,310.09,309.74,314.39,303.63,303.25,302.88,317.5,336.71,335.76,334.82,333.89,307.78,307.29,306.8,306.31,305.82,305.33,304.84,304.36,303.87,303.38,302.9,302.41,301.92,301.44,309.96,309.48,309,426.49,-,-,169.81,-,122.31
Debt Growth,-9.03%,-5.96%,2.26%,2.27%,-0.98%,-9.83%,-9.68%,-9.54%,-4.91%,9.40%,9.27%,9.13%,9.01%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.64%,0.65%,-2.28%,-2.29%,-2.29%,-29.32%,-,-,81.97%,-,-,-,-,-,-
Common Stock,-107.9,-108.37,-108.07,-108.87,-109.81,-110.77,-111.61,-111.72,-111.8,-111.85,-111.9,-111.92,-111.94,-111.98,-111.92,-111.93,-112.08,-112.21,-112.41,-112.37,-112.73,-113.07,-113.63,-114.11,-114.33,-114.83,-115.72,-116.75,-117.87,-118.97,-245.27,-,-,-24.91,-,-27.87
Retained Earnings,37.16,26.29,13.81,1.9,-4.25,-10.25,-10.92,-17.55,-23.78,-26.19,-33.48,-37.93,-38.04,-42.32,-38.22,-37.54,-39.06,-36,-28.69,-22.57,-5.86,-1.37,13.24,13.98,18.66,25.97,32.48,31,39.83,36.66,38.96,-,-,5.8,-,-7.5
Comprehensive Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33,-1.36,-1.24,-5.32,-4.83,-5.14,-5.19,-5.63,-6.21,-6.42,-5.71,-5.25,-4.22,-4.3,-3.81,-,-,-2.58,-,-1.52
