Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.04,0.04,0.24,0.69,0.38,0.95,1.29,0,0.15
Cash & Cash Equivalents,0.04,0.04,0.24,0.69,0.38,0.95,1.29,0,0.15
Cash Growth,-90.69%,-95.57%,-81.12%,-,151.12%,-,-,-,-
Receivables,0.07,0.05,0,0,0,0,0,0,0
Other Current Assets,0.19,0.2,0.31,0.4,0.4,0.34,0.35,-,-
Total Current Assets,0.29,0.3,0.55,1.09,0.77,1.3,1.64,-,-
Long-Term Investments,271.76,268.91,266.69,265.52,265.17,265.16,265.15,-,-
Other Long-Term Assets,1.6,0.99,0.43,0.35,0.11,0.19,0.27,-,-
Total Long-Term Assets,273.36,269.89,267.12,265.87,265.28,265.34,265.42,-,-
Total Assets,273.65,270.19,267.67,266.96,266.05,266.64,267.06,0.63,0.32
Accounts Payable,0.02,0,0.07,0.04,0,0,0,0,0
Current Debt,1.46,0.79,0,0,0,0,0,0.17,0.15
Other Current Liabilities,21.62,17.45,0.67,0.6,1.37,0.6,0.01,0.45,0.16
Total Current Liabilities,23.1,18.23,0.74,0.65,1.37,0.6,0.01,0.62,0.31
Other Long-Term Liabilities,10.99,7.44,17.84,19.22,22.22,17.72,19.34,0,0
Total Long-Term Liabilities,10.99,7.44,17.84,19.22,22.22,17.72,19.34,0,0
Total Liabilities,34.09,25.68,18.57,19.87,23.59,18.32,19.35,0.62,0.31
Total Debt,1.46,0.79,0,0,0,0,0,0.17,0.15
Common Stock,0,0,0,0.37,0,0,0,0.03,0.03
Retained Earnings,-32.2,-24.39,-17.6,-18.8,-22.71,-16.84,-17.44,-0.01,-0.01
Shareholders' Equity,-32.2,-24.39,-17.6,-18.42,-22.71,-16.83,-17.44,0.02,0.02
Total Liabilities and Equity,1.89,1.28,0.98,1.44,0.88,1.49,1.91,0.63,0.32
Net Cash / Debt,-1.42,-0.74,0.24,0.69,0.38,0.95,1.29,-0.17,0
Net Cash / Debt Growth,-,-,-81.12%,-,-,-,-,-,-
Net Cash Per Share,-0.04,-0.02,0.01,0.02,0.01,0.05,0.06,-0.03,-
Working Capital,-22.81,-17.94,-0.19,0.44,-0.6,0.69,1.63,-,-
Book Value Per Share,-0.97,-0.74,-0.53,-0.56,-0.69,-0.85,-0.76,0.00,0.00
