Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Cash & Equivalents,"2,761.66","3,345.49","3,680.62","3,757.95","3,969.57","3,960.45","3,375.51","3,313.97","2,675.91","3,874.91","4,098.13","3,303.72","3,899.09","4,272.15","2,394.89","2,895.49","2,414.83","1,442.64","1,190.18","1,413.39","1,688.4",959.33,-,-,652.48,161.7
Short-Term Investments,"7,729.78","7,226.02","6,351.94","5,029.38","5,572.39","3,572.83","4,205.15","4,582.04","6,056.14","6,361.56","6,138.22","5,464.34","3,752.69","3,409.15","3,570.43","4,027.9","5,140.63","6,733.6","9,788.74","11,811.69","9,857.21","9,311.61",-,-,"6,470.9","2,897.79"
Cash & Cash Equivalents,"10,491.44","10,571.51","10,032.56","8,787.33","9,541.95","7,533.28","7,580.66","7,896.02","8,732.05","10,236.47","10,236.35","8,768.07","7,651.78","7,681.3","5,965.32","6,923.39","7,555.46","8,176.24","10,978.92","13,225.07","11,545.61","10,270.93",0,0,"7,123.37","3,059.49"
Cash Growth,9.95%,40.33%,32.34%,11.29%,9.28%,-26.41%,-25.94%,-9.95%,14.12%,33.26%,71.60%,26.64%,1.27%,-6.05%,-45.67%,-47.65%,-34.56%,-20.39%,-,-,62.08%,235.71%,-,-,-,-
Receivables,"4,505.83","2,862.76","2,917.69","3,295.41","4,839.22","4,413.69","4,270.82","3,758.06","3,708.59","3,546.28","3,161.5","3,062.47","4,155.25","3,671.98","2,612.56","2,083.81","1,238.08",0,0.13,1.99,9.45,8.24,-,-,11.74,19.15
Inventory,53.92,86.74,67.28,56.53,47.82,52.46,46.57,67.59,47.17,59.24,55.65,55.22,106.78,138.71,101.05,56.14,57.2,95.38,75.98,94.55,101.65,127.34,-,-,107.7,44.3
Other Current Assets,"2,730.92","4,263.77","4,102.72","4,527.93","2,226.38","4,284.82","4,121.3","4,025.74","3,930.38","4,605.21","4,699.03","4,518.85","4,592.5","2,561.04","1,979.67",859.26,"1,454.22","2,030.36","1,439.95","1,227.01","1,081.63",554.44,-,-,301.13,260.21
Total Current Assets,"17,782.11","17,784.77","17,120.25","16,667.2","16,655.36","16,284.25","16,019.35","15,747.4","16,418.18","18,447.19","18,152.54","16,404.6","16,506.32","14,053.03","10,658.59","9,922.6","10,304.96","10,301.98","12,494.98","14,548.62","12,738.34","10,960.96",-,-,"7,543.95","3,383.14"
"Property, Plant & Equipment",284.59,242.67,216.75,214.65,195.33,156.76,132.1,123.91,125.69,103.7,106.12,101,92.55,89.84,92.11,92.57,82.42,78.54,76.61,71.12,63.13,58.25,-,-,41.75,11.95
Long-Term Investments,977.22,"1,589.09","1,510.82","1,180.36",859.44,"1,349","1,455.8","1,513.43","1,591.21","1,463.83","1,589.93","1,724.84","2,021.51","1,545.15","1,307.43","1,310.65","1,551.42","1,873.19","2,289.93","2,504.76","1,855.42","1,501.08",-,-,"1,091.04",332.54
Goodwill and Intangibles,931.67,940.27,948.87,957.47,966.07,974.67,983.27,991.87,"1,000.47","1,009.07","1,017.67","1,026.27",0,0,0,0,0,0,0,0,0,0,-,-,0,0
Other Long-Term Assets,"2,795.11","2,241.63","2,266.89","2,168.38","2,350","1,806.11","1,534.39","1,253.2","1,209.62","1,118.43","1,051.19",978.52,615.91,"1,106.81",782.33,680.41,531.78,246.94,236.97,63.89,72.7,57.05,-,-,43.41,89.46
Total Long-Term Assets,"4,988.6","5,013.65","4,943.32","4,520.85","4,370.83","4,286.54","4,105.55","3,882.41","3,926.98","3,695.03","3,764.9","3,830.63","2,729.98","2,741.8","2,181.87","2,083.62","2,165.62","2,198.67","2,603.5","2,639.77","1,991.25","1,616.37",-,-,"1,176.19",433.94
Total Assets,"22,770.7","22,798.43","22,063.57","21,188.05","21,026.19","20,570.79","20,124.9","19,629.81","20,345.17","22,142.22","21,917.43","20,235.23","19,236.29","16,794.83","12,840.46","12,006.23","12,470.58","12,500.65","15,098.48","17,188.4","14,729.58","12,577.33",-,-,"8,720.14","3,817.08"
Accounts Payable,25.97,37.24,65.95,49.92,15.71,71.22,93.32,101.18,42.96,122.88,113.05,140.65,242.64,904.27,942.11,699.81,150.42,236.49,218.31,192.15,265.69,65.5,-,-,210.49,234.58
Deferred Revenue,894.86,753.44,592.63,448.21,419.84,318.98,413.73,496.86,694.58,970.22,"1,053.55","1,391.12",0,0,0,0,0,0,0,0,0,0,-,-,0,0
Current Debt,"7,616.84","7,256.42","4,665.32","4,111.14","4,901.12","4,921.83","5,317.21","6,354.96","6,513","6,809.84","7,093.8","6,386.59","5,733.22","4,558.55","4,216.16","3,983.12","5,084.05","6,799.09","10,018.39","13,197.36","10,693.98","10,907.29",-,-,"7,038.52","3,159.15"
Other Current Liabilities,"3,944.25","4,064.97","4,189.97","4,536.5","4,850.45","4,703.07","4,590.29","4,185.49","4,769.13","6,064.63","6,056.88","5,394.65","3,826.76","2,778.31","2,141.94","2,173.51","2,784.25","2,275.41","2,073.77","1,625.93","1,901.48","1,258.6",-,-,736.25,198.4
Total Current Liabilities,"12,481.92","12,112.06","9,513.86","9,145.77","10,187.12","10,015.1","10,414.55","11,138.5","12,019.67","13,967.57","14,317.29","13,313.01","9,802.62","8,241.14","7,300.21","6,856.43","8,018.71","9,310.99","12,310.47","15,015.43","12,861.14","12,231.39",-,-,"7,985.26","3,592.13"
Long-Term Debt,"1,484.54","2,168.37","4,162.38","3,652.19","2,579.54","2,614.62","2,522.27","2,147.51","2,746.04","3,184.7","2,990.99","2,799.12","2,496.65","2,195.17",25.77,210.89,157.89,373.27,337.98,245.84,166.92,133.78,-,-,720.96,31.08
Other Long-Term Liabilities,155.5,160.35,212.48,210.64,191.72,183.21,57.53,51.79,48.71,69.71,79.11,63.41,337.49,335.9,272.93,219.26,187.18,0,0,0,0,0,-,-,0,0
Total Long-Term Liabilities,"1,640.04","2,328.72","4,374.86","3,862.83","2,771.27","2,797.83","2,579.81","2,199.3","2,794.75","3,254.41","3,070.11","2,862.53","2,834.14","2,531.07",298.7,430.15,345.07,373.27,337.98,245.84,166.92,133.78,-,-,720.96,31.08
Total Liabilities,"14,121.95","14,440.78","13,888.72","13,008.6","12,958.39","12,812.93","12,994.35","13,337.79","14,814.43","17,221.98","17,387.39","16,175.54","12,636.76","10,772.21","7,598.91","7,286.58","8,363.78","9,684.26","12,648.45","15,261.27","13,028.06","12,365.16",-,-,"8,706.22","3,623.21"
Total Debt,"9,101.38","9,424.79","8,827.7","7,763.34","7,480.66","7,536.45","7,839.48","8,502.47","9,259.04","9,994.54","10,084.79","9,185.71","8,229.87","6,753.73","4,241.93","4,194.01","5,241.94","7,172.36","10,356.37","13,443.19","10,860.9","11,041.06",-,-,"7,759.48","3,190.23"
Debt Growth,21.67%,25.06%,12.61%,-8.69%,-19.21%,-24.59%,-22.26%,-7.44%,12.51%,47.99%,137.74%,119.02%,57.00%,-5.84%,-59.04%,-68.80%,-51.74%,-35.04%,-,-,39.97%,246.09%,-,-,-,-
Common Stock,"3,775.32","3,677.02","3,744.52","3,893.28","3,860.75","3,560.41","3,512.81","3,465.29","3,373.47","3,029.62","2,980.43","2,928.2","2,872.43","2,655.04","2,611","2,568.61","2,529.2","2,359.39","2,321.72","2,289.46","2,167.03",9.7,-,-,2.07,0.17
Retained Earnings,"4,894.27","4,714.13","4,438.67","4,273.89","4,195.79","4,191.85","3,611.19","2,825.5","2,113.96","1,901.2","1,556.51","1,137.47","3,734.4","3,368.53","2,644.16","2,174.88","1,591.9",477.06,161.09,-304.14,-450.55,-492.33,-,-,-630.66,-429.85
Comprehensive Income,-20.84,-33.5,-8.33,12.28,11.27,5.61,6.54,1.24,3.31,-10.58,-6.89,-5.98,-7.29,-0.95,-13.61,-23.85,-14.31,-20.05,-32.77,-58.2,-14.95,18.74,-,-,16.94,15.03
Shareholders' Equity,"8,648.75","8,357.64","8,174.85","8,179.45","8,067.81","7,757.86","7,130.54","6,292.02","5,490.74","4,920.24","4,530.04","4,059.68","6,599.54","6,022.62","5,241.55","4,719.65","4,106.79","2,816.4","2,450.03","1,927.13","1,701.53",-463.89,-,-,-611.65,-414.64
Total Liabilities and Equity,"22,770.7","22,798.43","22,063.57","21,188.05","21,026.19","20,570.79","20,124.9","19,629.81","20,305.17","22,142.22","21,917.43","20,235.23","19,236.29","16,794.83","12,840.46","12,006.23","12,470.58","12,500.65","15,098.48","17,188.4","14,729.58","11,901.27",-,-,"8,094.57","3,208.57"
Net Cash / Debt,"1,390.06","1,146.72","1,204.86","1,023.99","2,061.29",-3.17,-258.82,-606.45,-526.99,241.93,151.56,-417.64,-578.09,927.57,"1,723.38","2,729.38","2,313.52","1,003.88",622.56,-218.12,684.71,-770.13,0,0,-636.11,-130.74
Net Cash / Debt Growth,-32.56%,-,-,-,-,-,-,-,-,-73.92%,-91.21%,-,-,-7.60%,176.82%,-,237.88%,-,-,-,-,-,-,-,-,-
Net Cash Per Share,3.56,3.01,2.99,2.75,4.99,-0.01,-0.62,-1.46,-1.28,0.59,0.37,-1.15,-1.41,2.51,4.75,7.55,6.42,2.73,1.72,-0.60,4.56,-5.52,-,-,-5.75,-
Working Capital,"5,300.19","5,672.71","7,606.39","7,521.43","6,468.24","6,269.15","5,604.8","4,608.91","4,398.51","4,479.63","3,835.25","3,091.59","6,703.7","5,811.89","3,358.38","3,066.18","2,286.25",991,184.51,-466.81,-122.8,"-1,270.43",-,-,-441.31,-208.99
Book Value Per Share,50.05,49.62,45.70,44.20,43.76,42.06,38.73,34.25,30.01,26.96,24.86,22.34,36.83,33.70,29.53,26.84,23.55,16.60,14.75,11.64,27.77,-8.38,-,-,-11.06,-7.50
