Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-11
Cash & Equivalents,0.09,0.11,0.14,0.21,0.07,0.23,0.35,0.45,0.73,0
Cash & Cash Equivalents,0.09,0.11,0.14,0.21,0.07,0.23,0.35,0.45,0.73,0
Cash Growth,29.60%,-52.50%,-60.18%,-53.59%,-90.86%,-,-,-,-,-
Other Current Assets,0.21,0.06,0.15,0.24,0.33,0.35,0.45,0.54,0.59,-
Total Current Assets,0.29,0.16,0.28,0.45,0.4,0.58,0.79,0.99,1.32,-
Long-Term Investments,40.19,456.53,452.72,450.68,450.08,450.04,450.03,450.02,450,-
Total Long-Term Assets,40.19,456.53,452.72,450.68,450.08,450.04,450.03,450.02,450,-
Total Assets,40.48,456.69,453,451.13,450.47,450.62,450.82,451.01,451.33,0.08
Accounts Payable,0.68,0.19,0,0,0,0.22,0,0,0,0
Current Debt,0.65,0.3,0.3,0.3,-,0,-,-,-,0
Other Current Liabilities,0,0,0.17,0.17,-,0,-,-,-,0.06
Total Current Liabilities,1.33,0.49,0.47,0.47,-,0.22,-,-,-,0.06
Other Long-Term Liabilities,15.75,15.75,15.75,15.75,-,15.75,-,-,-,0
Total Long-Term Liabilities,15.75,15.75,15.75,15.75,-,15.75,-,-,-,0
Total Liabilities,17.08,16.24,16.22,16.22,15.99,15.97,15.84,15.82,15.81,0.06
Total Debt,0.65,0.3,0.3,0.3,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0,5.44,5.11,0.03
Retained Earnings,-16.69,-15.98,-15.84,-15.67,-15.52,-15.35,-15.03,-0.44,-0.11,-0.01
Shareholders' Equity,-16.68,-15.98,-15.84,-15.67,-15.52,-15.35,-15.03,5,5,0.02
Total Liabilities and Equity,0.39,0.26,0.38,0.55,0.47,0.62,0.82,20.82,20.81,0.08
Net Cash / Debt,-0.56,-0.19,-0.16,-0.09,0.07,0.23,0.35,0.45,0.73,0
Net Cash / Debt Growth,-,-,-,-,-90.86%,-,-,-,-,-
Net Cash Per Share,-0.01,-0.00,-0.00,-0.00,0.00,0.00,0.01,0.01,0.03,-
Working Capital,-1.03,-0.33,-0.19,-0.02,-,0.36,-,-,-,-
Book Value Per Share,-0.36,-0.28,-0.28,-0.27,-0.27,-0.27,-0.26,0.09,0.22,0.00
