Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Cash & Equivalents,225.33,130.6,104.73,102.65,101.74,93.2,133.72,176.29,170,107.53,127.55,76.35,72.78,64.84,72.01,64.81,59.78,58.08,-,-,-,37.49
Cash & Cash Equivalents,225.33,130.6,104.73,102.65,101.74,93.2,133.72,176.29,170,107.53,127.55,76.35,72.78,64.84,72.01,64.81,59.78,58.08,0,0,0,37.49
Cash Growth,121.48%,40.13%,-21.67%,-41.77%,-40.15%,-13.33%,4.83%,130.88%,133.59%,65.83%,77.13%,17.81%,21.75%,11.65%,-,-,-,54.90%,-,-,-,-
Receivables,9.74,9.58,8.27,7.31,6.98,7.7,4.72,8.75,9.35,9.6,8.58,7.46,4.81,5.42,5.37,5.68,5.64,5.15,-,-,-,3.85
"Property, Plant & Equipment",14.52,14.71,14.52,14.76,14.83,14.86,14.8,13.93,13.98,14.29,14.47,14.42,14.67,14.15,14.11,14.21,14.23,14.22,-,-,-,13.96
Goodwill and Intangibles,10.56,9.15,7.26,4.96,3.91,2.49,1.17,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0
Total Assets,"2,055.01","1,925.75","1,860.12","1,793.38","1,761.75","1,647.4","1,657.2","1,707.7","1,743.03","1,643.17","1,630.19","1,528.87","1,329.74","1,277.36","1,234.28","1,184.76","1,146.08","1,100.61",-,-,-,807.95
Total Liabilities,"1,850.02","1,727.47","1,670.12","1,604.98","1,572.95","1,458.61","1,473.17","1,528.07","1,570.85","1,475.5","1,456.93","1,388.7","1,189.45","1,140.32","1,101.06","1,055.73","1,021.1",979.36,-,-,-,739.15
Total Debt,178.04,172.25,72.15,72.05,111.96,29.29,40.64,40.58,14.84,14.83,14.83,24.82,24.81,54.81,24.8,34.79,44.78,54.78,-,-,-,68.53
Debt Growth,59.03%,487.99%,77.55%,77.56%,654.36%,97.48%,174.06%,63.49%,-40.19%,-72.93%,-40.21%,-28.66%,-44.60%,0.05%,-,-,-,-20.07%,-,-,-,-
Common Stock,120.66,120,119.22,121.26,123.7,124.4,123.88,123.38,122.93,122.51,135.2,107.28,106.9,107.51,107.26,107,106.74,106.43,-,-,-,57.13
Retained Earnings,91.99,86.83,80.53,73.7,68.69,64.19,59.92,55.68,49.09,44.18,37.11,31.93,32.57,29.1,25.54,21.83,18.4,15.19,-,-,-,11.69
Comprehensive Income,-7.66,-8.55,-9.76,-6.56,-3.6,0.2,0.23,0.58,0.16,0.98,0.95,0.95,0.83,0.42,0.43,0.21,-0.15,-0.37,-,-,-,-0.02
Shareholders' Equity,204.99,198.28,190,188.4,188.8,188.79,184.03,179.63,172.18,167.67,173.26,140.17,140.3,137.03,133.22,129.04,124.98,121.25,-,-,-,68.8
Total Liabilities and Equity,"2,055.01","1,925.75","1,860.12","1,793.38","1,761.75","1,647.4","1,657.2","1,707.7","1,743.03","1,643.17","1,630.19","1,528.87","1,329.74","1,277.36","1,234.28","1,184.76","1,146.08","1,100.61",-,-,-,807.95
Net Cash / Debt,47.29,-41.65,32.59,30.6,-10.21,63.91,93.08,135.71,155.16,92.69,112.73,51.54,47.96,10.04,47.21,30.02,14.99,3.3,0,0,0,-31.03
Net Cash / Debt Growth,-,-,-64.99%,-77.45%,-,-31.06%,-17.43%,163.33%,223.49%,823.34%,138.76%,71.67%,219.92%,204.21%,-,-,-,-,-,-,-,-
Book Value Per Share,27.25,26.67,25.62,24.93,24.68,24.86,24.37,23.82,22.82,22.27,20.96,16.97,16.86,16.59,16.15,15.64,15.28,18.23,-,-,-,14.40
