Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-30,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Cash & Equivalents,80.63,155.91,154.8,216.08,153.12,191.16,140.38,132.87,83.82,47.44,38.18,34.42,59.66,38.97,28.28,23.73,28.61,25.99,47.81,22.32,47.69,17.58,11.94,11.35,10.71,22.79,16.93,15.98,20.46,26.36,53.81,16.41,9.56,-,-,-,15.36
Cash & Cash Equivalents,80.63,155.91,154.8,216.08,153.12,191.16,140.38,132.87,83.82,47.44,38.18,34.42,59.66,38.97,28.28,23.73,28.61,25.99,47.81,22.32,47.69,17.58,11.94,11.35,10.71,22.79,16.93,15.98,20.46,26.36,53.81,16.41,9.56,0,0,0,15.36
Cash Growth,-47.34%,-18.44%,10.27%,62.62%,82.67%,302.92%,267.71%,286.01%,40.50%,21.75%,35.00%,45.08%,108.50%,49.94%,-40.84%,6.30%,-40.00%,47.85%,300.51%,96.70%,345.48%,-22.87%,-29.49%,-28.99%,-47.69%,-13.53%,-68.54%,-2.63%,114.10%,-,-,-,-37.76%,-,-,-,-
"Property, Plant & Equipment",17.52,17.75,17.91,18.12,18.36,18.5,18.65,18.87,18.97,19,19.11,19.31,18.44,24.06,22.78,21.47,16.09,14.94,14.34,14.29,10.98,11.16,14.46,14.46,11.59,11.68,11.88,12.08,11.61,10.2,10.27,10.34,10.5,-,-,-,10.69
Total Assets,"1,636.38","1,773.68","1,788.03","1,792.01","1,729.28","1,625.3","1,585.11","1,551.89","1,505.78","1,497.98","1,414.81","1,266.56","1,121.79","1,078.37","1,031.18",998.52,974.08,915.17,925.44,891.17,902.27,928.58,883.14,832.94,795.54,768.2,760.43,736.57,743.4,699.11,706.25,662.41,658.61,-,-,-,624.66
Total Liabilities,"1,428.84","1,569.71","1,548.12","1,555.47","1,495.5","1,394.04","1,353.5","1,317.75","1,269.93","1,258.55","1,178.49","1,033.9",890.86,942.51,899.41,870.25,848.5,793.04,805.45,773.84,786.49,812.53,769.14,721.71,686.39,659.86,653.49,633.1,641.99,582.1,628.69,585.36,582.82,-,-,-,554.83
Total Debt,131.11,84.81,95.84,17.86,17.89,17.91,17.94,17.96,17.99,78.01,46.56,129.57,28.88,33.86,85.86,83.86,68.02,29.9,39.88,45.21,26.84,78.37,60.08,32.87,49.86,41.46,38.95,29.44,57.42,17.41,17.64,41.64,39.24,-,-,-,40.99
Debt Growth,633.00%,373.44%,434.26%,-0.57%,-0.56%,-77.04%,-61.47%,-86.14%,-37.70%,130.37%,-45.78%,54.50%,-57.55%,13.25%,115.30%,85.49%,153.43%,-61.84%,-33.61%,37.54%,-46.17%,89.02%,54.25%,11.67%,-13.17%,138.10%,120.83%,-29.31%,46.35%,-,-,-,-4.27%,-,-,-,-
Common Stock,115.11,114.5,113.68,114.23,115.05,115.17,119.86,125,130.29,137.7,137.26,136.83,136.32,43.68,43.28,42.89,42.49,42.32,41.92,41.53,41.14,40.87,40.62,40.42,40.3,40.08,39.99,39.9,39.83,56.82,17.42,17.42,17.42,-,-,-,17.42
Retained Earnings,94.63,91.92,127.89,122.94,118.09,115.16,110.75,108.27,104.51,100.68,98.06,95.39,94.16,91.61,88.1,85.57,83.35,80.52,78.46,76.07,74.05,72.4,69.63,68.03,66.23,64.5,62.74,61.38,59.89,58.48,58.12,56.93,55.96,-,-,-,51.57
Comprehensive Income,-2.2,-2.43,-1.66,-0.63,0.65,0.93,1,0.87,1.06,1.06,1,0.44,0.46,0.56,0.38,-0.19,-0.26,-0.7,-0.39,-0.27,0.59,2.79,3.75,2.78,2.62,3.76,4.2,2.2,1.69,1.72,2.03,2.71,2.41,-,-,-,0.84
Shareholders' Equity,207.54,203.98,239.91,236.55,233.78,231.26,231.61,234.14,235.86,239.43,236.32,232.66,230.93,135.85,131.76,128.27,125.58,122.14,119.99,117.33,115.78,116.05,114,111.24,109.15,108.34,106.93,103.48,101.41,117.01,77.56,77.05,75.79,-,-,-,69.83
Total Liabilities and Equity,"1,636.38","1,773.68","1,788.03","1,792.01","1,729.28","1,625.3","1,585.11","1,551.89","1,505.78","1,497.98","1,414.81","1,266.56","1,121.79","1,078.37","1,031.18",998.52,974.08,915.17,925.44,891.17,902.27,928.58,883.14,832.94,795.54,768.2,760.43,736.57,743.4,699.11,706.25,662.41,658.61,-,-,-,624.66
Net Cash / Debt,-50.48,71.11,58.97,198.22,135.23,173.25,122.45,114.91,65.83,-30.57,-8.38,-95.14,30.78,5.1,-57.58,-60.14,-39.41,-3.91,7.92,-22.89,20.85,-60.79,-48.14,-21.52,-39.15,-18.67,-22.02,-13.46,-36.96,8.95,36.17,-25.23,-29.68,0,0,0,-25.63
Net Cash / Debt Growth,-,-58.96%,-51.84%,72.50%,105.42%,-,-,-,113.86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,-3.06,4.32,3.49,11.64,7.87,10.05,7.06,6.54,3.66,-1.68,-0.46,-5.21,1.97,0.27,-3.05,-3.20,-2.10,-0.21,0.42,-1.22,1.12,-3.26,-2.59,-1.16,-2.11,-1.01,-1.19,-0.73,-,-,-,-,-,-,-,-,-
Book Value Per Share,12.58,12.39,14.57,14.32,14.19,13.90,13.80,13.56,13.17,13.17,13.02,12.84,14.85,7.23,7.02,6.85,6.71,6.54,6.43,6.30,6.22,6.24,6.13,5.99,5.88,5.84,5.77,5.58,5.28,6.09,4.04,4.01,3.95,-,-,-,-
