Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,34.95,17.2,22.74,45.44,54.8,26.86,46,85.44,40.12,50.59,-,-,-,12.97
Cash & Cash Equivalents,34.95,17.2,22.74,45.44,54.8,26.86,46,85.44,40.12,50.59,0,0,0,12.97
Cash Growth,-36.21%,-35.96%,-50.57%,-46.82%,36.59%,-46.90%,-,-,-,290.09%,-,-,-,-
"Property, Plant & Equipment",1.94,1.69,1.86,1.86,1.9,1.95,1.96,2.01,2.07,2.11,-,-,-,1.69
Total Assets,393.07,386.55,376.74,396.07,368.36,314.93,312.49,348.62,281.07,275.32,-,-,-,216.89
Total Liabilities,346.78,340.56,332.12,350.91,323.14,269.1,266.95,326.6,259.26,253.36,-,-,-,194.68
Total Debt,47.7,47.64,40.41,40.22,35.5,16.68,16.7,18.38,16.85,20.55,-,-,-,26.03
Debt Growth,34.38%,185.58%,142.02%,118.79%,110.71%,-18.84%,-,-,-,-21.04%,-,-,-,-
Common Stock,22.78,23.14,22.95,23.45,23.45,23.45,23.3,0,0,0,-,-,-,0
Retained Earnings,25.05,24.78,23.67,23.26,22.91,22.67,22.42,22.21,21.93,21.88,-,-,-,22.3
Comprehensive Income,-1.53,-1.93,-2.01,-1.55,-1.14,-0.28,-0.19,-0.19,-0.12,0.09,-,-,-,-0.09
Shareholders' Equity,46.29,45.99,44.62,45.16,45.22,45.83,45.54,22.02,21.81,21.97,-,-,-,22.2
Total Liabilities and Equity,393.07,386.55,376.74,396.07,368.36,314.93,312.49,348.62,281.07,275.32,-,-,-,216.89
Net Cash / Debt,-12.75,-30.43,-17.67,5.22,19.3,10.18,29.3,67.06,23.27,30.04,0,0,0,-13.06
Net Cash / Debt Growth,-,-,-,-92.22%,-17.07%,-66.10%,-,-,-,-,-,-,-,-
Book Value Per Share,16.48,16.79,16.07,16.26,16.28,16.50,16.40,9.12,9.03,9.10,-,-,-,-
