Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,"2,091.54","1,063","1,312.84",850.73,"1,485.38","1,330.32","1,487.76","1,705.42","1,323.35",-,-,-,"1,294.15"
Short-Term Investments,"2,130.38","2,990.24","2,419.53","2,589.92","1,969.36","1,900.33","2,342.98",519.66,"1,193.16",-,-,-,60.28
Cash & Cash Equivalents,"4,221.91","4,053.24","3,732.37","3,440.65","3,454.75","3,230.64","3,830.73","2,225.08","2,516.51",0,0,0,"1,354.43"
Cash Growth,22.21%,25.46%,-2.57%,54.63%,37.28%,-,-,-,85.80%,-,-,-,-
Receivables,676.15,762.88,663.31,687.87,644.89,714.21,627.01,645.9,540.6,-,-,-,254.29
Inventory,0,0,0,0.33,0,0,0,0,0,-,-,-,0
Other Current Assets,792.55,728.28,793.18,820.24,933.41,"1,237.48","1,368.05","1,319.94","1,475.62",-,-,-,853.02
Total Current Assets,"5,690.62","5,544.39","5,188.86","4,949.08","5,033.04","5,182.33","5,825.8","4,190.92","4,532.74",-,-,-,"2,461.74"
"Property, Plant & Equipment",49.84,60.25,76.3,93,103.84,116.32,113.08,93.87,89.42,-,-,-,71.11
Long-Term Investments,11.97,12.03,11.91,11.8,11.81,1.93,2.72,2.75,2.74,-,-,-,4.73
Goodwill and Intangibles,60.03,60.07,60.1,60.14,60.17,60.64,59.94,59.93,56.15,-,-,-,18.32
Other Long-Term Assets,109.76,93.73,70.58,50.41,41.73,42.78,29.55,24.22,24.01,-,-,-,0
Total Long-Term Assets,231.6,226.08,218.89,215.35,217.56,221.68,205.29,180.76,172.32,-,-,-,94.17
Total Assets,"5,922.22","5,770.47","5,407.75","5,164.43","5,250.6","5,404.01","6,031.09","4,371.69","4,705.06",-,-,-,"2,555.91"
Accounts Payable,516.66,480.39,488.61,536.25,685.03,673.91,619.32,614.9,607.33,-,-,-,320.24
Deferred Revenue,0,0,0.41,1.03,0.8,4.22,3.78,11.37,22.02,-,-,-,21.67
Current Debt,9.35,15.82,28.89,33.25,44.11,44.8,42.87,37.5,36.55,-,-,-,31
Other Current Liabilities,595.68,579.31,463.48,447.76,519.2,617.52,834.44,702.6,605.4,-,-,-,501.59
Total Current Liabilities,"1,121.69","1,075.52",981.39,"1,018.28","1,249.15","1,340.44","1,500.41","1,366.37","1,271.29",-,-,-,874.49
Long-Term Debt,4.7,6.2,8.66,12.07,14.48,22.71,25.44,23.15,27.71,-,-,-,12.3
Other Long-Term Liabilities,29.7,20.5,30.21,52.72,13.55,13.55,13.55,151.97,225.75,-,-,-,167.6
Total Long-Term Liabilities,34.4,26.7,38.87,64.79,28.03,36.26,38.99,175.12,253.45,-,-,-,179.9
Total Liabilities,"1,156.1","1,102.22","1,020.26","1,083.08","1,277.17","1,376.7","1,539.4","1,541.49","1,524.74",-,-,-,"1,054.39"
Total Debt,14.06,22.02,37.56,45.32,58.59,67.51,68.31,60.65,64.26,-,-,-,43.3
Debt Growth,-76.01%,-67.39%,-45.02%,-25.28%,-8.82%,-,-,-,48.41%,-,-,-,-
Common Stock,"7,384.8","7,368.49","7,351.43","7,339.23","7,329.55","7,301.92","7,275.01",0.04,0.04,-,-,-,0.04
Retained Earnings,"-2,726.92","-2,853.12","-3,022.74","-3,229.68","-3,334.64","-3,263.44","-2,786.46","-2,130.71","-1,672.02",-,-,-,-733.6
Comprehensive Income,108.25,152.88,58.8,-28.2,-21.49,-11.18,3.14,13.24,14.96,-,-,-,27.24
Shareholders' Equity,"4,766.13","4,668.25","4,387.49","4,081.35","3,973.43","4,027.3","4,491.69","-2,117.43","-1,657.02",-,-,-,-706.32
Total Liabilities and Equity,"5,922.22","5,770.47","5,407.75","5,164.43","5,250.6","5,404.01","6,031.09",-575.94,-132.28,-,-,-,348.08
Net Cash / Debt,"4,207.86","4,031.22","3,694.81","3,395.33","3,396.16","3,163.13","3,762.42","2,164.44","2,452.25",0,0,0,"1,311.13"
Net Cash / Debt Growth,23.90%,27.44%,-1.80%,56.87%,38.49%,-,-,-,87.03%,-,-,-,-
Net Cash Per Share,1.03,1.01,0.92,0.85,1.14,0.80,1.32,1.82,2.07,-,-,-,-
Working Capital,"4,568.93","4,468.87","4,207.47","3,930.8","3,783.9","3,841.89","4,325.39","2,824.55","3,261.45",-,-,-,"1,587.25"
Book Value Per Share,12.21,11.92,11.17,10.36,13.29,10.22,15.74,-17.77,-14.02,-,-,-,-5.87
